#string_protein_id	preferred_name
9606.ENSP00000000233	ARF5
9606.ENSP00000000412	M6PR
9606.ENSP00000001008	FKBP4
9606.ENSP00000001146	CYP26B1
9606.ENSP00000002125	NDUFAF7
9606.ENSP00000002165	FUCA2
9606.ENSP00000002596	HS3ST1
9606.ENSP00000002829	SEMA3F
9606.ENSP00000003084	CFTR
9606.ENSP00000003100	CYP51A1
9606.ENSP00000003302	USP28
9606.ENSP00000004531	SLC7A2
9606.ENSP00000005178	PDK4
9606.ENSP00000005226	USH1C
9606.ENSP00000005257	RALA
9606.ENSP00000005260	BAIAP2L1
9606.ENSP00000005284	CACNG3
9606.ENSP00000005286	TMEM132A
9606.ENSP00000005340	DVL2
9606.ENSP00000005386	RPAP3
9606.ENSP00000005587	SKAP2
9606.ENSP00000005995	PRSS21
9606.ENSP00000006015	HOXA11
9606.ENSP00000006053	CX3CL1
9606.ENSP00000006275	TRAPPC6A
9606.ENSP00000006526	WDR54
9606.ENSP00000006658	SPATA20
9606.ENSP00000006724	CEACAM7
9606.ENSP00000006777	RHBDD2
9606.ENSP00000007390	TSR3
9606.ENSP00000007414	OSBPL7
9606.ENSP00000007699	YBX2
9606.ENSP00000007722	ITGA3
9606.ENSP00000007735	KRT33A
9606.ENSP00000008391	TFAP2D
9606.ENSP00000008527	CRY1
9606.ENSP00000008938	PGLYRP1
9606.ENSP00000009041	STARD3NL
9606.ENSP00000009105	CAMK1G
9606.ENSP00000009530	CD74
9606.ENSP00000010299	FAM76A
9606.ENSP00000011292	CPA1
9606.ENSP00000011473	SYPL1
9606.ENSP00000011619	RANBP9
9606.ENSP00000011653	CD4
9606.ENSP00000011898	TSPAN9
9606.ENSP00000012049	QPCTL
9606.ENSP00000012443	PPP5C
9606.ENSP00000013070	UBR7
9606.ENSP00000013125	MAP4K5
9606.ENSP00000013222	INMT
9606.ENSP00000013807	ERCC1
9606.ENSP00000014914	GPRC5A
9606.ENSP00000014930	HEBP1
9606.ENSP00000016171	COX15
9606.ENSP00000016913	MS4A12
9606.ENSP00000016946	RGPD5
9606.ENSP00000017003	XYLT2
9606.ENSP00000019103	SCTR
9606.ENSP00000019317	RALBP1
9606.ENSP00000020673	PSD
9606.ENSP00000020926	SYT13
9606.ENSP00000023064	SLC7A9
9606.ENSP00000023939	RTFDC1
9606.ENSP00000025008	RB1CC1
9606.ENSP00000025301	AKAP11
9606.ENSP00000026218	PIGQ
9606.ENSP00000027335	CDH17
9606.ENSP00000029410	B4GALT7
9606.ENSP00000033079	FAM13B
9606.ENSP00000035307	CHPF2
9606.ENSP00000035383	LRRC7
9606.ENSP00000037243	GABARAPL2
9606.ENSP00000037502	MYOC
9606.ENSP00000037869	FAM136A
9606.ENSP00000039007	OTC
