phoB	argP	dnaA	recF	dnaN	nrdB	nrdR	fis	mtlR	marR	glcC	xylR	hupA	hupB	marA	rob	putA	soxS	soxR	gadX	marB	micF	nrdA	fumC	inaA	zwf	nfo	tolC	ygiA	ygiB	ygiC	acrB	acrA	sodA	pgm	rfaY	seqA	rfaZ	fpr	pqiB	pqiA	poxB	xylH	slp	dctR	xylF	xylG	mtlD	guaA	guaB	mtlA	tyrP	ptsG	gadC	gadB	galK	galT	galE	galM	mtr	yhiD	hdeB	hdeA	gadA	metU	aslB	thrT	pgi	proM	glnU	thrW	psiF	leuW	mazG	leuP	fldB	tufB	alaW	topA	trmA	ybaS	serT	ybjC	glnV	leuX	gyrB	argX	tyrT	glyT	metT	hisR	gltX	fldA	mltF	phnI	valY	aspV	phnK	phnC	phnD
0.4431441	0.9251685	0.7040706	0.7734608	0.4341068	1.0583049	1.0576775	0.6313081	0.1835887	0.3442196	0.5713315	0.3390145	0.1173399	0.5807579	0.9948165	0.1425006	0.6455651	0.7485329	0.7289224	0.7178864	0.9217597	0.5072873	0.7754600	1.0552125	0.5426163	0.5544641	0.8381803	0.8563456	0.7895064	0.1873227	0.7362746	1.0998514	0.9906960	0.5972037	0.4446188	0.7011450	0.7608748	0.8038298	1.0073857	0.2950502	0.2660642	0.9583022	0.4288990	0.8636310	0.4951264	0.2509958	0.0058894	0.0654102	0.5638574	0.1676783	0.0470475	0.5622988	0.5967575	0.8979974	0.4075228	0.9434918	0.8706913	0.6259283	0.1375584	0.3858831	0.2067058	0.2010718	0.1734339	0.6157406	0.3696217	0.0009772	1.0923573	0.9512200	1.0051653	0.7491212	0.5166079	0.3465353	1.0337498	0.3083326	1.0544571	0.7222896	0.8803760	0.1665156	0.2938954	0.8514656	0.5573101	0.4767271	0.9601488	0.6662855	0.7809886	0.5671697	0.3935166	0.8691520	1.0863776	0.6236191	0.4030685	0.3402909	0.7835327	0.0931031	0.3428392	0.3264942	0.3493264	0.3811315	0.9207866	0.2035571
1.1908779	0.9554912	0.7138179	1.0737467	0.5781173	0.9271142	0.9204281	0.9771315	0.0136707	0.5212729	0.3968939	0.0483189	0.7277244	0.3463530	1.0465113	0.3549286	0.7043504	0.6424306	0.9206834	0.1442950	1.0800862	0.5924546	0.4509093	1.0636403	0.2928794	0.6225711	0.9760456	0.8782813	0.7114975	0.5346005	0.8720905	1.0407434	1.1661882	0.9646127	0.3435356	0.5645984	0.8522810	0.7690692	0.9928831	0.1743449	0.0627754	0.7390430	0.1757564	0.4466349	0.1342005	0.0960683	0.2314435	0.3635704	0.3139435	0.0402780	0.3480800	0.7943136	0.3819192	0.3413653	0.2691808	0.9416100	0.5649175	0.3738255	0.0270940	0.4825357	0.3163832	0.9664476	0.0756645	0.1839786	0.9261029	0.0303702	1.0290905	0.6970029	1.0254519	0.8758988	0.4211331	0.9153292	0.9340610	0.5702619	1.0392338	0.5744803	0.9920248	0.7220330	0.0398526	0.8306902	0.0212903	0.4870822	0.8116211	0.7104171	0.9541914	0.2865833	0.7129222	0.8120422	1.0312597	0.7688223	0.7288525	0.0697362	0.6600907	0.2884309	0.8184332	0.5188817	0.4990613	0.6397231	1.0070594	0.6256952
1.1288026	0.9716876	0.7977721	1.0293270	0.5783687	0.7401925	0.9162365	0.8594522	0.0404752	0.8404450	0.2624392	0.1155085	0.6091679	0.4188929	0.9329261	0.4078058	0.7351521	0.7712720	0.8762641	0.3671084	0.8453652	0.7972398	0.5883049	1.0252741	0.5547740	0.6826275	0.9687250	0.9174191	0.8056631	0.4681850	0.8857031	1.0507553	1.0150666	0.6874632	0.4850569	0.4867010	0.7435753	0.8626534	0.9666484	0.2978549	0.3111329	0.8810023	0.3391231	0.6345074	0.1685800	0.1329860	0.0100322	0.5434053	0.3783137	0.1100410	0.2136445	0.4327958	0.3876801	0.6868390	0.1652569	0.8753196	0.6351121	0.4135052	0.0147499	0.3148849	0.3036975	0.5973877	0.6403565	0.1263143	0.9094513	0.0565361	1.1095094	0.9527793	0.9616375	0.8153229	0.3619541	0.8222363	0.9299935	0.5748165	1.0145306	0.5852901	0.9095592	0.5454426	0.0574276	0.9174579	0.1012019	0.6851072	0.9098910	0.7207754	0.8492528	0.3110418	0.6504855	1.0337858	0.8900123	0.8313150	0.6499518	0.1386767	0.7473530	0.3596706	0.7058095	0.4924706	0.2982596	0.8917217	1.0504607	0.5111829
1.0059386	1.1006259	0.7769201	0.8951012	0.7502720	0.8806741	0.9435928	0.6712066	0.1522546	0.3114643	0.5029858	0.2563186	0.4121701	0.6155657	0.9287413	0.4992299	0.5657093	0.9215172	0.9576428	0.6944011	1.1255423	0.8994551	0.5344855	0.9351581	0.4615619	0.7836546	0.9620072	0.9827503	0.8580054	0.6349969	0.7496499	1.1200626	1.0104602	0.7503361	0.0010271	0.5257166	0.4050751	0.8669356	0.9553485	0.3609767	0.3764955	1.0227479	0.4934948	0.6309132	0.2102282	0.2201588	0.1048965	0.4252826	0.4538539	0.1593688	0.2767076	0.4369255	0.4606517	0.9763622	0.8234420	0.7366484	0.5182587	0.3950897	0.0143721	0.3856213	0.2960764	0.5180079	0.3000879	0.3420151	0.4949503	0.3506746	0.9708673	0.9479048	0.9720645	0.8077045	0.4084165	0.7318073	1.0019630	0.5142988	1.0077000	0.7900302	0.9511611	0.2234743	0.1953567	0.7665031	0.5753521	0.7162375	1.0008023	0.7277082	0.8050188	0.3346712	0.5177906	0.8334755	1.0158126	0.6346179	0.5830106	0.3772644	0.8516699	0.2847408	0.6215806	0.4742283	0.3624416	0.7083485	0.9911982	0.5396282
0.5876137	0.9855210	0.7867426	1.0015462	0.4908478	0.7380656	0.7056676	0.8921352	0.1056795	0.4295892	0.4228534	0.1181228	0.4931265	0.1743757	0.9425502	0.3613667	0.6769450	0.8851772	0.8610918	0.4188733	0.8725857	0.6460999	0.4596463	1.0892128	0.4453418	0.6834792	1.0026035	0.8730481	0.9107030	0.4572118	1.0307700	1.0575149	0.9460984	0.7092221	0.1244438	0.6071766	0.9154358	0.7872007	1.0268169	0.4967814	0.4314221	0.9260150	0.1953511	0.4786587	0.0479493	0.1448074	0.0017040	0.4247729	0.3672839	0.1644474	0.0998041	0.4209468	0.7746295	0.7403492	0.1182806	0.9897761	0.6891141	0.6431244	0.2836772	0.1402433	0.4347522	0.9131581	0.5267378	0.3875801	0.8012017	0.0877167	0.8809262	1.0548335	0.9088838	0.8207982	0.5942440	0.4203234	1.0399359	0.6218659	1.0181903	0.6520983	1.0627427	0.4402344	0.0612269	0.7739206	0.1993340	0.6862775	0.9837753	0.7555137	1.0248985	0.2204408	0.6521051	0.9580547	1.0807862	0.6664402	0.6715435	0.3005398	0.7550568	0.3194551	0.3568708	0.5179409	0.3933225	0.1898547	1.1103739	0.2767572
0.9630681	1.1161248	0.6851018	0.9663226	0.6497071	0.7403068	0.9572981	0.7766048	0.0919322	0.4031830	0.4304566	0.1735248	0.6242150	0.4612649	1.0205160	0.3980306	0.6253532	0.8630232	1.0794797	0.5270321	1.0744967	0.9144806	0.7492261	0.9557999	0.5710851	0.8784184	1.0877229	0.8269836	0.9454167	0.4822231	0.8989633	0.9610954	0.9216097	0.8560256	0.3977097	0.7136715	0.4869794	0.8904774	1.0165022	0.6155099	0.4210707	0.9346605	0.1630839	0.7187977	0.3516696	0.1919642	0.0120460	0.2296532	0.2977290	0.1059183	0.1072028	0.5283191	0.4067071	0.7274179	0.4485877	0.8655340	0.5300866	0.2416000	0.0086352	0.5523517	0.4283113	0.6974409	0.8431620	0.2290981	0.7520952	0.1268553	0.9848605	0.8928843	1.0589482	1.0381752	0.7344127	0.8685271	0.9953893	0.5171859	0.9786310	0.7239160	1.0099238	0.3905757	0.0939461	0.8671337	0.2735075	0.7390696	1.0510038	0.8694453	0.9961362	0.3975257	0.5989010	0.9164403	0.9650243	0.8872970	0.6161517	0.3435109	0.7489264	0.5650828	0.8955216	0.6289548	0.3697570	0.6922742	0.9973344	0.6295671
0.9912148	1.0173338	0.7704970	0.9480184	0.7135404	0.7159271	0.5089689	0.7511508	0.0958378	0.4867240	0.5565681	0.1842644	0.5336396	0.4650265	0.9582331	0.3356089	0.5111641	0.7029369	0.9721821	0.5671811	1.0120803	0.9853820	0.5568735	0.9509393	0.3625137	0.5732823	1.0282171	0.9793163	0.7782836	0.6676350	0.9959068	0.9114694	1.0447902	0.6334207	0.2164038	0.7207506	0.6972070	0.8680444	0.8718724	0.3387267	0.1188219	0.7735705	0.4100533	0.6258513	0.2549468	0.1693041	0.0061683	0.4821631	0.5239381	0.1888115	0.2318715	0.3880272	0.4870701	0.9024336	0.4542415	0.5934389	0.6246030	0.2672956	0.0210648	0.5920110	0.4765923	0.8326434	0.4847545	0.3190594	0.6634812	0.3071934	1.0115291	0.8807322	0.9648730	0.7719877	0.5163407	0.8155499	0.9945711	0.5361882	0.9236213	0.6444208	1.0422985	0.3548242	0.0913892	0.7659548	0.2650982	0.5249423	0.8203386	0.7166126	0.8019708	0.3534771	0.7918531	0.8554811	0.9842607	0.7061022	0.6705871	0.1533093	0.5693970	0.4849529	0.7079594	0.3919861	0.5604519	0.8251531	1.0122600	0.5611804
0.9603413	1.0056903	0.8021061	0.5971959	0.7255572	0.7920537	1.0915824	0.5320128	0.2473750	0.2992829	0.4341690	0.1943978	0.0359927	0.5352742	0.8941909	0.3827313	0.5177630	0.7786272	1.0191186	0.9091364	0.9391871	0.9402257	0.6054945	0.8886541	0.4250243	0.6690406	0.8763297	1.0924775	0.8735294	0.5547577	1.1241753	1.0393162	1.1204900	0.7551078	0.4505219	0.5233230	0.7245850	0.6733724	0.9244517	0.4968052	0.4905447	0.9107449	0.3783768	1.0011398	0.3749564	0.2062156	0.0021653	0.2001952	0.4408972	0.0374198	0.1881900	0.4742599	0.5235782	0.6791117	0.7710099	0.9951845	1.0264808	0.7412274	0.5578495	0.8095418	0.0722400	0.2668456	0.4250649	0.8037375	0.2274932	0.2997169	0.8844303	0.8679840	0.9177971	0.6837966	0.2603006	0.8844720	0.9736985	0.7384351	0.9661063	0.6581873	1.0175824	0.0930773	0.3308009	0.6797423	0.6892468	0.4425787	0.9935443	0.6126483	0.8757778	0.3732080	0.3293726	0.8191384	0.9504498	0.6625970	0.3731998	0.4489099	0.6974064	0.8516813	0.7528719	0.2308857	0.4122162	0.6573883	1.0295579	0.5605841
0.8650851	1.0243296	0.8641343	0.9530507	0.5055631	0.8558293	0.5661956	1.0977146	0.0340900	0.5788569	0.3681885	0.0960847	0.7605786	0.3907544	0.9063234	0.4069303	0.6907806	0.7624988	0.7495109	0.3035398	1.0042384	0.7749369	0.7494245	1.0044390	0.3438331	0.6629505	0.9391926	1.0112546	0.9069315	0.4448669	0.8378409	1.0277623	0.9663045	0.8799365	0.3381948	0.4739065	0.5971763	0.8773384	1.0476368	0.2548968	0.1387536	0.8461732	0.2780620	0.4564020	0.0023462	0.0600586	0.4018455	0.1415261	0.3440093	0.1326093	0.0932223	0.6056869	0.3122246	0.3160637	0.1682097	0.9518479	0.5030441	0.3276497	0.0653457	0.5771507	0.5719058	0.7670638	0.1957619	0.0702097	0.9427034	0.1600334	1.0691928	0.8231292	0.9953361	0.8386833	0.7705203	0.6354858	1.0246032	0.7365052	0.9623595	0.6135892	1.0536684	0.8105662	0.0816745	0.8183249	0.3083933	0.5539366	0.9781973	0.7549318	1.0036621	0.2667250	0.8141372	1.0146712	1.0417291	0.6940076	0.8060038	0.1388060	0.6328600	0.2461423	0.5211623	0.5695323	0.6434988	0.5398456	0.8644866	0.6895834
0.7479750	0.9722888	0.8499205	0.9825849	0.5733910	0.8939617	1.0274697	0.9136889	0.0397520	0.5923173	0.4526332	0.1312917	0.6124136	0.4549993	0.7524533	0.5741891	0.5873241	0.7609899	1.0706158	0.3621393	0.9321348	0.8057380	0.7231485	0.9771949	0.3546701	0.7195531	0.9406366	0.8662933	0.9303358	0.3728325	0.8110067	0.9154944	1.0229690	0.6324213	0.2315227	0.5802271	0.6501798	0.8081510	1.0239237	0.2658328	0.1772739	0.9283709	0.2750267	0.4060009	0.0107668	0.1015058	0.1961440	0.2395559	0.3848800	0.1639149	0.0155881	0.5564222	0.5025528	0.5809909	0.0919957	0.7147449	0.5010674	0.3764246	0.0016092	0.4659956	0.5018578	1.0454200	0.1657505	0.4688365	0.8691214	0.0757116	0.9323471	0.8588104	1.0401354	0.8477656	0.6781239	0.4250741	0.9734868	0.6981443	0.8966001	0.6125337	0.9281106	0.6613457	0.0772769	0.7739249	0.3759174	0.5216772	0.8833035	0.8382855	0.9494207	0.2069872	0.6822747	1.0507651	0.9895412	0.6877937	0.5876659	0.3052294	0.6989233	0.5696036	0.3854441	0.6718819	0.6400244	0.5807695	1.0161874	0.3764896
