phoB	argP	dnaA	recF	dnaN	nrdB	nrdR	fis	mtlR	marR	glcC	xylR	hupA	hupB	marA	rob	putA	soxS	soxR	gadX	marB	micF	nrdA	fumC	inaA	zwf	nfo	tolC	ygiA	ygiB	ygiC	acrB	acrA	sodA	pgm	rfaY	seqA	rfaZ	fpr	pqiB	pqiA	poxB	xylH	slp	dctR	xylF	xylG	mtlD	guaA	guaB	mtlA	tyrP	ptsG	gadC	gadB	galK	galT	galE	galM	mtr	yhiD	hdeB	hdeA	gadA	metU	aslB	thrT	pgi	proM	glnU	thrW	psiF	leuW	mazG	leuP	fldB	tufB	alaW	topA	trmA	ybaS	serT	ybjC	glnV	leuX	gyrB	argX	tyrT	glyT	metT	hisR	gltX	fldA	mltF	phnI	valY	aspV	phnK	phnC	phnD
0.6452027	0.7829842	0.6690509	0.7483683	0.6662941	0.5701183	0.6854382	0.6995425	0.0135922	0.2954371	0.2830292	0.0662881	0.6181693	0.1875924	0.4693405	0.3178730	0.3699403	0.2149746	0.3845207	0.2069639	0.5325138	0.4281060	0.5064463	0.6254864	0.3598534	0.3535976	0.7444640	0.5156831	0.7201107	0.2046723	0.4632197	0.6825811	0.6104421	0.5520715	0.1733842	0.3714455	0.6047476	0.4367636	0.7301550	0.2596817	0.1210374	0.2257987	0.2190386	0.4025004	0.0058103	0.0371881	0.0015949	0.2309491	0.1853890	0.0914866	0.0149182	0.4182687	0.4302364	0.3580276	0.0745820	0.8585973	0.3287457	0.2120081	0.0284152	0.2764497	0.2125018	0.7243333	0.3284379	0.0452071	0.6029221	0.1950964	0.6913997	0.1377971	0.7796186	0.5857483	0.3566998	0.5954901	0.9086311	0.4964153	0.6815574	0.5419860	0.7029021	0.4066762	0.0245540	0.6871024	0.0395451	0.5166797	0.4442120	0.4991059	0.6663100	0.1093045	0.5883671	0.6851125	0.7053064	0.4736259	0.4336126	0.1041245	0.2992525	0.4384668	0.3960193	0.3874471	0.4086315	0.4779098	0.7176530	0.2892052
0.6993461	0.8139539	0.4958038	0.5012657	0.5652770	0.4682532	0.6169034	0.6409613	0.0622050	0.3259261	0.2294675	0.0434342	0.4218677	0.2899841	0.6169682	0.3748014	0.4014580	0.5917492	0.5402934	0.2555097	0.6023326	0.5602172	0.6262665	0.6418679	0.3299686	0.6504584	0.5653725	0.5403266	0.4588058	0.4436568	0.7359076	0.6473220	0.4946175	0.5713517	0.2803256	0.4405165	0.6141970	0.4823651	0.6747483	0.2059628	0.2103542	0.6264296	0.2918912	0.2830107	0.1390799	0.0156371	0.1390731	0.2544736	0.2655989	0.0710823	0.1095428	0.4053502	0.4462211	0.3963976	0.3037773	0.5217741	0.3756241	0.2572522	0.0082953	0.2397107	0.4208320	0.5040397	0.2842701	0.2528453	0.6890200	0.2379875	0.6792113	0.6332168	0.9094218	0.5489660	0.2552576	0.5523233	0.8140106	0.5055917	0.6621266	0.3675150	0.6380977	0.4845409	0.0368687	0.5681960	0.1333050	0.3547890	0.4847366	0.5047541	0.5771956	0.1755465	0.5601649	0.6360683	0.7872369	0.5679979	0.4205869	0.1854148	0.5056980	0.1600184	0.4375031	0.2952144	0.3718484	0.4703133	0.6396849	0.4155227
0.5907534	0.7587640	0.4892867	0.6260907	0.5705774	0.4225767	0.6322222	0.7000184	0.0156041	0.4923297	0.3916894	0.0728332	0.5310954	0.1307142	0.6027776	0.2101170	0.4110241	0.6635309	0.6024633	0.1880949	0.7816771	0.5052074	0.6169123	0.6869795	0.4539574	0.5172667	0.5691238	0.5217345	0.5431377	0.3038111	0.7013027	0.6366076	0.5805274	0.4464372	0.1582614	0.4370270	0.2616522	0.5576383	0.6425680	0.4143720	0.3620856	0.7031819	0.2007472	0.3580437	0.3318764	0.0485713	0.0006600	0.1990975	0.2598188	0.0303829	0.1300196	0.5558072	0.3956776	0.3204041	0.3414999	0.6955152	0.4962288	0.2691651	0.0781857	0.3855278	0.2123743	0.6282104	0.0905708	0.1731117	0.7780423	0.0142218	0.6944197	0.6451612	0.5035481	0.4745103	0.3817234	0.5039924	0.7037568	0.5395528	0.6732527	0.4027752	0.7432702	0.6047141	0.0244995	0.5882426	0.0929855	0.3846328	0.5894577	0.5325638	0.7315205	0.2147482	0.5451025	0.7661144	0.7234313	0.4004826	0.4945410	0.2175825	0.5564700	0.1427909	0.5438522	0.3509254	0.3403133	0.4053486	0.5227773	0.3028622
0.5207757	0.8159450	0.4742022	0.4733201	0.6237824	0.5137070	0.6594403	0.6892076	0.0580767	0.4526966	0.1937771	0.0887958	0.5052557	0.1550596	0.6041443	0.2932483	0.3524409	0.6604413	0.6239635	0.1425132	0.6895506	0.5101025	0.3965287	0.6993283	0.3235392	0.5530081	0.8188346	0.7243608	0.6095352	0.4834273	0.6036170	0.8180174	0.7219608	0.6425779	0.1635273	0.3616008	0.4395442	0.4996421	0.6022031	0.1834409	0.1690692	0.8603778	0.2365008	0.4793736	0.1339003	0.0332887	0.0083769	0.1971926	0.3376535	0.0321138	0.1371353	0.2857193	0.3502976	0.1987707	0.2261516	0.6884393	0.3840887	0.2006577	0.0094190	0.2634680	0.2154735	0.5805169	0.3116729	0.2400982	0.7284565	0.1005968	0.7888515	0.7570829	0.6093771	0.6098887	0.3278484	0.4078752	0.7079250	0.5139993	0.6260303	0.5259362	0.8015221	0.3350576	0.0293522	0.5728548	0.0408199	0.3558886	0.6891429	0.4860171	0.6896842	0.1654846	0.4256483	0.6196535	0.5672075	0.4917674	0.3421550	0.2663909	0.6632218	0.5604006	0.4861326	0.3463583	0.3572162	0.3812557	0.6866205	0.4951966
0.6642878	0.8485618	0.4896530	0.7238151	0.2960218	0.6080738	0.6907364	0.6723661	0.0480232	0.3329615	0.3812726	0.0467899	0.4734460	0.1812070	0.6491993	0.3714842	0.5376836	0.6576453	0.6250996	0.3230301	0.3990011	0.5793001	0.5787109	0.6957071	0.2700714	0.4638672	0.7541715	0.5057442	0.6387651	0.2292943	0.8173281	0.8069492	0.7154175	0.4516737	0.1773989	0.2920578	0.4878191	0.4885881	0.7028065	0.3236315	0.1108667	0.5488742	0.1054801	0.1625829	0.5437050	0.0378654	0.1509009	0.3339461	0.2458875	0.0277908	0.1292403	0.3843362	0.3149618	0.4234040	0.0791120	0.5079635	0.4846822	0.2989553	0.0047575	0.3789937	0.2816775	0.4786390	0.1280727	0.3217192	0.5350260	0.0426638	0.7338104	0.5174659	0.6521696	0.5640103	0.3685785	0.6538969	0.7473280	0.5340957	0.6399827	0.5213158	0.5533247	0.4377483	0.0607801	0.5096452	0.2750614	0.3326566	0.7588662	0.4389222	0.7733870	0.0832618	0.6041914	0.5686023	0.7451982	0.6336921	0.6156156	0.1567607	0.5670237	0.3535927	0.5023410	0.4733984	0.4596437	0.4781210	0.5515761	0.3684952
0.5712824	0.7158017	0.6528853	0.6305501	0.4973446	0.5505168	0.6553993	0.6535280	0.0597599	0.5549906	0.2264078	0.0742821	0.5328267	0.1857239	0.6113223	0.4090282	0.3216840	0.6446895	0.8187195	0.1020355	0.4408616	0.6302321	0.4305508	0.6789732	0.2762184	0.6240085	0.6478302	0.5852800	0.5257641	0.5225958	0.5921660	0.5052104	0.5505883	0.5137676	0.0011925	0.3544554	0.5436300	0.7423058	0.6297412	0.1951075	0.2887263	0.6937998	0.1993578	0.3491129	0.2340950	0.1042735	0.0007148	0.1625191	0.2544894	0.0325952	0.0905586	0.4383944	0.2947445	0.4740136	0.2809382	0.6194684	0.5458902	0.3068874	0.0580329	0.5440345	0.1320087	0.6614943	0.0976353	0.1374210	0.8275034	0.1917575	0.6292291	0.8109960	0.5996290	0.6670168	0.5010241	0.4077007	0.6662801	0.5686870	0.6892941	0.4385696	0.5431888	0.4846365	0.0155699	0.5686333	0.0362156	0.2605668	0.6324846	0.5309683	0.7281130	0.3738381	0.4182562	0.6944253	0.6495860	0.4813861	0.6164829	0.2194875	0.5812148	0.4471675	0.3860080	0.3497632	0.3634572	0.5008725	0.5427717	0.3740507
0.6831461	0.6718234	0.4827499	0.7437517	0.2346629	0.4537940	0.4670892	0.5527862	0.0763502	0.1889474	0.1610449	0.1127113	0.5209094	0.3315138	0.5533187	0.2241427	0.4459456	0.5165917	0.6626971	0.1212044	0.6303023	0.5316834	0.4237294	0.5826190	0.3204371	0.5883301	0.6464702	0.5393705	0.5680807	0.2399647	0.6619656	0.7381435	0.5100966	0.4964915	0.2128307	0.4061186	0.2754460	0.5078163	0.7523450	0.3270125	0.2394031	0.5867272	0.1353335	0.3699177	0.0053293	0.1242688	0.0005948	0.1913075	0.2725088	0.0236923	0.2292212	0.3192280	0.5775552	0.1690530	0.0677592	0.6416016	0.1710049	0.2254869	0.0535113	0.2451125	0.2308790	0.6417602	0.1720643	0.0096386	0.7017193	0.0354849	0.7449841	0.6666019	0.7642428	0.6805756	0.5315619	0.4496738	0.6779108	0.4368229	0.6167115	0.4346821	0.7409733	0.4404856	0.1142786	0.5145050	0.0327682	0.3134812	0.6127921	0.4540586	0.5339118	0.2672699	0.4640939	0.6367869	0.5919429	0.5108864	0.4872782	0.1403246	0.5241665	0.1450066	0.4906224	0.3394365	0.2726233	0.4256955	0.6448452	0.3034505
0.7459109	0.7704739	0.4808854	0.6206432	0.5077960	0.6676892	0.6918320	0.5423020	0.0678275	0.1776946	0.1859486	0.1066508	0.2240972	0.3748427	0.7528023	0.1775633	0.4065405	0.2353964	0.2734457	0.2685810	0.7026066	0.4939750	0.4286870	0.6157831	0.1971382	0.2206814	0.5886505	0.5506200	0.4749782	0.3608050	0.6147592	0.7736139	0.6818042	0.3227719	0.2633760	0.0987285	0.4497767	0.3654667	0.6554904	0.0138481	0.4328854	0.1497941	0.3034771	0.5519861	0.0292265	0.0853101	0.0004281	0.1641792	0.0873149	0.0203189	0.0336691	0.2420957	0.4574575	0.5789065	0.3852959	0.6227780	0.3337283	0.2464642	0.0854329	0.3747913	0.2976919	0.6002374	0.4538399	0.1098697	0.6030491	0.0303434	0.6613901	0.0287064	0.7050040	0.4257778	0.5178529	0.5992627	0.7056302	0.3549168	0.6581156	0.4155559	0.6756441	0.3096727	0.0669698	0.7316874	0.2459190	0.2577953	0.1956178	0.5459453	0.5027233	0.2466289	0.4715133	0.6523386	0.9155081	0.4309171	0.3990060	0.2007608	0.1244519	0.1770946	0.6845049	0.2764183	0.1598466	0.5800184	0.6688151	0.3765198
0.4369936	0.7513529	0.4663821	0.7699778	0.4801121	0.5263450	0.5939859	0.5520306	0.0452208	0.2219853	0.2491462	0.1233640	0.3605160	0.2310884	0.5893348	0.2841147	0.2955848	0.5443405	0.6283193	0.1620587	0.5981967	0.5754915	0.4929728	0.7773805	0.2822329	0.3652597	0.7225067	0.7699709	0.6695232	0.4457742	0.6458328	0.7018900	0.6250994	0.6154667	0.3472032	0.3088290	0.5422314	0.7061983	0.6215345	0.2582719	0.3888173	0.5733770	0.2565627	0.2824583	0.0013688	0.1381779	0.0099206	0.2769711	0.3087713	0.0661142	0.1025819	0.4819697	0.3684599	0.4699306	0.1508334	0.5745761	0.5478689	0.2787648	0.0346273	0.4596327	0.3669680	0.4484220	0.1398408	0.0697194	0.5123911	0.0627752	0.5575337	0.5534996	0.6548274	0.5028602	0.2736584	0.3270240	0.6888511	0.4859654	0.8121747	0.4126939	0.6970132	0.3875739	0.0785493	0.5569801	0.0551563	0.2821920	0.6097400	0.4496174	0.5706305	0.1691956	0.4160224	0.6916570	0.6579767	0.4835484	0.3924290	0.1933874	0.5797382	0.1843954	0.1681702	0.4349341	0.2144384	0.0864569	0.5701021	0.2895885
0.7472113	0.4848653	0.5909623	0.6701498	0.2962621	0.4973971	0.3993267	0.6779525	0.0288912	0.1713962	0.2892413	0.0541691	0.4927503	0.1894929	0.6026012	0.1885809	0.4607314	0.6551596	0.6753812	0.2299972	0.5133941	0.3935505	0.2576943	0.6494649	0.4124465	0.5569754	0.7862447	0.5904161	0.4037898	0.4377203	0.4338608	0.7649560	0.7811602	0.3976708	0.0713229	0.3753496	0.5967432	0.6742211	0.5080068	0.2342063	0.2330017	0.6490463	0.2322942	0.4027142	0.0914244	0.0144812	0.0767327	0.1248382	0.2590097	0.0348485	0.1035543	0.3739614	0.5014650	0.4701438	0.2586724	0.4808862	0.3506251	0.3393488	0.0894001	0.2428457	0.2693603	0.6443636	0.0451071	0.2711395	0.4999258	0.0133755	0.5965456	0.8388890	0.5607863	0.5011890	0.3805244	0.6247018	0.7336785	0.4886354	0.7352962	0.5543515	0.6316557	0.3780694	0.0809871	0.6053570	0.1220249	0.3947164	0.7123726	0.6132644	0.5449186	0.1583642	0.4594320	0.6038513	0.7057713	0.5024704	0.5350513	0.0471520	0.4732442	0.1244501	0.4382628	0.5413926	0.3188503	0.4668269	0.7027025	0.4949904
