phoB	argP	dnaA	recF	dnaN	nrdB	nrdR	fis	mtlR	marR	glcC	xylR	hupA	hupB	marA	rob	putA	soxS	soxR	gadX	marB	micF	nrdA	fumC	inaA	zwf	nfo	tolC	ygiA	ygiB	ygiC	acrB	acrA	sodA	pgm	rfaY	seqA	rfaZ	fpr	pqiB	pqiA	poxB	xylH	slp	dctR	xylF	xylG	mtlD	guaA	guaB	mtlA	tyrP	ptsG	gadC	gadB	galK	galT	galE	galM	mtr	yhiD	hdeB	hdeA	gadA	metU	aslB	thrT	pgi	proM	glnU	thrW	psiF	leuW	mazG	leuP	fldB	tufB	alaW	topA	trmA	ybaS	serT	ybjC	glnV	leuX	gyrB	argX	tyrT	glyT	metT	hisR	gltX	fldA	mltF	phnI	valY	aspV	phnK	phnC	phnD
0.5675232	0.7859774	0.6074084	0.9236012	0.3987175	0.5299950	0.6790891	0.7317394	0.0889463	0.2435512	0.3266847	0.0900124	0.5118665	0.2599882	0.7095602	0.2063598	0.3808183	0.3286722	0.4269316	0.0815458	0.3469758	0.6236873	0.2607502	0.6504389	0.1500761	0.3624375	0.5750347	0.5128004	0.5052996	0.1812696	0.6583080	0.7172869	0.5897378	0.5281993	0.2231195	0.2828744	0.6460998	0.4229238	0.8567141	0.0206662	0.0022668	0.4107349	0.2653853	0.3201243	0.1832603	0.0583669	0.2453082	0.0040414	0.2399601	0.1296591	0.0681901	0.4172539	0.5185278	0.1586521	0.2452060	0.5032721	0.3811305	0.3027150	0.0499811	0.3450744	0.2921846	0.6855973	0.0649419	0.1277169	0.7434304	0.0736493	0.6257974	0.1773375	0.7032895	0.7107965	0.4651704	0.3167213	0.8058526	0.5117625	0.7530807	0.3772941	0.6748360	0.5563995	0.0609186	0.6504698	0.0108150	0.3648746	0.2050696	0.5317250	0.7982030	0.1511350	0.4953720	0.7338794	0.6636439	0.6092024	0.4732716	0.2020511	0.4474294	0.2994742	0.3370749	0.4882878	0.6105856	0.2734274	0.8166827	0.2861917
0.5612661	0.7303867	0.5539457	0.6207645	0.5619160	0.6102122	0.5157535	0.8899809	0.0525051	0.4457218	0.3332230	0.0783557	0.5194239	0.1640101	0.6955317	0.3232559	0.5849847	0.5673406	0.7274601	0.1595065	0.7153093	0.4608592	0.5569156	0.7866748	0.3324883	0.3958241	0.7217269	0.6062035	0.6594445	0.2276150	0.6335387	0.7201642	0.6197134	0.4162988	0.1025119	0.3347789	0.5825984	0.5554447	0.6543977	0.3502288	0.1266440	0.8282840	0.1762418	0.1942282	0.1851007	0.0637965	0.0001619	0.2620010	0.1949422	0.0966836	0.0871323	0.5586365	0.2013481	0.4838294	0.1052369	0.5360702	0.5250082	0.3599035	0.0621463	0.2819853	0.2509299	0.7619613	0.0824327	0.0952668	0.6977170	0.0134585	0.6421462	0.6812147	0.7359853	0.7558018	0.3551429	0.3936620	0.6225623	0.5994805	0.8006761	0.3560134	0.6725624	0.5119412	0.0333899	0.5245164	0.2981962	0.5359255	0.6534094	0.7608124	0.7185777	0.1884981	0.6127292	0.6955844	0.7142967	0.5476987	0.5550249	0.1697983	0.3927917	0.1569528	0.4463872	0.4461042	0.3408993	0.5152098	0.7015255	0.3760155
0.7044142	0.7303504	0.4401728	0.4956749	0.3865722	0.5878020	0.8165806	0.6299069	0.0510363	0.4536696	0.3311649	0.1015308	0.3299190	0.3550482	0.6262631	0.3290561	0.3869155	0.3573524	0.6908161	0.2658912	0.5612167	0.4122732	0.6610046	0.6551593	0.4978926	0.5358078	0.6816692	0.6706928	0.6428211	0.2092665	0.4830288	0.7534170	0.7713419	0.5964603	0.2482373	0.2363179	0.5334743	0.6087713	0.7188490	0.1197797	0.1509950	0.4396873	0.2597943	0.4055679	0.1550728	0.0835523	0.0693802	0.2249785	0.1054323	0.1448680	0.1591656	0.3828978	0.3839072	0.6032067	0.3086368	0.7078113	0.4743341	0.3529460	0.0112455	0.4977564	0.3701069	0.7871881	0.3452456	0.1166184	0.5562364	0.1393736	0.7634315	0.6208921	0.7090914	0.5776793	0.2487211	0.4832979	0.7333108	0.3900863	0.7501044	0.4411309	0.7269431	0.3406951	0.0659183	0.6502698	0.1904481	0.2918206	0.5642459	0.5233023	0.5939231	0.2103798	0.3879531	0.6532084	0.6555313	0.5039535	0.4711883	0.2108567	0.4206621	0.1993886	0.5904254	0.3270316	0.3956454	0.5781370	0.6558132	0.4189819
0.3784304	0.7227710	0.4481747	0.5691141	0.6013892	0.6463928	0.6600767	0.7656377	0.0549752	0.2538329	0.2494945	0.0255487	0.5709921	0.3221176	0.6484848	0.2487602	0.4481086	0.6703299	0.6202053	0.2250975	0.6506814	0.4911898	0.6520966	0.7174050	0.2601633	0.5203456	0.6833138	0.5564408	0.7404350	0.2777054	0.5506286	0.6973900	0.6682313	0.5341379	0.0904725	0.3299738	0.5172692	0.7472301	0.8085761	0.1848336	0.4126961	0.6824513	0.2599943	0.2509589	0.0032011	0.0274232	0.3730318	0.2340256	0.2033379	0.1334863	0.0000283	0.4235840	0.5418781	0.3803201	0.0929163	0.6927046	0.4698451	0.2995642	0.0601725	0.3487292	0.1757593	0.8077517	0.3995288	0.0819474	0.6858935	0.1071476	0.7995672	0.6900327	0.7713922	0.5718413	0.4577035	0.3184069	0.7418213	0.5655998	0.6551805	0.4411747	0.7152666	0.5285108	0.0263839	0.6783791	0.0762283	0.4806761	0.7748335	0.5688981	0.6613286	0.1524971	0.5473482	0.7412064	0.6602772	0.5663032	0.5249331	0.1862567	0.6089898	0.1892225	0.1936679	0.5095644	0.3887730	0.3352068	1.0000000	0.2432700
0.6434589	0.8125787	0.5965423	0.5257604	0.2943656	0.6980140	0.7483832	0.6590438	0.0721443	0.2326512	0.3187692	0.0523032	0.6576841	0.2405029	0.7592350	0.1775449	0.4097172	0.7295328	0.6126598	0.1573250	0.6980582	0.6914863	0.5151362	0.6497156	0.6390142	0.8228584	0.7540780	0.7452584	0.5229733	0.2037028	0.6448699	0.7349952	0.5165154	0.5897280	0.0949788	0.4761055	0.4573168	0.5894252	0.6908063	0.2393178	0.2205411	0.6545164	0.1648197	0.3887620	0.0005984	0.0120669	0.0105308	0.2043595	0.3312289	0.1169249	0.0750223	0.4896278	0.3512039	0.2346319	0.0513184	0.5418438	0.4197431	0.2162309	0.0167341	0.4526723	0.4700171	0.6206108	0.2360532	0.0473133	0.6214474	0.0059006	0.8138380	0.6232233	0.6554839	0.5685274	0.5371486	0.7203011	0.5510069	0.5482936	0.6591218	0.5271814	0.6332522	0.5403260	0.0271705	0.7391399	0.1187893	0.3371528	0.6531827	0.4904843	0.6564681	0.1801686	0.5298749	0.6181624	0.8274338	0.5136232	0.4978583	0.0563338	0.5474677	0.2648053	0.4799254	0.3697292	0.2688731	0.5284444	0.6889901	0.4160548
0.7004276	0.7911476	0.6187799	0.4549986	0.5849815	0.7611890	0.7714596	0.7602275	0.0496222	0.5207116	0.3747256	0.1018453	0.5247079	0.1367155	0.6599896	0.2648212	0.3969870	0.5531683	0.7316061	0.3412642	0.3469825	0.4893454	0.7108627	0.7226786	0.5995371	0.4957043	0.6234997	0.6292232	0.6719140	0.2972880	0.6564946	0.8249928	0.6405707	0.4411967	0.0719146	0.3951516	0.8309715	0.6520148	0.8054460	0.4898303	0.3167182	0.5591956	0.2797369	0.1672773	0.0019920	0.0718485	0.0015870	0.2670217	0.3150700	0.0643414	0.0974100	0.6007830	0.3079439	0.3880016	0.2593456	0.8576049	0.6707925	0.2826419	0.2004734	0.4610932	0.3918967	0.3963020	0.4413541	0.0748684	0.7032715	0.0375104	0.7954466	0.6424735	0.7244034	0.5565332	0.3916888	0.4780324	0.7770552	0.5393485	0.7582149	0.4716471	0.8746335	0.4335104	0.0382636	0.6013769	0.1004930	0.4481719	0.6273282	0.5894481	0.8488178	0.0441295	0.5039881	0.6645768	0.6917330	0.6495917	0.4838470	0.2406811	0.5285970	0.2370389	0.5252955	0.3666960	0.2506474	0.5375263	0.8339095	0.4858000
0.5561398	0.7999144	0.6157107	0.8257325	0.5009395	0.6032552	0.7523023	0.7089536	0.0436329	0.2923969	0.2647526	0.0797723	0.5729013	0.2620606	0.7520403	0.1761725	0.3483188	0.6324590	0.7324713	0.0883154	0.6119808	0.4412524	0.3930638	0.8612732	0.3454834	0.5425944	0.5710277	0.7475100	0.3884151	0.2404799	0.5359063	0.7485204	0.7385852	0.5051458	0.2374156	0.4237827	0.5038134	0.5646547	0.8430003	0.4791546	0.2941664	0.7170830	0.1197876	0.3444060	0.1595355	0.0512757	0.0160627	0.2752281	0.3409113	0.1352560	0.0876972	0.3021782	0.3098977	0.3320447	0.0652955	0.6272425	0.3812789	0.1733547	0.0283781	0.4781025	0.3473546	0.5430636	0.0559547	0.0182591	0.7584939	0.3407575	0.6860628	0.8082010	0.6571277	0.6538095	0.3125366	0.3758055	0.7484170	0.5770674	0.7537477	0.4816197	0.7698445	0.4402408	0.0305377	0.6766372	0.2780896	0.3274770	0.6838294	0.7043234	0.5414314	0.1813853	0.6541134	0.6546970	0.6506014	0.4446261	0.5416433	0.1330559	0.5282415	0.2104843	0.5290636	0.3393843	0.5135430	0.3294118	0.7661227	0.3975736
0.8442593	0.7973071	0.5510359	0.8862181	0.5454123	0.7309566	0.5737761	0.6357055	0.0602185	0.2323496	0.3055520	0.0433734	0.5254031	0.1583805	0.6897187	0.1907424	0.4991171	0.6336824	0.6487194	0.2036561	0.6386601	0.5016996	0.5275679	0.7428739	0.2759635	0.5727140	0.6949280	0.6653275	0.5443361	0.3879511	0.7199336	0.7298498	0.6857620	0.4899055	0.1461867	0.3116969	0.5087993	0.6191172	0.7738074	0.3256559	0.3007788	0.6159937	0.1858227	0.3099167	0.0028197	0.0817562	0.0001248	0.2199022	0.2705986	0.1395567	0.0498352	0.6947209	0.1678242	0.2686597	0.3774183	0.7166895	0.5536660	0.4862891	0.1335646	0.4638686	0.3666409	0.8307253	0.6001856	0.0521161	0.6024496	0.0618440	0.6601172	0.6709428	0.7003008	0.8347534	0.3065148	0.5592697	0.6279315	0.5274859	0.8097279	0.7081053	0.7199021	0.4404125	0.0141489	0.5709486	0.1167519	0.3999860	0.6539542	0.4911284	0.6775575	0.1907248	0.5226123	0.7338341	0.6270980	0.7388827	0.4829394	0.1703130	0.6406607	0.1436502	0.5432780	0.4511167	0.4012352	0.4227125	0.8617985	0.4970342
0.4112052	0.7366703	0.4900982	0.8271594	0.4863516	0.5030964	0.5754898	0.6271685	0.0096839	0.7579834	0.2969369	0.0401418	0.4861960	0.2520003	0.5940654	0.3978312	0.5314906	0.4501783	0.7417387	0.3377358	0.5624102	0.5611093	0.3469413	0.7915773	0.2892256	0.4365460	0.8006151	0.5980064	0.5943025	0.1935239	0.6651943	0.8004277	0.6501644	0.6616091	0.2650535	0.3016466	0.5404143	0.5986448	0.7523415	0.1474017	0.0564947	0.6142477	0.2611845	0.2327700	0.0117199	0.0845389	0.0000516	0.2182129	0.3318521	0.0747556	0.0326831	0.4231545	0.2488665	0.5128439	0.4948667	0.7955241	0.3591487	0.2299621	0.0131912	0.2715203	0.1759675	0.7191727	0.2212596	0.0666064	0.6796265	0.1045172	0.7419736	0.5698867	0.7432757	0.5812706	0.4345941	0.2564379	0.7165842	0.4503954	0.7662765	0.4035048	0.6730234	0.5333353	0.0556794	0.5248495	0.1060228	0.3604710	0.6286813	0.4474018	0.5958756	0.2152157	0.4902820	0.7062685	0.6855520	0.5873813	0.5596811	0.2534002	0.4833704	0.6104892	0.3529648	0.4765007	0.3949533	0.6552657	0.8820337	0.1018201
0.6505249	0.7283188	0.6825353	0.7607290	0.6065554	0.6843321	0.6017314	0.6229213	0.0858718	0.5144305	0.3020925	0.1213316	0.3782509	0.3017568	0.7020599	0.3251961	0.3672435	0.6549775	0.6810080	0.2069181	0.3782952	0.6012874	0.5123411	0.5831267	0.3354978	0.5567961	0.5802469	0.7868165	0.7221000	0.4116457	0.6740590	0.6491715	0.7162815	0.5941779	0.0963460	0.4977915	0.5216730	0.5835826	0.8098013	0.2232526	0.2948170	0.6752179	0.3206473	0.3985374	0.6649839	0.1048247	0.0000924	0.2492488	0.2502484	0.0381147	0.0837402	0.3395583	0.5365516	0.4324802	0.6106480	0.7531761	0.4466182	0.3027180	0.0142817	0.2233144	0.1221744	0.6876442	0.3131768	0.0738601	0.6718584	0.0799495	0.6485553	0.6831746	0.7408150	0.6709880	0.6169177	0.5005420	0.7238796	0.4013246	0.8638995	0.4001950	0.7284386	0.4317654	0.0144644	0.5884363	0.0737423	0.3924338	0.6429517	0.5472410	0.8193386	0.0832527	0.4567960	0.6131919	0.6728558	0.6727986	0.4387449	0.0725922	0.5408697	0.1822500	0.6743626	0.3090330	0.1952165	0.5888465	0.8136177	0.2901504
