phoB	argP	dnaA	recF	dnaN	nrdB	nrdR	fis	mtlR	marR	glcC	xylR	hupA	hupB	marA	rob	putA	soxS	soxR	gadX	marB	micF	nrdA	fumC	inaA	zwf	nfo	tolC	ygiA	ygiB	ygiC	acrB	acrA	sodA	pgm	rfaY	seqA	rfaZ	fpr	pqiB	pqiA	poxB	xylH	slp	dctR	xylF	xylG	mtlD	guaA	guaB	mtlA	tyrP	ptsG	gadC	gadB	galK	galT	galE	galM	mtr	yhiD	hdeB	hdeA	gadA	metU	aslB	thrT	pgi	proM	glnU	thrW	psiF	leuW	mazG	leuP	fldB	tufB	alaW	topA	trmA	ybaS	serT	ybjC	glnV	leuX	gyrB	argX	tyrT	glyT	metT	hisR	gltX	fldA	mltF	phnI	valY	aspV	phnK	phnC	phnD
0.8041992	0.9974430	0.7875745	0.9920358	0.5971307	0.7192589	0.6624043	0.8349946	0.1011553	0.3916775	0.4459433	0.0863895	0.5230064	0.4285719	0.9392219	0.4114124	0.6566617	0.7938243	0.8198659	0.3165910	0.9864900	0.7109381	0.6818472	0.9999669	0.4671986	0.7267843	0.9991286	0.9999864	0.9137911	0.5310785	0.8284093	0.9999992	0.9316137	0.6507247	0.3713309	0.6298971	0.7264529	0.8465292	0.9778648	0.4457740	0.2161170	0.8433662	0.4021638	0.3649501	0.4193978	0.0655105	0.0002206	0.3704405	0.2310280	0.0966859	0.1754996	0.5580202	0.7516006	0.6546037	0.0428842	0.9155856	0.5870995	0.3637315	0.0482257	0.5741926	0.4288704	0.8657820	0.6764970	0.5948708	0.8684732	0.0575180	0.9997155	0.8954167	0.9999910	0.7943294	0.5990891	0.5782166	0.9828835	0.5358531	0.9679315	0.6128138	0.9577066	0.4783213	0.1036622	0.8623598	0.1010509	0.4544931	0.9225439	0.7224193	0.8740494	0.3378452	0.6141916	0.9424987	0.9939441	0.6767577	0.6213855	0.2813396	0.6786946	0.4920432	0.5012540	0.4324813	0.4762513	0.6503382	0.9544000	0.6012370
0.9067252	0.9979738	0.7229550	0.7666842	0.8987172	0.7148796	1.0000000	0.6478861	0.1501049	0.6562465	0.4846600	0.2963021	0.1796319	0.3912934	0.9616581	0.3932810	0.5398277	0.8603811	1.0000000	0.7034178	0.8299015	0.8871582	0.5089264	0.9406503	0.4198509	0.7144460	0.9886655	0.8934989	0.9279630	0.4869761	0.8740403	0.9951873	0.9315977	0.6621456	0.0013285	0.5063881	0.7924448	0.7638745	1.0000000	0.4068514	0.2802809	0.9467594	0.5006354	0.8885600	0.2524839	0.2582053	0.0281678	0.3164234	0.4868314	0.1572040	0.2774118	0.5927274	0.3535179	0.6523491	0.6056733	0.9911601	0.9165071	0.5820016	0.2550393	0.7360169	0.0021354	0.4759925	0.7608715	0.4409631	0.4614532	0.0490828	0.9590014	0.9335535	0.9999782	0.8150060	0.5185913	0.6621470	0.9828718	0.2945274	0.9674757	0.6939778	0.9495918	0.3826745	0.2115689	0.8502917	0.3832114	0.3547724	0.9707146	0.6608564	0.7850127	0.4290141	0.4674338	0.8076094	0.9817102	0.7831089	0.4413647	0.3473280	0.7248025	0.2598499	0.5728870	0.3020640	0.1580188	0.5701563	0.9998675	0.4702730
1.0000000	0.9996475	0.7233387	0.9999980	0.6915182	0.7160428	1.0000000	1.0000000	0.0228592	0.4232034	0.3772939	0.0703342	0.7289979	0.2971503	0.9493820	0.4030939	0.5980801	0.7392183	0.9854458	0.3241885	0.9538009	0.7233407	0.8881483	0.9999849	0.9113721	0.8181046	0.9357791	0.9818170	0.8041461	0.4517213	0.8110744	0.9999989	0.9998871	0.8275201	0.2846939	0.4546174	0.5857627	0.7001362	1.0000000	0.4903634	0.2968868	0.8730781	0.3386852	0.5386372	0.4505059	0.0613927	0.2156997	0.3938633	0.2446419	0.1108594	0.0242335	0.6936749	0.5420167	0.5633697	0.0542229	0.9459528	0.5708611	0.3912222	0.0181111	0.5707213	0.5358943	0.9155772	0.3487154	0.0855557	0.8827201	0.5300427	0.9999311	0.8693331	0.9913207	0.8271451	0.4778503	0.7549629	0.9828875	0.7024065	0.9917265	0.7019909	0.9974881	0.7009466	0.0655003	0.8684388	0.1057665	0.5278612	0.9000103	0.7615657	0.9710802	0.2532536	0.7083901	0.8778325	0.9937733	0.6961297	0.7472167	0.2501982	0.9024587	0.5762802	0.6718867	0.5317346	0.7586768	0.6400161	0.9999004	0.5822313
1.0000000	0.9982527	0.7230190	0.9999980	0.2381121	0.7160416	1.0000000	1.0000000	0.0175760	0.3687333	0.2869157	0.0788600	0.7204125	0.2319295	0.9795032	0.2886134	0.5532943	0.6545166	0.5704851	0.1679793	0.9895473	0.7972915	0.6310893	0.9833978	0.3535485	0.8051931	0.9740718	0.8308721	0.9374734	0.2777702	0.9377523	0.9951800	0.9986401	0.5966906	0.1406695	0.4857944	0.8282006	0.8428616	0.9778648	0.6524684	0.1039237	0.8427854	0.2523275	0.4702215	0.0520540	0.0600372	0.0001099	0.0166939	0.2146380	0.0613671	0.1278649	0.5651492	0.5952339	0.3991569	0.3844286	0.9744787	0.6399876	0.3102596	0.0413145	0.4630198	0.5780069	0.9995296	0.0973912	0.0526134	0.9490219	0.3928813	0.9999280	0.7080944	0.9999949	0.8271451	0.6722329	0.7684119	0.9930256	0.7538508	0.9680555	0.5624105	0.9966507	0.7370462	0.0388711	0.8626210	0.0281083	0.6358706	0.8406686	0.7803136	0.9156080	0.2532536	0.7083901	0.8778321	0.9937732	0.7256076	0.7357032	0.2494066	0.5494811	0.1725768	0.7112491	0.5317330	0.6364528	0.8148164	0.9998956	0.5186775
0.8274068	0.9991776	0.8216673	0.9999979	0.6015162	0.7507148	0.6431082	0.9247629	0.0807714	0.3421371	0.3314392	0.0872033	0.8465954	0.3825362	0.9949741	0.2862651	0.6912727	0.5641492	0.6873651	0.1152358	0.9942839	0.6449470	0.3426628	0.9881598	0.7958914	0.5182283	0.9593975	0.9677313	0.6713786	0.2337120	0.7054833	0.9951765	0.9300493	0.6404440	0.2622948	0.3601054	0.6096696	0.6298457	1.0000000	0.1529072	0.0916773	0.6918336	0.3654574	0.3997819	0.2343051	0.0734954	0.0001615	0.0146460	0.3440800	0.1259225	0.1380694	0.6010960	0.3066168	0.3803067	0.0005906	0.7637413	0.3832210	0.3748401	0.0062043	0.5282668	0.5822083	0.9930400	0.0620738	0.0159881	0.8475900	0.0155424	0.9601040	0.4710913	0.9808355	0.8813328	0.4338019	0.5988243	0.9828861	0.6162834	0.9680132	0.5580500	0.9946652	0.6103344	0.0503407	0.8737782	0.2071631	0.4960386	0.7206996	0.7450831	0.9005928	0.2146299	0.6691498	0.8690001	0.9955481	0.6780451	0.7432449	0.0740795	0.5157486	0.3034826	0.5184487	0.4886321	0.3774077	0.5319845	0.9544164	0.4425688
1.0000000	0.9982527	0.7230190	0.5640066	0.4904577	0.8683858	0.8527043	0.9648719	0.0263693	0.8034201	0.3012104	0.1078726	0.6797387	0.3648049	0.8085203	0.5336022	0.4518512	0.7603697	1.0000000	0.1543028	0.9156310	0.8901438	0.7982152	0.9781703	0.4168256	0.7247140	0.9814813	0.8367590	0.9526418	0.5767946	0.9348116	0.9951878	0.9999674	0.6507395	0.3242571	0.4647249	0.6331264	0.6955816	1.0000000	0.3549745	0.4373794	0.8284986	0.2954838	0.5499991	0.3141262	0.1020724	0.0001871	0.3949375	0.3187512	0.1560773	0.1248841	0.6189746	0.4524845	0.4028343	0.2311906	0.3415089	0.5302956	0.4072837	0.0505096	0.5604868	0.5812363	0.9999151	0.3716878	0.1578440	0.9324667	0.1374472	0.9601392	0.9388953	0.9999976	0.8894468	0.4507519	0.7448151	0.9828869	0.6865336	0.9998882	0.6017429	0.9799710	0.8234744	0.0455421	0.9033203	0.3711816	0.6125102	0.9314741	0.7541259	0.9092401	0.2686990	0.6907912	0.8739623	0.9932496	0.6879430	0.7947904	0.0623346	0.6519078	0.5754590	0.6284431	0.7769332	0.7016589	0.6400148	0.9999313	0.5186775
0.5877580	0.9939523	0.7220289	0.7118543	0.5515453	0.7160380	1.0000000	1.0000000	0.0525896	0.4152670	0.4001073	0.0644374	0.8990156	0.3505577	0.9737466	0.3838725	0.5914996	0.7451539	1.0000000	0.3241885	0.8315619	0.8601011	0.6768858	0.9790753	0.8009866	0.6632582	0.9606034	0.8717129	0.7934479	0.3928514	0.8006306	0.9951868	0.9998379	0.7054322	0.2432189	0.4640126	0.6238064	0.7957207	0.9778648	0.2862243	0.3861020	0.8198757	0.2895690	0.2553525	0.1079506	0.0485725	0.0942478	0.3111357	0.1992004	0.0618500	0.0967966	0.6338615	0.1068085	0.5936980	0.0442359	0.8657294	0.3713771	0.2459308	0.0446928	0.2438862	0.3576819	0.9832573	0.1781257	0.0855557	0.8827200	0.0450466	0.9998984	0.8986326	0.9808372	0.8880668	0.5849052	0.6611368	0.9828875	0.6825924	0.9999402	0.5965142	0.9976473	0.7009466	0.0655003	0.9130327	0.3267457	0.6885052	0.9028939	0.8418723	0.9627550	0.1880445	0.7668532	0.8778323	0.9962583	0.6961297	0.6802273	0.2501982	0.8288985	0.4983788	0.3176240	0.5925735	0.6967080	0.2208087	0.9540996	0.5122488
1.0000000	0.9982527	0.7230190	0.9707490	0.7944168	0.7160416	1.0000000	1.0000000	0.0291130	0.3122608	0.3997847	0.0663835	0.7814142	0.1181931	0.9390376	0.3340534	0.5222611	0.1663205	0.3763159	0.1189233	0.9920074	0.4880133	0.8460292	0.9220407	0.0601411	0.6222050	0.7273601	0.9999342	0.7098611	0.1912341	0.9999166	0.9950539	0.9286325	0.5970158	0.3675224	0.0317825	0.8081179	0.4546610	0.9860148	0.1900382	0.0000540	0.0070957	0.2624641	0.3457134	0.0000018	0.0854877	0.0000867	0.1930997	0.3614240	0.0258717	0.1132174	0.7679093	0.3983987	0.3408085	0.2545768	0.9961320	0.8138024	0.5611935	0.2579525	0.5931257	0.4836108	0.9658630	0.2336306	0.4197512	0.9391898	0.3507886	0.9601628	0.0002134	0.9999942	0.9040366	0.4650484	0.7578909	0.9999952	0.6825924	0.9680555	0.2244662	0.9607425	0.7009466	0.0655003	0.7921476	0.0136126	0.5484623	0.0224278	0.7615656	0.9754836	0.1892977	0.8703310	0.9554668	0.9968475	0.7279714	0.6802273	0.2061461	0.0186457	0.2106226	0.7035691	0.6962262	0.5015524	0.6400148	0.9999094	0.6506906
0.7418943	0.9986966	0.8564501	0.6345725	0.8399383	0.8074215	1.0000000	1.0000000	0.0387047	0.9096599	0.4001073	0.0868773	0.7204125	0.1025806	0.7582952	0.5870235	0.3655155	0.7451530	1.0000000	0.3241885	0.9373800	0.9155019	0.9322719	0.9421364	0.4295650	0.6719413	0.9254906	0.8317834	0.9890101	0.8207006	0.9483233	0.9999996	0.9697712	0.7044651	0.2935592	0.3940096	0.9549304	0.9028074	1.0000000	0.1764571	0.1409138	0.8682050	0.3386864	0.6412911	0.4894589	0.0909632	0.1142811	0.3140004	0.3134858	0.0625416	0.0467027	0.7008662	0.6865011	0.4060545	0.1483380	0.9978553	0.8182095	0.5670724	0.3813228	0.4960996	0.5380947	0.9966484	0.2130398	0.0855557	0.8827200	0.1841468	0.9999020	0.8602807	0.9808372	0.8271451	0.6342358	0.6515031	0.9999957	0.7156736	0.9999284	0.5965081	0.9607425	0.8435408	0.0205713	0.7921476	0.3667126	0.5278611	0.9311220	0.8348249	0.9659909	0.2287218	0.7294401	0.8778321	0.9972128	0.7423083	0.7550188	0.2501982	0.8024961	0.4067669	0.4523599	0.5317330	0.5576956	0.6032493	0.9997697	0.6497742
0.7654247	0.9971385	0.7425050	0.9999980	0.7584285	0.7160955	1.0000000	1.0000000	0.0815508	0.3560147	0.2398408	0.0977529	0.7204125	0.3082282	0.9713441	0.2340654	0.5471671	0.8725367	1.0000000	0.2489705	0.9368545	0.8752824	0.8083241	0.9972754	0.4411741	0.6424760	0.9390977	0.9149412	0.6336374	0.3663498	0.7099040	0.9951768	0.9975398	0.6103905	0.3111812	0.5133047	0.7168608	0.7841720	0.9778650	0.5869589	0.6122665	0.8767815	0.3386880	0.2612437	0.0004208	0.0942602	0.1623078	0.0158531	0.1966607	0.0627857	0.1096761	0.6807665	0.3532277	0.5073724	0.2660119	0.9412239	0.5633713	0.4307126	0.0189086	0.5693237	0.5626712	0.9095435	0.1721126	0.7668747	0.9095962	0.0488427	0.9999196	0.9645757	0.9825167	0.8271451	0.5634151	0.5860715	0.9999953	0.6990254	0.9680555	0.8119811	0.9961303	0.7009467	0.0655003	0.8679821	0.0958937	0.6139330	0.9757749	0.7615657	0.9156080	0.2532536	0.7083902	0.9680237	0.9937733	0.8029857	0.6856790	0.1591966	0.8200576	0.1887198	0.6743590	0.5317365	0.7514071	0.4165368	0.9543683	0.5627065
