phoB	argP	dnaA	recF	dnaN	nrdB	nrdR	fis	mtlR	marR	glcC	xylR	hupA	hupB	marA	rob	putA	soxS	soxR	gadX	marB	micF	nrdA	fumC	inaA	zwf	nfo	tolC	ygiA	ygiB	ygiC	acrB	acrA	sodA	pgm	rfaY	seqA	rfaZ	fpr	pqiB	pqiA	poxB	xylH	slp	dctR	xylF	xylG	mtlD	guaA	guaB	mtlA	tyrP	ptsG	gadC	gadB	galK	galT	galE	galM	mtr	yhiD	hdeB	hdeA	gadA	metU	aslB	thrT	pgi	proM	glnU	thrW	psiF	leuW	mazG	leuP	fldB	tufB	alaW	topA	trmA	ybaS	serT	ybjC	glnV	leuX	gyrB	argX	tyrT	glyT	metT	hisR	gltX	fldA	mltF	phnI	valY	aspV	phnK	phnC	phnD
0.8041992	0.9974430	0.7875739	0.9920358	0.5971351	0.7192589	0.6624043	0.8349948	0.1011548	0.3916764	0.4459405	0.0863879	0.5230186	0.4285711	0.9392223	0.4114117	0.6566628	0.7938259	0.8198659	0.3165903	0.9864892	0.7109495	0.6818472	0.9999669	0.4671997	0.7267897	0.9991287	0.9999863	0.9137796	0.5310795	0.8284083	0.9999992	0.9316143	0.6507268	0.3712807	0.6299052	0.7264316	0.8465399	0.9778649	0.4457823	0.2161746	0.8433828	0.4021603	0.3649346	0.4193970	0.0655018	0.0002206	0.3704439	0.2310280	0.0966890	0.1754980	0.5580270	0.7516048	0.6545694	0.0428685	0.9155596	0.5869194	0.3636988	0.0482182	0.5741661	0.4288980	0.8657830	0.6764932	0.5948694	0.8684751	0.0575161	0.9997156	0.8954409	0.9999910	0.7943302	0.5990953	0.5782271	0.9828835	0.5358538	0.9679315	0.6128210	0.9577066	0.4783337	0.1036620	0.8623608	0.1010465	0.4544944	0.9225715	0.7224204	0.8740506	0.3378443	0.6142092	0.9424995	0.9939443	0.6767585	0.6213870	0.2813391	0.6787277	0.4920386	0.5012553	0.4324886	0.4762530	0.6503404	0.9544000	0.6012373
0.9067252	0.9979738	0.7229550	0.7666842	0.8987162	0.7148796	1.0000000	0.6478861	0.1501045	0.6562460	0.4846587	0.2963003	0.1796353	0.3912931	0.9616587	0.3932806	0.5398285	0.8603810	1.0000000	0.7034176	0.8299012	0.8871581	0.5089264	0.9406502	0.4198508	0.7144452	0.9886656	0.8934990	0.9279594	0.4869747	0.8740394	0.9951873	0.9315978	0.6621445	0.0013288	0.5063886	0.7924391	0.7638750	1.0000000	0.4068520	0.2802816	0.9467594	0.5006329	0.8885541	0.2524777	0.2581740	0.0281677	0.3164288	0.4868282	0.1572037	0.2774111	0.5927307	0.3535174	0.6523452	0.6056649	0.9911561	0.9164223	0.5819387	0.2549247	0.7359867	0.0021373	0.4759951	0.7608712	0.4409619	0.4614549	0.0490821	0.9590016	0.9335534	0.9999782	0.8150064	0.5185946	0.6621478	0.9828718	0.2945276	0.9674757	0.6939777	0.9495918	0.3826773	0.2115687	0.8502922	0.3832089	0.3547730	0.9707145	0.6608569	0.7850136	0.4290138	0.4674438	0.8076101	0.9817104	0.7831091	0.4413654	0.3473277	0.7248023	0.2598478	0.5728870	0.3020677	0.1580192	0.5701566	0.9998675	0.4702730
1.0000000	0.9996475	0.7233404	0.9999980	0.6915068	0.7160429	1.0000000	1.0000000	0.0228594	0.4232027	0.3772948	0.0703346	0.7289984	0.2971504	0.9493826	0.4030929	0.5980818	0.7392235	0.9854458	0.3241885	0.9538025	0.7233428	0.8881483	0.9999849	0.9113761	0.8181204	0.9357873	0.9818165	0.8041306	0.4517310	0.8110760	0.9999989	0.9998871	0.8275235	0.2846880	0.4546587	0.5857608	0.7001880	1.0000000	0.4903870	0.2970503	0.8731505	0.3386852	0.5386350	0.4505009	0.0614019	0.2156948	0.3938630	0.2446427	0.1108553	0.0242320	0.6936725	0.5420508	0.5633712	0.0542325	0.9459461	0.5708104	0.3912145	0.0181100	0.5707172	0.5358940	0.9155770	0.3487147	0.0855558	0.8827202	0.5300410	0.9999311	0.8694386	0.9913207	0.8271454	0.4778579	0.7549613	0.9828876	0.7024065	0.9917265	0.7020087	0.9974881	0.7009472	0.0655003	0.8684386	0.1057665	0.5278614	0.9001414	0.7615657	0.9710802	0.2532536	0.7083904	0.8778337	0.9937733	0.6961298	0.7472166	0.2501982	0.9024884	0.5762733	0.6718867	0.5317360	0.7586765	0.6400173	0.9999004	0.5822309
1.0000000	0.9982527	0.7230190	0.9999980	0.2381157	0.7160416	1.0000000	1.0000000	0.0175760	0.3687335	0.2869158	0.0788600	0.7204125	0.2319295	0.9795032	0.2886133	0.5532947	0.6545189	0.5704851	0.1679793	0.9895456	0.7972935	0.6310893	0.9833975	0.3535516	0.8052019	0.9740752	0.8308800	0.9374767	0.2777742	0.9377527	0.9951800	0.9986401	0.5967007	0.1406694	0.4858171	0.8282005	0.8428780	0.9778648	0.6524753	0.1040005	0.8428290	0.2523276	0.4702211	0.0520540	0.0600374	0.0001099	0.0166940	0.2146379	0.0613669	0.1278642	0.5651492	0.5952484	0.3991579	0.3844286	0.9744786	0.6399841	0.3102593	0.0413139	0.4630197	0.5780061	0.9995296	0.0973911	0.0526134	0.9490219	0.3928811	0.9999280	0.7082041	0.9999949	0.8271451	0.6722325	0.7684118	0.9930256	0.7538508	0.9680555	0.5624247	0.9966507	0.7370462	0.0388711	0.8626210	0.0281083	0.6358706	0.8407911	0.7803136	0.9156080	0.2532536	0.7083901	0.8778322	0.9937732	0.7256076	0.7357032	0.2494066	0.5495570	0.1725746	0.7112490	0.5317331	0.6364528	0.8148162	0.9998956	0.5186775
0.8274068	0.9991776	0.8216668	0.9999979	0.6015191	0.7507148	0.6431082	0.9247629	0.0807713	0.3421376	0.3314389	0.0872030	0.8465962	0.3825361	0.9949742	0.2862649	0.6912730	0.5641512	0.6873652	0.1152358	0.9942829	0.6449508	0.3426628	0.9881597	0.7958951	0.5182438	0.9594049	0.9677331	0.6713890	0.2337162	0.7054848	0.9951765	0.9300497	0.6404534	0.2622903	0.3601329	0.6096692	0.6298685	1.0000000	0.1529184	0.0917250	0.6919092	0.3654569	0.3997815	0.2343050	0.0734931	0.0001615	0.0146460	0.3440822	0.1259243	0.1380692	0.6010971	0.3066282	0.3803038	0.0005909	0.7637422	0.3832207	0.3748409	0.0062045	0.5282666	0.5822080	0.9930400	0.0620737	0.0159880	0.8475903	0.0155422	0.9601041	0.4712396	0.9808355	0.8813329	0.4338040	0.5988281	0.9828861	0.6162835	0.9680132	0.5580643	0.9946652	0.6103363	0.0503406	0.8737784	0.2071630	0.4960388	0.7209135	0.7450833	0.9005930	0.2146298	0.6691529	0.8690003	0.9955481	0.6780452	0.7432451	0.0740794	0.5158256	0.3034809	0.5184491	0.4886336	0.3774080	0.5319858	0.9544164	0.4425690
1.0000000	0.9982527	0.7230190	0.5640066	0.4904579	0.8683858	0.8527043	0.9648719	0.0263693	0.8034040	0.3012104	0.1078726	0.6797388	0.3648049	0.8085525	0.5335736	0.4518912	0.7603697	1.0000000	0.1543028	0.9156282	0.8901195	0.7982152	0.9781695	0.4168067	0.7246984	0.9814838	0.8367647	0.9525823	0.5767724	0.9347910	0.9951878	0.9999674	0.6507181	0.3242560	0.4647463	0.6331262	0.6956107	1.0000000	0.3550048	0.4373986	0.8285129	0.2954838	0.5499661	0.3141262	0.1020721	0.0001871	0.3949375	0.3187510	0.1560772	0.1248841	0.6189747	0.4524846	0.4028340	0.2311905	0.3415088	0.5302932	0.4072834	0.0505095	0.5604866	0.5812342	0.9999151	0.3716631	0.1578440	0.9324667	0.1373879	0.9601392	0.9388956	0.9999976	0.8894468	0.4507521	0.7448151	0.9828869	0.6865336	0.9998882	0.6017430	0.9799710	0.8234745	0.0455421	0.9033203	0.3711816	0.6125102	0.9314751	0.7541259	0.9092401	0.2686990	0.6907914	0.8739623	0.9932496	0.6879430	0.7947904	0.0623346	0.6519085	0.5754016	0.6284431	0.7769331	0.7016590	0.6400148	0.9999313	0.5186775
0.5877581	0.9939525	0.7220331	0.7118547	0.5515541	0.7160380	1.0000000	1.0000000	0.0525897	0.4152680	0.4001073	0.0644375	0.8990145	0.3505577	0.9737464	0.3838728	0.5914990	0.7451554	1.0000000	0.3241885	0.8315673	0.8601018	0.6768858	0.9790754	0.8009883	0.6632696	0.9606059	0.8717173	0.7934610	0.3928568	0.8006336	0.9951868	0.9998379	0.7054401	0.2432380	0.4640273	0.6238090	0.7957337	0.9778651	0.2862330	0.3861540	0.8199004	0.2895695	0.2553562	0.1079502	0.0485768	0.0942470	0.3111356	0.1991962	0.0618430	0.0967966	0.6338615	0.1068156	0.5936980	0.0442399	0.8657365	0.3714179	0.2459349	0.0446939	0.2438910	0.3576968	0.9832574	0.1781259	0.0855557	0.8827201	0.0450471	0.9998984	0.8986642	0.9808372	0.8880667	0.5849034	0.6612104	0.9828876	0.6825924	0.9999402	0.5965234	0.9976473	0.7009468	0.0655003	0.9130322	0.3267453	0.6885047	0.9029465	0.8418720	0.9627550	0.1880445	0.7668494	0.8778327	0.9962583	0.6961298	0.6802273	0.2501982	0.8289211	0.4983802	0.3176493	0.5925724	0.6967079	0.2208533	0.9540996	0.5122541
1.0000000	0.9982527	0.7230190	0.9707490	0.7944167	0.7160416	1.0000000	1.0000000	0.0291130	0.3122608	0.3997847	0.0663835	0.7814142	0.1181931	0.9390365	0.3340528	0.5222625	0.1663209	0.3763159	0.1189233	0.9920077	0.4880108	0.8460292	0.9220416	0.0601416	0.6222035	0.7273671	0.9999342	0.7098440	0.1912346	0.9999166	0.9950539	0.9286322	0.5970153	0.3675223	0.0317880	0.8081179	0.4546630	0.9860148	0.1900384	0.0000544	0.0070987	0.2624641	0.3457121	0.0000018	0.0854877	0.0000867	0.1930997	0.3614240	0.0258717	0.1132174	0.7679093	0.3983988	0.3408086	0.2545768	0.9961320	0.8138020	0.5611934	0.2579518	0.5931257	0.4836107	0.9658630	0.2336301	0.4197512	0.9391898	0.3507879	0.9601628	0.0002155	0.9999942	0.9040366	0.4650484	0.7578908	0.9999952	0.6825924	0.9680555	0.2244740	0.9607425	0.7009466	0.0655003	0.7921476	0.0136126	0.5484623	0.0224459	0.7615656	0.9754836	0.1892977	0.8703310	0.9554668	0.9968475	0.7279714	0.6802273	0.2061461	0.0186520	0.2106188	0.7035691	0.6962261	0.5015524	0.6400148	0.9999094	0.6506906
0.7418943	0.9986966	0.8564494	0.6345725	0.8399383	0.8074215	1.0000000	1.0000000	0.0387047	0.9096490	0.4001073	0.0868773	0.7204125	0.1025806	0.7583180	0.5869970	0.3655545	0.7451531	1.0000000	0.3241885	0.9373774	0.9154765	0.9322719	0.9421356	0.4295333	0.6719198	0.9254929	0.8317903	0.9889865	0.8206926	0.9483048	0.9999996	0.9697713	0.7044353	0.2935554	0.3940373	0.9549304	0.9028225	1.0000000	0.1764882	0.1409502	0.8682231	0.3386864	0.6412578	0.4894585	0.0909634	0.1142810	0.3140004	0.3134897	0.0625438	0.0467027	0.7008661	0.6865017	0.4060548	0.1483381	0.9978552	0.8182022	0.5670705	0.3813100	0.4960995	0.5380917	0.9966470	0.2130186	0.0855557	0.8827200	0.1840670	0.9999020	0.8602853	0.9808372	0.8271451	0.6342355	0.6515076	0.9999957	0.7156736	0.9999284	0.5965089	0.9607425	0.8435408	0.0205713	0.7921476	0.3667126	0.5278611	0.9311273	0.8348249	0.9659909	0.2287218	0.7294400	0.8778322	0.9972128	0.7423083	0.7550188	0.2501982	0.8024985	0.4066699	0.4523606	0.5317331	0.5576956	0.6032507	0.9997697	0.6497743
0.7654253	0.9971387	0.7425052	0.9999980	0.7583838	0.7160957	1.0000000	1.0000000	0.0815508	0.3560134	0.2398561	0.0977529	0.7204144	0.3082283	0.9713375	0.2340690	0.5471626	0.8725343	1.0000000	0.2489705	0.9368537	0.8752788	0.8083241	0.9972749	0.4411725	0.6424552	0.9391020	0.9149366	0.6336952	0.3663335	0.7098941	0.9951768	0.9975402	0.6103854	0.3111592	0.5133010	0.7168540	0.7841575	0.9778668	0.5869474	0.6121569	0.8767721	0.3386880	0.2612664	0.0004211	0.0942602	0.1622988	0.0158579	0.1966963	0.0628106	0.1096762	0.6807608	0.3532269	0.5074080	0.2660230	0.9412073	0.5632595	0.4306916	0.0189063	0.5693125	0.5626406	0.9095437	0.1721162	0.7668740	0.9095965	0.0488420	0.9999196	0.9645592	0.9825167	0.8271459	0.5634107	0.5864065	0.9999953	0.6990254	0.9680555	0.8119673	0.9961303	0.7009482	0.0655003	0.8679814	0.0958959	0.6139314	0.9757523	0.7615659	0.9156087	0.2532536	0.7083908	0.9680228	0.9937735	0.8029845	0.6856790	0.1591970	0.8200189	0.1887099	0.6744123	0.5317397	0.7514059	0.4166715	0.9543683	0.5627258
