phoB	argP	dnaA	recF	dnaN	nrdB	nrdR	fis	mtlR	marR	glcC	xylR	hupA	hupB	marA	rob	putA	soxS	soxR	gadX	marB	micF	nrdA	fumC	inaA	zwf	nfo	tolC	ygiA	ygiB	ygiC	acrB	acrA	sodA	pgm	rfaY	seqA	rfaZ	fpr	pqiB	pqiA	poxB	xylH	slp	dctR	xylF	xylG	mtlD	guaA	guaB	mtlA	tyrP	ptsG	gadC	gadB	galK	galT	galE	galM	mtr	yhiD	hdeB	hdeA	gadA	metU	aslB	thrT	pgi	proM	glnU	thrW	psiF	leuW	mazG	leuP	fldB	tufB	alaW	topA	trmA	ybaS	serT	ybjC	glnV	leuX	gyrB	argX	tyrT	glyT	metT	hisR	gltX	fldA	mltF	phnI	valY	aspV	phnK	phnC	phnD
0.7702476	0.9742778	0.7957561	0.8060937	0.5423944	0.7010064	0.9741230	0.9763662	0.0574124	0.4933993	0.2168370	0.0847126	0.8577245	0.3450972	0.9421662	0.4679054	0.4859819	0.7418137	0.8954888	0.3565031	0.9921867	0.7431222	0.9165542	0.9707056	0.4506752	0.8322402	0.8703544	0.9267057	0.8357056	0.5451588	0.8918068	1.0999205	1.0499945	0.6790265	0.2392097	0.3920290	0.4002437	0.6757526	1.0189442	0.5672089	0.1554031	0.8299711	0.1923625	0.6121429	0.0112809	0.0843108	0.0001448	0.3322079	0.2937633	0.0867323	0.1076980	0.5743393	0.5845959	0.5967401	0.2418394	0.6483279	0.5275910	0.3709501	0.0554983	0.5211524	0.2640922	0.7181070	0.2707800	0.2430306	1.0141139	0.0880153	1.0079286	0.8964437	1.0600229	0.9460194	0.6847487	0.5785029	0.9881484	0.7310718	0.9836966	0.6182217	1.0082491	0.7066594	0.0719574	0.7671854	0.1287961	0.6892839	0.8402599	0.8012530	0.9128377	0.2693171	0.7294072	0.8919865	1.1249580	0.6629035	0.7938385	0.2348293	0.6210086	0.3564836	0.4756070	0.6417282	0.4486580	0.5364957	0.9815343	0.4705466
0.9053358	1.0297292	0.6737735	0.8936851	0.5047879	0.7566839	1.0514937	1.1367604	0.0797055	0.5894454	0.2933100	0.0440255	0.8165430	0.3587849	1.0605705	0.3209585	0.7150336	0.7291554	0.9238752	0.2444128	0.9210616	0.7642680	0.7438916	0.9024161	0.8672815	0.7686227	0.9371307	0.8531308	0.8849020	0.3196952	0.8353950	0.9931904	0.9974510	0.6364382	0.2798265	0.5250437	0.6675677	0.7294958	1.0055459	0.3118525	0.6164161	0.7741368	0.1811019	0.2218531	0.1500124	0.0744434	0.3676213	0.1028149	0.3228500	0.1793206	0.0638346	0.5589093	0.7743955	0.5186004	0.1230465	0.8789405	0.4316837	0.3882187	0.0114722	0.5418689	0.3520278	0.8365642	0.3770456	0.3044285	0.8891718	0.1599912	1.0355098	0.9449615	1.0485087	0.8324940	0.7487875	0.7942296	0.9622828	0.7974550	0.9566275	0.6370579	1.0654860	0.7812684	0.0262135	0.8000108	0.0968615	0.6229104	0.9159792	0.8675707	0.9477984	0.1611442	0.7158196	0.8965639	0.9682783	0.7677820	0.7086783	0.0362762	0.7547420	0.1740838	0.6156498	0.6314616	0.6541904	0.6850350	0.8982640	0.4895173
0.9776704	0.8936314	0.6670524	1.0430065	0.8569560	1.0852854	0.7819092	0.9184355	0.0522682	0.5676548	0.2833225	0.0795306	0.7910364	0.2296266	0.9471556	0.3794722	0.5541135	0.7202170	0.8676571	0.3379118	1.0183638	0.7872134	0.5199332	0.9985605	0.3913517	0.9616090	0.9199539	0.8162333	0.7975782	0.4201122	0.9238949	1.0613127	1.0345523	0.6521070	0.3016202	0.4324860	0.8451582	0.7337464	1.0114224	0.3333453	0.1553424	0.8018216	0.3106032	0.3872110	0.1245403	0.0685408	0.0003953	0.3066869	0.2551475	0.0683931	0.0796100	0.7677095	0.3679534	0.4660009	0.1817652	0.7875887	0.4629140	0.4501320	0.0538296	0.6909218	0.0058064	0.9670884	0.2848039	0.1782147	0.8776732	0.0731126	1.0284525	0.8397825	0.9740449	0.9076898	0.7109389	0.6921307	0.9778836	0.7128432	0.9870007	0.5358260	1.0715974	0.7862869	0.0833548	0.8986469	0.1104414	0.6765392	0.9790723	0.8155529	0.8351692	0.2978767	0.7341999	1.0048797	1.0492290	0.7753439	0.7286638	0.2343925	0.7899676	0.3103220	0.7152491	0.5948499	0.4873549	0.7516208	0.9634969	0.5408927
0.9905907	0.9581802	0.6932074	1.0671060	0.7672786	0.6941394	1.0255617	0.9215099	0.0229735	0.4687863	0.4332967	0.0816467	0.8284352	0.2382554	0.9747691	0.2235432	0.5909339	0.8862208	0.7214602	0.1561969	0.9967515	0.6533758	0.6658199	1.0627736	0.3476373	0.6016830	0.9921235	0.9108772	0.6817385	0.3914929	0.7221559	1.0406201	0.9360607	0.7009306	0.1716325	0.4963430	0.7650043	0.7499836	1.0480385	0.3697176	0.3865139	0.8282671	0.3106619	0.5151134	0.0002144	0.0643095	0.0000808	0.2395332	0.2923148	0.1686561	0.0903472	0.6888391	0.5783504	0.3465204	0.3829825	0.8892833	0.5608697	0.4400217	0.0430235	0.5261963	0.5460662	1.0611055	0.1526287	0.3726266	0.8925139	0.1194681	1.0497366	1.0014352	1.0257735	0.8709588	0.5736967	0.6926852	0.9380679	0.7170920	1.0109336	0.6997559	1.0146973	0.7195499	0.0808787	0.7733429	0.2979844	0.5118446	0.9772222	0.8022861	0.9194162	0.1933139	0.7302727	0.8907836	1.0126260	0.6664357	0.8436437	0.2787561	0.6606000	0.1466982	0.8181371	0.5207364	0.5943233	0.6299389	0.9870564	0.6738893
0.7851956	1.0297961	0.7590252	1.0578230	0.2198510	0.7871941	0.7734607	0.7261248	0.1260460	0.3326716	0.4389314	0.1778451	0.4178614	0.5023167	0.9487180	0.3302373	0.5223347	0.4722072	0.6836408	0.5861390	0.7233856	0.5861425	0.7204512	1.0254238	0.4759557	0.4498789	1.0260800	0.8199776	0.9582640	0.4738199	0.9696458	0.8674197	1.0459484	0.7200755	0.0001579	0.4302213	0.7790475	0.4909844	1.0478186	0.4469375	0.6253833	0.3036930	0.2756987	0.8846509	0.2265284	0.1798815	0.3893661	0.1375477	0.3675693	0.1538785	0.2048023	0.4876380	0.4994660	0.6429496	0.7124831	0.8596994	0.4230876	0.5092577	0.0507517	0.6010634	0.3443342	0.7424565	0.3172698	0.4451207	0.6607208	0.1938506	1.0232659	0.1436901	1.0536927	0.9448434	0.3888867	0.4199036	1.0459568	0.4626979	1.0800584	0.5606177	0.9631139	0.3515784	0.1403878	0.8495929	0.3219367	0.4280667	0.3744634	0.7372796	0.8693225	0.3264500	0.5671698	0.9123671	0.9985552	0.6383775	0.5407301	0.2650907	0.2816243	0.5132826	0.4444133	0.4321776	0.2918882	0.7745906	1.1306587	0.3759874
1.0093275	1.0698283	0.7150055	0.7277091	0.5992989	0.7136124	1.0847275	1.0744262	0.0917494	0.3316144	0.3548080	0.1010363	0.8213644	0.3666381	0.9506528	0.2577857	0.5456036	0.3319633	0.5557517	0.1522734	0.6514273	0.5691904	0.8799742	0.9228062	0.4632760	0.4826616	0.9656286	0.7606104	0.5674600	0.3531486	0.9571150	1.0373176	0.9483287	0.6241187	0.2646641	0.1909962	0.5194118	0.4595172	0.9182852	0.0229727	0.0004150	0.0917507	0.2722942	0.4912929	0.1544505	0.0901698	0.0008276	0.3788025	0.3530267	0.1239096	0.0000500	0.4391560	0.5007199	0.3749107	0.3309578	0.5257997	0.4200642	0.4202118	0.0245481	0.5360105	0.2487203	0.8075980	0.3673449	0.0290563	0.9194097	0.4047055	1.0512640	0.0257606	0.9804448	0.9225186	0.4774697	0.7218719	0.9609504	0.7588155	0.9785308	0.3293380	1.0055552	0.7182624	0.0477329	0.7892955	0.0191600	0.5918488	0.1000254	0.8649182	0.9245540	0.2090064	0.8475413	0.9787354	1.0345614	0.7576274	0.7133389	0.0486246	0.4600289	0.2377903	0.7062836	0.5073294	0.4556285	0.6419376	1.0230384	0.5226474
0.9997120	1.0110343	0.6971708	0.9556578	0.5553784	0.7261504	1.0633805	1.0685170	0.0121428	0.7500814	0.3626770	0.1018263	0.8028592	0.3520988	0.9341712	0.3744766	0.5862030	0.9262041	1.0502691	0.3352077	0.4484306	0.8250270	0.5231342	1.0707069	0.4501902	0.6438579	1.0390134	1.1056826	0.9167142	0.7232731	0.8763486	1.0551682	1.1142533	0.8404700	0.2841216	0.5440992	0.6550713	0.7461377	0.9890443	0.5901366	0.5215567	1.0257632	0.3403032	0.3421939	0.0471112	0.0479233	0.2556330	0.2898840	0.4698450	0.1087487	0.1052403	0.6489044	0.6798928	0.6248726	0.5129492	0.9365179	0.3462276	0.4019153	0.0677368	0.5858117	0.6173960	0.7769814	0.3251212	0.0829587	0.9571925	0.0257593	1.0234760	0.9754211	1.0341398	0.8639829	0.4958633	0.7359838	1.0161307	0.7662740	1.0616879	0.6569249	0.9790279	0.7260913	0.0405454	0.9139174	0.1025788	0.6020623	0.9161012	0.8919598	0.9265819	0.2396844	0.6890922	0.9631235	0.9922105	0.6503374	0.7175653	0.0890379	0.8470978	0.4799056	0.6376707	0.5913177	0.4699289	0.5767803	0.9844022	0.4804995
0.8550590	0.8673478	0.7759731	0.9790842	0.6071034	0.8380077	0.9543063	0.9367564	0.0600106	0.5115042	0.4117860	0.0928772	0.7395224	0.2978005	0.9449834	0.2638464	0.6430611	0.7531682	0.9523019	0.3873239	0.6497605	0.8046271	0.3746267	0.9496378	0.3460533	0.6542558	0.9866677	0.8451382	0.6372187	0.4143956	0.6378911	1.0180947	0.9336255	0.5413128	0.0726149	0.4503791	0.6362755	0.6903685	0.9031919	0.3668498	0.2186700	0.7347653	0.3342564	0.6566211	0.0220905	0.0910022	0.0011107	0.4041840	0.1972360	0.0713274	0.1322548	0.6097974	0.5051786	0.6873774	0.2920169	0.8396353	0.6316073	0.3515825	0.0675287	0.6007856	0.5275462	0.8963470	0.2815670	0.5114033	0.8938263	0.3210047	1.0753575	0.7154491	0.9475009	0.8753052	0.4126661	0.6825879	1.0753151	0.7423421	1.1132933	0.5576507	0.9250645	0.8074219	0.0341357	0.8328917	0.1775410	0.5234146	0.9503582	0.8046565	0.9063431	0.2638353	0.8021637	0.9008558	0.9519039	0.7150222	0.6078492	0.0644562	0.5607985	0.1867922	0.5644657	0.7774373	0.3459957	0.5658088	0.9914014	0.3986469
1.0460386	0.9888536	0.7881288	1.0193082	0.6117505	0.9540037	0.9212517	0.9935754	0.1007129	0.6275609	0.4659211	0.0881391	0.7424607	0.2708394	0.9406190	0.3883645	0.7119821	0.6282273	0.6421563	0.1694662	1.0506201	0.8177430	0.5979741	0.9763339	0.3266793	0.5889687	0.9675736	1.0615443	0.8156356	0.5420187	0.8076346	0.9256318	1.0032991	0.6054909	0.2394325	0.3718691	0.7595866	0.6608952	1.0065829	0.5865776	0.1384338	0.7789986	0.1942495	0.5448930	0.1366468	0.0935943	0.0007463	0.1736514	0.3078858	0.0325039	0.1188109	0.6853439	0.6333278	0.4443044	0.3856444	0.9366938	0.4563378	0.5039487	0.0123813	0.5971266	0.6073788	0.9922490	0.4401116	0.0975895	1.0133742	0.2334456	1.0731758	0.7485271	1.0305316	0.7680418	0.4572275	0.7076194	1.0112892	0.6848894	0.9956567	0.7106801	0.9160327	0.7792728	0.0233188	0.9580912	0.1013790	0.5449332	0.8930740	0.7796420	0.9516750	0.2793219	0.7718828	0.8576508	0.9635834	0.8386119	0.6686987	0.2934402	0.7482624	0.5831685	0.6347047	0.5781532	0.4613644	0.7432021	0.9822156	0.4445725
1.0905717	1.0402340	0.7250958	0.5919054	0.4569218	0.8550691	0.7114484	1.0399925	0.0689460	0.4940472	0.3615175	0.0915064	0.7828042	0.3201118	1.0269932	0.3276363	0.7502589	0.8584923	1.0080709	0.1173367	1.0132065	0.7491076	0.8418649	1.0179655	0.9645671	0.7648488	1.0447559	0.9357145	0.6999617	0.4857323	0.7234077	0.9363004	0.9956656	0.7093516	0.3358339	0.5801358	0.7921683	0.9068791	1.0816533	0.3574179	0.4981708	0.9541694	0.1830769	0.2626088	0.1055825	0.0613323	0.0285527	0.2551618	0.1842801	0.0408389	0.1143538	0.7032742	0.5639231	0.1994223	0.1138261	0.8941684	0.5153130	0.4671338	0.0459522	0.4950790	0.5465728	0.9687666	0.0330784	0.1692198	0.9889250	0.2872968	0.9284539	0.9512385	1.0386205	0.9805222	0.7395926	0.8869523	0.9714835	0.7105354	0.8951100	0.5880653	1.0206012	0.7943804	0.0675612	0.8424360	0.2713316	0.5694859	0.9706662	0.6903740	0.9421318	0.2104227	0.7467555	0.8562731	0.9724845	0.7828188	0.6448287	0.2502447	0.7913885	0.1710712	0.5984142	0.5409754	0.6163827	0.7124983	0.8806387	0.6414669
