glpT	glpR	glpX	glpF	glpK	glpD	glpQ	glpC	glpB	glpA	flhD	flhE	flhC	flgC	fliS	ygdB	fliH	fliL	flgB	ycgR	fliG	flgN	gltI	fliI	fliO	fliF	gltL	flgG	fliR	flgD	hdfR	flhB	ppdC	fliK	ppdA	fliM	fliJ	recC	flgA	flgJ	flgI	fliN	gltJ	flhA	ppdB	fliQ	fliT	flgH	ygbK	fliP	flgM	gltK	flgE	fliD	yhjH	flgF	fliE	qseB	yecR	lrhA	hydN	mdh	fliY	hypF	fliZ	fliA	mglB	ccmD	ccmA	ccmC	mglA	ccmH	ccmB	modE	ccmE	narP	ccmG	ccmF	napC	napA	napF	napD	napH	narL	napB	napG	iscR	nrfG	nrfE	nrfB	nrfF	nrfA	nrfD	nrfC	hyaA	hyaE	hyaC	hyaF	appY	hyaB	hyaD	ydhT	fdnH	ydhV	fdnG	fdnI	ydhY	ydhU	ydhW	ydhX	hcr	yeaR	nsrR	ytfE	hcp	yoaG	fdhF	hycC	hycH	fhlA	hycA	hycE	hycD	hycG	hycB	hycI	hycF	hypA	hypD	hypC	hypE	hypB	fnr	dmsC	norV	dmsB	dmsA	norW	norR	dcuS	pheM	rplT	ynfE	ynfG	ygbA	ynfH	narX	ynfF	dmsD	nikE	nikR	nikC	nikA	nikD	nikB	moeB	frdD	moaE	cydD	dcuA	frdC	dcuR	frdA	frdB	dcuB	fumB	moaA	moaD	cueR	moaB	moaC	aspA	moeA	cydC	hyfB	hyfI	hyfC	hyfR	hyfH	hyfG	hyfF	focB	hyfE	hyfD	hyfJ	hyfA	hmp	nirC	nirB	nirD	cysG	aceE	narK	ubiC	adhE	ubiA	aceF	wzxE	rpsI	yeaE
0.3620306	0.5913620	0.0554039	0.1384695	0.2205561	0.0092981	0.4413430	0.6163242	0.3323367	0.3868152	0.6765381	0.5784729	0.1209590	0.5012355	0.7517216	0.0402386	0.3625891	0.3142035	0.0998707	0.5244980	0.4154851	0.3836443	0.0078242	0.6459968	0.3065406	0.5961954	0.1346481	0.0018095	0.0013941	0.3850925	0.6129288	0.2879410	0.4559393	0.1124424	0.3486162	0.0024668	0.5907579	0.4143672	0.3666455	0.7061612	0.2281652	0.2479332	0.4659326	0.4145664	0.2406020	0.2323488	0.3171039	0.2185892	0.5609526	0.3007571	0.1895706	0.4815070	0.5247635	0.4305333	0.6896030	0.5544873	0.7213605	0.6458150	0.3771867	0.7715722	0.2844959	0.3495566	0.3297828	0.6464046	0.2164823	0.0475560	0.2978659	0.4698210	0.5671598	0.8018919	0.4781322	0.0002425	0.6686994	0.7541948	0.6988770	0.6315960	0.7700158	0.6252438	0.5430767	0.4440884	0.7217796	0.4217430	0.6541758	0.6516972	0.4527666	0.0524890	0.6821176	0.2490227	0.7110040	0.3893325	0.3938257	0.0774078	0.2280549	0.6758370	0.3606310	0.1285827	0.0901214	0.1993700	0.5711938	0.2571897	0.0601264	0.0180457	0.0345450	0.3483179	0.3078901	0.7094404	0.3159833	0.4498155	0.3690095	0.3763224	0.6317701	0.5864537	0.6917459	0.6001505	0.5503738	0.3139017	0.5037802	0.6103025	0.1041515	0.2082563	0.0127986	0.7420152	0.4697066	0.5054113	0.2941720	0.0150921	0.6911817	0.1257005	0.2357470	0.4597492	0.3427590	0.2143158	0.5204075	0.1098505	0.4716626	0.5938571	0.4522416	0.2784363	0.1698148	0.0138548	0.0236290	0.0242568	0.1377945	0.4163883	0.0706928	0.0341801	0.0071606	0.1866565	0.0025964	0.6382101	0.3019942	0.1778369	0.4877895	0.7813404	0.1288913	0.1632509	0.3948116	0.2906279	0.4363522	0.1192612	0.3086607	0.3961712	0.4179319	0.3150724	0.2475865	0.6276996	0.0003655	0.1020809	0.7491916	0.5763367	0.0105289	0.6448741	0.1258882	0.5141682	0.2409858	0.0060535	0.1135782	0.0806360	0.0116549	0.0362015	0.0020337	0.3069489	0.1369366	0.0414409	0.3633272	0.3057323	0.0074249	0.7190729	0.8248374	0.6508082	0.4456015	0.3923565	0.1896914	0.0305574	0.4740120	0.0351942	0.7033701	0.0259683	0.0565585	0.2427513
0.2762703	0.7165087	0.1140259	0.1553703	0.2881036	0.0095277	0.0962087	0.4637396	0.2974130	0.3850618	0.6928948	0.3122097	0.0152390	0.5031949	0.3857867	0.0000872	0.3434757	0.0032417	0.0000179	0.4460413	0.2876761	0.3320819	0.2801378	0.5919842	0.2982190	0.2090289	0.0099200	0.0000034	0.0000051	0.3610868	0.7078831	0.2189054	0.3159106	0.2328219	0.3128401	0.2180532	0.0602851	0.3688976	0.3102061	0.3385511	0.3110959	0.2337830	0.6561752	0.7151030	0.0021969	0.5511555	0.0000110	0.4155208	0.3489082	0.1992221	0.1487812	0.2197504	0.3676849	0.0000756	0.4727866	0.3085098	0.2738553	0.7725689	0.2408964	0.6666367	0.3739348	0.5806148	0.0746000	0.3441433	0.5901080	0.0034208	0.5812493	0.4560028	0.6025862	0.6363131	0.3817908	0.0056391	0.3658690	0.6677722	0.5210736	0.7032643	0.5883733	0.3029650	0.3978363	0.7403388	0.5897660	0.5154747	0.6174414	0.4605469	0.4356117	0.3743380	0.6358206	0.5815289	0.5727483	0.6941015	0.2804695	0.1050581	0.5506607	0.3334094	0.2734727	0.1261523	0.1934651	0.1800562	0.4898261	0.3591985	0.4336706	0.1295639	0.0369174	0.2096890	0.2355956	0.7694990	0.2889501	0.6077356	0.6069596	0.0960743	0.5074444	0.5155299	0.6070895	0.3710021	0.2555248	0.6544165	0.4752252	0.1222476	0.0961549	0.2676354	0.0003463	0.5820920	0.4515204	0.2884025	0.2226450	0.0024084	0.7897377	0.1914839	0.0657885	0.4978015	0.4815599	0.0972119	0.5004558	0.0166399	0.3990019	0.4775621	0.1475857	0.2324198	0.1411085	0.0203456	0.1222238	0.0258921	0.0361440	0.2827246	0.0870171	0.1574692	0.0230050	0.0055411	0.1104760	0.1783625	0.5296420	0.1623441	0.3784593	0.5850962	0.0193083	0.3482573	0.2223093	0.5416529	0.1703193	0.1228710	0.4308067	0.3442559	0.4639409	0.6264665	0.2965245	0.4930594	0.0014751	0.1020388	0.7862241	0.4917257	0.0032230	0.5869120	0.1309905	0.4026568	0.2199003	0.2774746	0.0802476	0.0710258	0.0868207	0.4150726	0.0074169	0.1317649	0.0178649	0.0446777	0.0071979	0.0036414	0.0195978	0.4329387	0.7400590	0.7341700	0.3867277	0.1692196	0.2081594	0.0702461	0.5151620	0.0750992	0.6680173	0.0060880	0.0602937	0.2611815
0.1099794	0.7219488	0.1098785	0.2722721	0.2492895	0.0003189	0.2357271	0.6008887	0.3769275	0.3377528	0.7306164	0.5669565	0.3052930	0.5905959	0.8571334	0.0866737	0.3841218	0.5399035	0.3346108	0.5449428	0.5635706	0.4265507	0.4945776	0.7034521	0.5210290	0.5689771	0.5582497	0.0664610	0.0752949	0.5026949	0.6798650	0.2949992	0.4496964	0.2310566	0.4166133	0.3006343	0.6640591	0.4815468	0.6686516	0.6935504	0.3804706	0.4106168	0.5605792	0.5875681	0.4011672	0.4054976	0.0762319	0.3966423	0.4849623	0.3352180	0.3377783	0.4104059	0.3617181	0.7422626	0.6507316	0.4037728	0.6682947	0.6929390	0.3112061	0.6486117	0.3640983	0.2453149	0.3546039	0.4707216	0.1696442	0.1767623	0.0440814	0.5203327	0.6539200	0.5626544	0.2409615	0.1063746	0.4521642	0.6719468	0.6136589	0.7572339	0.6968808	0.3887887	0.7217594	0.5620658	0.3734497	0.7938333	0.6518139	0.1870119	0.5439730	0.1293795	0.5503072	0.4854707	0.5244836	0.5677154	0.3879903	0.6833244	0.4259038	0.6821927	0.2063688	0.0948086	0.1205978	0.2095388	0.4913036	0.2489438	0.0095660	0.1977080	0.0114712	0.4534204	0.1191444	0.3455833	0.5396466	0.4333773	0.5278102	0.1140480	0.7215120	0.5908439	0.6839824	0.5899910	0.1696872	0.5270998	0.7087300	0.3712068	0.2164391	0.4129596	0.0197814	0.5602596	0.4893745	0.5137913	0.2430827	0.0009188	0.7238404	0.2043246	0.4115696	0.6349573	0.4183564	0.1220754	0.7417341	0.2496641	0.6251656	0.7154687	0.4138893	0.2989295	0.2288664	0.0958921	0.0769196	0.1120991	0.4125610	0.6777928	0.0711975	0.0798371	0.0178991	0.1638859	0.0175294	0.0400306	0.7694356	0.4493884	0.3096291	0.7022247	0.3997424	0.0193281	0.4728679	0.7509907	0.0043326	0.4709118	0.5648131	0.2884161	0.2420773	0.2358520	0.3671069	0.6119484	0.0020638	0.2636249	0.6270473	0.7143168	0.0083946	0.3681448	0.0202502	0.4353242	0.2607596	0.2304249	0.2549079	0.3309301	0.1774319	0.0003697	0.2213236	0.2256777	0.0929584	0.7355691	0.1812830	0.4992361	0.0372447	0.5033118	0.6427383	0.6554499	0.2587018	0.3012992	0.2140911	0.3784400	0.6173857	0.2592032	0.7390445	0.0210087	0.0145430	0.3761945
0.3573327	0.7521355	0.1401784	0.2300635	0.4086434	0.0179499	0.4989160	0.4611874	0.3433106	0.2275505	0.5541255	0.5845597	0.0548469	0.4450620	0.5708095	0.1283656	0.3963150	0.0008282	0.1043350	0.3020229	0.3785436	0.2685411	0.1678955	0.7757006	0.4958928	0.4297061	0.2991592	0.1816227	0.0887710	0.3808798	0.5223248	0.3840781	0.6431237	0.0156177	0.3040147	0.0051537	0.4088250	0.6334372	0.3619003	0.4147206	0.3096213	0.1976469	0.5704630	0.4430802	0.0380384	0.2997058	0.0973898	0.1990930	0.3394580	0.3398123	0.2395154	0.2749811	0.6189409	0.0063612	0.5219475	0.5643915	0.0786264	0.5952413	0.4813555	0.5369456	0.2706666	0.4587322	0.1754346	0.1347270	0.5982225	0.0276064	0.6751940	0.5645454	0.4243008	0.6313212	0.1662112	0.0016590	0.3306518	0.4744083	0.4586473	0.6709946	0.7161532	0.7657945	0.2710589	0.6257697	0.7089799	0.4473658	0.6740869	0.3833028	0.2904110	0.2811397	0.5950931	0.6090938	0.5785600	0.4115454	0.3067626	0.1084346	0.4295744	0.4628411	0.3249493	0.0746720	0.0147311	0.5178196	0.7049885	0.5356728	0.0527835	0.1006504	0.0238766	0.3817941	0.2073862	0.5855051	0.3070061	0.2963031	0.7310198	0.1148695	0.7320143	0.5519527	0.6153778	0.4621897	0.4176327	0.6316056	0.5333746	0.5098287	0.2120775	0.4643285	0.0303174	0.6296401	0.5707849	0.6104932	0.3660971	0.0033384	0.7142190	0.5214262	0.3472095	0.5106319	0.4683884	0.1039566	0.7482348	0.0108702	0.7050614	0.6510450	0.3695300	0.3019504	0.1697106	0.1439343	0.0728331	0.1785599	0.1708300	0.5390705	0.0742784	0.0034689	0.0047660	0.1737452	0.2330316	0.6685115	0.4557553	0.2188254	0.2951382	0.7611489	0.2122758	0.0253807	0.2075301	0.6146390	0.0073959	0.2684655	0.6066798	0.4346841	0.3701589	0.4149193	0.3389301	0.4774600	0.0551108	0.0042013	0.6786375	0.8271588	0.2671150	0.1576007	0.2050165	0.5325522	0.0511841	0.0013362	0.4618792	0.0032044	0.3626971	0.0000064	0.0659209	0.1214692	0.0118311	0.0052772	0.0865751	0.2724514	0.0417075	0.5259141	0.7504319	0.7672473	0.4637425	0.2845162	0.2906230	0.1875510	0.4777523	0.1719036	0.6675040	0.0436162	0.0547917	0.2303294
0.4321458	0.6996282	0.0773895	0.1399954	0.3284169	0.0002210	0.4720665	0.7031553	0.4187364	0.2117280	0.7068986	0.4804216	0.1213119	0.4125428	0.7129145	0.1679910	0.4475860	0.3117851	0.2452732	0.5377235	0.4331426	0.6672043	0.0050427	0.6101265	0.2652802	0.6811266	0.1855353	0.0019768	0.0058886	0.4415401	0.6979953	0.2960898	0.4424789	0.1128892	0.4752815	0.0086146	0.5518635	0.4001172	0.3202560	0.7251863	0.2386569	0.2817339	0.4028235	0.4369771	0.3493293	0.2326903	0.2037717	0.2166194	0.5445092	0.1321155	0.0519006	0.1857845	0.6614696	0.3687818	0.5251969	0.2306089	0.6773581	0.9089805	0.2928749	0.7346420	0.5776837	0.3502976	0.3325084	0.3065563	0.6603505	0.1648282	0.2110331	0.5189699	0.5731030	0.6519182	0.3801800	0.1678846	0.4605045	0.5091315	0.6336860	0.7591186	0.6195149	0.6337346	0.5020706	0.3804160	0.6427258	0.6821697	0.5562273	0.3195062	0.3603815	0.3709624	0.6330774	0.5095136	0.5515532	0.4360708	0.5077373	0.2608231	0.6033854	0.6978452	0.2844733	0.1769078	0.1358135	0.3595259	0.6450635	0.2903865	0.4237831	0.0750777	0.2341969	0.4430608	0.1588844	0.4509907	0.4873686	0.4056738	0.6699443	0.2845542	0.6585601	0.6091725	0.4512809	0.2593264	0.3772341	0.4211988	0.6496673	0.4382870	0.1290001	0.5809394	0.2162660	0.5575890	0.5639485	0.6365110	0.2770553	0.0016398	0.5802750	0.5124440	0.3953006	0.3929777	0.5973306	0.3400360	0.6375795	0.0350137	0.7392836	0.7419249	0.3271033	0.3143282	0.2791292	0.0488530	0.0872995	0.0755023	0.2754562	0.5821709	0.0361533	0.2964519	0.0024753	0.1879744	0.0535159	0.2585801	0.4728650	0.3338325	0.2085687	0.5857021	0.3224797	0.0665419	0.2953707	0.5058940	0.0521780	0.2823270	0.3453205	0.1256927	0.1096943	0.2694902	0.3863863	0.6441652	0.1319163	0.2725302	0.7121262	0.4479482	0.1019640	0.7523383	0.0574134	0.3474917	0.1207363	0.0642717	0.0004386	0.1671237	0.0493268	0.2214110	0.5651286	0.5108820	0.4458346	0.1111969	0.0124887	0.1709723	0.0105006	0.4896894	0.6638621	0.6484823	0.3084989	0.4724857	0.1689521	0.0567430	0.4443926	0.1472345	0.6887694	0.0512417	0.0177950	0.2115933
0.3173209	0.7717826	0.0636948	0.1709988	0.3049430	0.0156204	0.2394557	0.5300967	0.2536360	0.2488069	0.3657739	0.5464363	0.2256271	0.6682934	0.7090988	0.0120569	0.5262341	0.3907158	0.1860375	0.6463704	0.5978099	0.3882200	0.0613918	0.7874179	0.4376154	0.6655237	0.4604060	0.1266504	0.0866253	0.6409958	0.4950201	0.1675847	0.4209555	0.2207876	0.3658769	0.0164826	0.7206299	0.3771564	0.3407866	0.6481741	0.2154993	0.5348292	0.5508650	0.4460651	0.4313882	0.3441619	0.0131644	0.2449524	0.4806493	0.2628966	0.2315300	0.1964032	0.3679655	0.5473812	0.5345293	0.2828668	0.5929557	0.6300193	0.4209166	0.7287982	0.3297232	0.3419878	0.4392321	0.6043197	0.2503199	0.2657671	0.1271411	0.5332692	0.6271462	0.6920155	0.2814742	0.0020718	0.5520660	0.6448189	0.3810865	0.4132677	0.5020640	0.4858353	0.3462750	0.5405247	0.7374862	0.3906075	0.4042282	0.8543005	0.4051809	0.0471902	0.5680990	0.3153835	0.6562614	0.7933591	0.2822199	0.5870363	0.1687225	0.7976310	0.1354491	0.1634941	0.1497524	0.3675399	0.6563292	0.3522076	0.0994197	0.0031407	0.0077398	0.4782690	0.4162278	0.8170255	0.4651855	0.6655317	0.5310359	0.3000996	0.6994583	0.7368444	0.4593924	0.6853715	0.6703278	0.6173157	0.4010747	0.5472891	0.4048066	0.5007307	0.2323868	0.7020588	0.5852793	0.3627474	0.4724211	0.0539875	0.5006807	0.3673804	0.4969768	0.6380561	0.2551407	0.3917178	0.5865028	0.0119473	0.4825482	0.7019260	0.2869474	0.0560149	0.3658801	0.0761546	0.1075725	0.0946753	0.0193394	0.3951814	0.0711580	0.2838625	0.0062218	0.0000587	0.0021796	0.3329545	0.4253972	0.0969167	0.3159007	0.4438112	0.3135074	0.0517210	0.4649102	0.4102577	0.1537197	0.1285327	0.2338879	0.4712644	0.4614999	0.3972849	0.3309469	0.6648297	0.1940227	0.0570559	0.7618413	0.6151449	0.4476609	0.6921214	0.0549440	0.5088555	0.2673208	0.2635687	0.2287301	0.4944399	0.3455790	0.0030639	0.2356155	0.7274420	0.2588517	0.1091018	0.0022409	0.2940965	0.0545779	0.5748347	0.5919240	0.6364155	0.4542844	0.2509444	0.3240877	0.1155306	0.5679975	0.0401378	0.5651256	0.0544229	0.0203011	0.3545829
0.2298328	0.7165801	0.0922708	0.0792691	0.3075438	0.0005705	0.1986894	0.6707724	0.3606431	0.4931868	0.5454547	0.5520719	0.3713990	0.7305464	0.5685413	0.1620931	0.4887417	0.5790703	0.5982333	0.4633618	0.4790128	0.5705228	0.1504882	0.7246290	0.6492149	0.4956584	0.7302170	0.3808339	0.3305781	0.5898326	0.7749944	0.2537873	0.4959448	0.4054231	0.7520427	0.2615100	0.7272642	0.4260782	0.6081309	0.7260648	0.6433229	0.3884683	0.7128895	0.4890813	0.6837704	0.5798698	0.1392087	0.4889838	0.4844492	0.5796923	0.7786289	0.4545468	0.4906368	0.7029424	0.4461743	0.3941113	0.5731800	0.6022270	0.2694430	0.6336642	0.5926220	0.2515679	0.3890856	0.6834215	0.4866306	0.2272541	0.0970968	0.4720789	0.6710034	0.7158709	0.0955250	0.0414996	0.5413377	0.6410443	0.5153026	0.5072813	0.6356539	0.6845205	0.4335612	0.6642391	0.6052864	0.3814013	0.6107106	0.5348586	0.7254850	0.2952871	0.7228131	0.6313096	0.6320221	0.5292345	0.5830016	0.5849371	0.4951754	0.6574330	0.1895371	0.0320399	0.0784568	0.3092620	0.5546629	0.4261694	0.2306143	0.0251603	0.1803621	0.3116994	0.3232544	0.3955201	0.3714042	0.6686221	0.6158755	0.3839313	0.6303349	0.8604629	0.5658096	0.2794898	0.2865219	0.6266201	0.5499454	0.5177896	0.2911735	0.4978268	0.3060500	0.5941528	0.5475694	0.5579832	0.2775499	0.0033611	0.7234894	0.5529768	0.3641413	0.4026127	0.2724593	0.2401797	0.4329590	0.1113373	0.4862519	0.6256222	0.3204723	0.0897333	0.3182976	0.2497158	0.1694368	0.0882283	0.4434695	0.1809585	0.1901278	0.0474043	0.2389376	0.1915613	0.0028341	0.3622664	0.4385483	0.0732462	0.3103298	0.6733061	0.2719159	0.0461419	0.2308018	0.5019712	0.0674998	0.1594461	0.2176022	0.1382989	0.3152871	0.1460291	0.0297332	0.5644113	0.1132366	0.0931912	0.5670326	0.6991450	0.1859251	0.5469399	0.1325869	0.4222033	0.4679361	0.5387300	0.2131834	0.5212931	0.4297737	0.0749754	0.6386161	0.3524596	0.4929812	0.0708955	0.0098588	0.5383415	0.0709264	0.5905884	0.7312903	0.5658458	0.4362993	0.0761221	0.3534647	0.0756407	0.5071597	0.1446467	0.3313370	0.0142775	0.0758374	0.3761242
0.2299715	0.6006723	0.0758258	0.2776845	0.3055485	0.0079844	0.3486655	0.4052925	0.2725723	0.2977179	0.6236922	0.7177000	0.3653615	0.5736258	0.5750036	0.0462004	0.4899029	0.4956842	0.3080837	0.3472093	0.4882207	0.3048333	0.4131411	0.6748374	0.5300330	0.4758353	0.5438687	0.0779582	0.0805351	0.7361390	0.5862980	0.1591524	0.3495722	0.1950572	0.3594553	0.1784680	0.5885107	0.4272934	0.6138226	0.6018456	0.2921798	0.4045359	0.4978629	0.4847678	0.5192763	0.5711121	0.0462458	0.2495685	0.5195594	0.3136006	0.5248046	0.2108935	0.5265641	0.6719415	0.4723111	0.5829224	0.6657469	0.6101142	0.3746033	0.6768817	0.3285473	0.2342081	0.2294375	0.6246603	0.5111161	0.1803762	0.0833717	0.5585296	0.4184795	0.6975915	0.4237016	0.0372394	0.6316885	0.6209493	0.4694910	0.6206754	0.4177489	0.5878851	0.4207005	0.6482279	0.5053480	0.4821721	0.5682009	0.6616370	0.4656365	0.0268463	0.7139467	0.4770342	0.6257571	0.7447222	0.4171001	0.5188279	0.2701817	0.6303458	0.1847124	0.0974273	0.0795013	0.2882011	0.6721754	0.1117175	0.0003544	0.0151364	0.2254253	0.2647381	0.3177432	0.6070750	0.5537062	0.3958181	0.4955378	0.2328184	0.6385289	0.5879012	0.5965723	0.4920191	0.2337907	0.3554509	0.3282770	0.4106631	0.1034399	0.3636109	0.0066638	0.6290472	0.2289536	0.3413341	0.2353117	0.0024689	0.7486917	0.3714470	0.4872180	0.4134830	0.1497074	0.1334095	0.6818705	0.0554745	0.5470678	0.5609137	0.3214763	0.0376060	0.3049248	0.1641338	0.0391156	0.0008168	0.0607200	0.4244204	0.0599552	0.1207143	0.0031799	0.3613042	0.0003239	0.4955673	0.3031207	0.0112407	0.6404720	0.6575480	0.0861859	0.5957828	0.3202643	0.6516803	0.3885538	0.3388302	0.3398642	0.2489740	0.3788243	0.1745762	0.1426773	0.6646539	0.1132392	0.0622198	0.7930824	0.6161630	0.1626432	0.7688443	0.0802378	0.5077523	0.2601524	0.3737368	0.0005740	0.4192194	0.3829184	0.0117102	0.1359690	0.0612182	0.0730577	0.2103582	0.2897444	0.1984547	0.0481833	0.6954626	0.5604580	0.5195801	0.5481511	0.2247471	0.5329202	0.1041166	0.3273631	0.0145989	0.6178807	0.0261196	0.0327837	0.2018013
0.1483718	0.6077451	0.1463704	0.1687266	0.3410447	0.0181576	0.3248263	0.4854119	0.6043748	0.1802822	0.6717484	0.4634702	0.1316670	0.4077533	0.7286562	0.1867660	0.5030909	0.0632555	0.0028913	0.5421947	0.4920109	0.3753552	0.2544636	0.7943446	0.3287489	0.5349345	0.0529580	0.0008624	0.0857491	0.4603774	0.7179685	0.3295279	0.5984032	0.0509688	0.5737709	0.0014585	0.6229629	0.3580201	0.2661055	0.7037684	0.3240847	0.3194858	0.7308676	0.4096271	0.1515471	0.2997054	0.0030434	0.2435650	0.3430696	0.2429481	0.1051389	0.2913035	0.3898683	0.1778504	0.4489095	0.2649074	0.5722927	0.8334084	0.3038551	0.5990294	0.3762444	0.5217352	0.1079604	0.2156632	0.4957511	0.0776016	0.5624470	0.5600661	0.3389635	0.6502638	0.4007111	0.2992305	0.4758532	0.6112063	0.4605711	0.5727472	0.6926889	0.5608562	0.5973269	0.4859165	0.7984349	0.4424360	0.3121340	0.6369042	0.3141289	0.1682756	0.6913565	0.2312435	0.5365288	0.6537160	0.2850857	0.1382661	0.2804695	0.5198214	0.3096507	0.0753806	0.1152749	0.4886745	0.6992174	0.1818497	0.0119541	0.0032956	0.2627329	0.5461634	0.4573176	0.6771902	0.5346634	0.3000712	0.5461622	0.2283408	0.7349382	0.7449789	0.5369186	0.5169322	0.3862413	0.6803838	0.3817698	0.6963184	0.2009864	0.5881128	0.2450843	0.4101746	0.6391466	0.3539192	0.3408798	0.5225122	0.5434318	0.4654716	0.3576530	0.4277838	0.3653690	0.1802249	0.4549770	0.1038303	0.6188686	0.6781775	0.2982706	0.3503187	0.2161349	0.0117870	0.1537609	0.0190766	0.4307869	0.2656380	0.1064328	0.3122852	0.0067546	0.0017592	0.1477679	0.2331433	0.1655681	0.1568687	0.3850662	0.6159484	0.3377949	0.0513658	0.4366336	0.3370062	0.5931275	0.2259657	0.1752539	0.2114995	0.1517339	0.1669674	0.2807241	0.6067948	0.0797750	0.3523167	0.6158882	0.5729447	0.0040961	0.3586654	0.0874834	0.4037266	0.2816852	0.0604630	0.1520246	0.1067714	0.4494510	0.0038837	0.2061912	0.4426388	0.0418792	0.0575043	0.3938434	0.0005821	0.0082049	0.5354344	0.6536148	0.5622430	0.4332528	0.1478006	0.3599920	0.1980374	0.5536050	0.0751922	0.6104016	0.0486965	0.0088641	0.2701305
0.4479980	0.5649363	0.2592695	0.3099709	0.3564109	0.0023098	0.2918729	0.6417173	0.4733106	0.4167068	0.5433805	0.6187824	0.3938981	0.5858040	0.7205136	0.3008773	0.5004221	0.4997846	0.6407205	0.4046605	0.7487816	0.6479123	0.1774955	0.7761413	0.5706083	0.5946023	0.5360235	0.2385596	0.2880989	0.6656963	0.6704979	0.5404991	0.5217947	0.3841075	0.4559549	0.1150500	0.6056507	0.5425448	0.3346374	0.6287105	0.4946538	0.3297319	0.6430895	0.5171528	0.5743303	0.4256384	0.0998047	0.3717549	0.5774212	0.6192392	0.5881523	0.3099059	0.6713388	0.6588947	0.5376719	0.7212527	0.6001286	0.3844251	0.3403373	0.6345065	0.4116245	0.3346654	0.2691097	0.5831077	0.6027802	0.1604904	0.0623560	0.7345628	0.5703491	0.6371793	0.2739900	0.3436000	0.5473722	0.7089974	0.4907448	0.6896132	0.4266815	0.6264649	0.4451976	0.6150186	0.7393889	0.5126750	0.7301545	0.4685059	0.5505986	0.0375799	0.7308699	0.3283260	0.6610204	0.6765544	0.4386554	0.6275186	0.2680938	0.6825773	0.1387574	0.1404155	0.2148680	0.1747767	0.1967004	0.1468096	0.0237549	0.2054521	0.0246582	0.1509000	0.1984625	0.6769990	0.5279122	0.3744106	0.5215777	0.1526116	0.8663678	0.4802024	0.8360492	0.1744389	0.5265646	0.3769771	0.4715646	0.3411078	0.0812741	0.2386164	0.2725704	0.4398653	0.5104460	0.3207326	0.2737968	0.0014735	0.5734089	0.3296591	0.3730765	0.6049580	0.2187686	0.2359390	0.7128206	0.2152897	0.7071240	0.5481917	0.4653532	0.2456513	0.2744745	0.0717490	0.0264001	0.0013983	0.1053811	0.4119933	0.0339237	0.0040152	0.3568397	0.1667071	0.2277532	0.4414340	0.4251717	0.1672856	0.6195926	0.6208612	0.4224708	0.0715029	0.4708778	0.5509023	0.0838924	0.2417093	0.3564096	0.1227288	0.1963951	0.3348304	0.1790836	0.7537188	0.1206700	0.0912114	0.7278588	0.5403830	0.0090753	0.5024666	0.0734370	0.3885647	0.1001719	0.0818557	0.0002176	0.0517972	0.3233587	0.0034889	0.0588676	0.0843817	0.0863131	0.0401531	0.0016673	0.0005452	0.0295679	0.4305036	0.8566349	0.7301385	0.3039169	0.1599195	0.2259259	0.1984204	0.2990085	0.2074667	0.7790817	0.0045619	0.0658439	0.1183493
