nrfD	narP	ydhT	ydhX	ydhU	narL	ydhV	ydhW	ydhY	fdnG	fdnI	fdnH	hcr	ytfE	fdhF	hcp	yoaG	yeaR	nsrR	nrfC	nrfB	nrfA	nrfF	nrfE	nrfG	flhD	ccmE	ccmF	ccmH	flhC	ccmC	ccmB	ccmA	ccmD	modE	ccmG	napH	napF	napB	napC	napD	napG	napA	iscR	fnr	yecR	fliY	fliZ	fliA	norW	hyaA	hyaC	hyaD	norV	norR	dmsB	hyaB	appY	hyaE	hyaF	dmsA	dmsC	glpA	glpB	glpC	ppdB	fliR	gltL	flhA	flgG	fliN	fliQ	fliL	flgH	fliI	yhjH	fliK	hdfR	dcuS	ycgR	flgD	pheM	fliD	flgI	fliP	gltI	flgB	ppdC	gltJ	ygbK	flgC	fliO	dmsD	ygbA	ppdA	ynfG	ygdB	flgM	flgJ	flgE	flgN	fliG	fliH	flhB	flgF	fliF	flgA	fliE	fliJ	ynfE	fliT	ynfH	fliM	rplT	ynfF	gltK	narX	fliS	recC	flhE	nikB	nikR	nikE	nikD	nikA	nikC	frdA	aspA	moaB	moaA	lrhA	cydC	moaE	cueR	moaC	moaD	hydN	frdD	dcuR	frdC	frdB	dcuB	fumB	cydD	dcuA	qseB	moeB	moeA	nirD	nirC	cysG	nirB	mdh	hmp	hypF	glpR	adhE	hycD	narK	hypD	hycG	fhlA	hycB	hycE	hycA	hypC	hycI	hypB	hycH	hypE	hycC	hycF	hyfC	hyfE	hypA	hyfF	hyfR	focB	hyfD	hyfA	hyfG	hyfJ	hyfI	hyfH	hyfB	aceF	ubiA	aceE	ubiC	mglB	scpA	cueO	rybB	yqjI	rpsI	xdhA	rffE	rffD	ydeJ	tadA
0.1107831	0.8078207	0.5070304	0.6200447	0.0138621	0.4522468	0.7343854	0.4780548	0.7274375	0.0531431	0.3642058	0.2363812	0.4494424	0.4609836	0.2620576	0.6817902	0.7294325	0.0628819	0.7593660	0.2449437	0.6990785	0.5523844	0.0023598	0.1444942	0.5624741	0.0081575	0.6500889	0.3556910	0.0947653	0.6058864	0.4935988	0.7567593	0.4794191	0.4024782	0.5887545	0.0144089	0.5941617	0.1006811	0.1021025	0.1131450	0.5124977	0.0976018	0.5434964	0.6608691	0.7278391	0.6070336	0.2253939	0.1841446	0.0183309	0.0835852	0.2855985	0.5084993	0.1523993	0.1049320	0.2486257	0.2561051	0.5774127	0.7168580	0.3532144	0.1535607	0.1489735	0.5599528	0.0005902	0.3717018	0.4342886	0.2170661	0.3957748	0.6652457	0.6917858	0.0159489	0.5245087	0.1438981	0.0153086	0.3930255	0.3048558	0.0000792	0.4433042	0.6635738	0.2205909	0.1493093	0.7481941	0.2468347	0.3884355	0.5419582	0.0329043	0.0000004	0.0700520	0.5222938	0.6407789	0.5548274	0.0229946	0.0602323	0.4073315	0.0009702	0.3656422	0.6514566	0.3478000	0.0157627	0.4879019	0.4033837	0.4629269	0.1974559	0.2272854	0.3600120	0.2317518	0.4373495	0.4151317	0.3387347	0.3813731	0.4543712	0.5988225	0.4454187	0.0035188	0.0676906	0.6840067	0.0459460	0.5766174	0.3960500	0.0536130	0.2700750	0.4438805	0.5929685	0.1082070	0.1830082	0.2545518	0.2647472	0.0007719	0.3395135	0.3469473	0.3961255	0.7052375	0.5364571	0.6717004	0.5774743	0.0857371	0.2492952	0.0668973	0.6872780	0.2050980	0.1010601	0.3774662	0.4287033	0.2605795	0.4903749	0.2198205	0.5852049	0.4483880	0.2133336	0.6347220	0.2751250	0.6009161	0.7560307	0.3711012	0.1309031	0.5037904	0.5783859	0.2039462	0.2975300	0.7382058	0.3647427	0.2986858	0.1268367	0.5648587	0.3736664	0.4922000	0.1862463	0.3732857	0.5819034	0.2337326	0.1125008	0.1034164	0.6930492	0.0492294	0.0551013	0.0555121	0.0146265	0.0786869	0.1020815	0.0059110	0.0056027	0.0267921	0.2757323	0.1476218	0.0733068	0.3900509	0.7218018	0.0023768	0.4271484	0.0004675	0.1145465	0.6325872	0.4823229	0.3645886	0.4703533	0.1324722	0.6662429	0.1718358	0.2361496	0.6572740	0.1607672
0.2435014	0.6739088	0.3805782	0.4044740	0.0652447	0.4187465	0.6145688	0.7675353	0.6201429	0.1395141	0.2699766	0.2046217	0.0944419	0.4581501	0.5958710	0.5515189	0.6023671	0.0031980	0.5836667	0.0001506	0.4939820	0.3561456	0.0023002	0.0007950	0.2969167	0.0039009	0.5296152	0.1996922	0.2811981	0.7436654	0.3592898	0.3968323	0.4976574	0.2619379	0.6797501	0.0817151	0.5840573	0.4784748	0.0071490	0.0801850	0.2352233	0.2478476	0.6647620	0.4204305	0.5096618	0.6056991	0.3605071	0.0023037	0.3096831	0.2686994	0.5283908	0.7026130	0.0447400	0.3685349	0.3205367	0.4541607	0.5671551	0.6888590	0.3554122	0.3932858	0.0149372	0.4361625	0.1238366	0.5102409	0.0487873	0.1404307	0.2122080	0.5281432	0.3306334	0.0404819	0.6480856	0.0005198	0.0003451	0.3157583	0.5845714	0.1890870	0.4858670	0.6268649	0.1705518	0.3458802	0.7157118	0.2321894	0.0015052	0.4901132	0.0616485	0.0000221	0.0119270	0.2818443	0.3265344	0.4278896	0.0773733	0.1723444	0.4994319	0.0209451	0.5288160	0.6702547	0.3139144	0.0073163	0.2807190	0.4607500	0.4324874	0.1753078	0.1886118	0.1450842	0.4276625	0.3413827	0.3881718	0.6317152	0.2604204	0.4311546	0.4838686	0.1026596	0.5645623	0.0571524	0.5641206	0.0005172	0.5274534	0.4411539	0.0000035	0.3344264	0.4087115	0.5976452	0.1462336	0.2452745	0.3423857	0.2837564	0.0000692	0.2466274	0.4998960	0.3261679	0.7860047	0.5088171	0.1488313	0.6495034	0.0657208	0.1919797	0.2419323	0.4584015	0.5675300	0.6608592	0.5477551	0.3950546	0.4459125	0.4010702	0.2693754	0.7112835	0.5832478	0.3575799	0.7424669	0.2518193	0.6391491	0.6395971	0.3706833	0.2832369	0.7974321	0.4127989	0.3339540	0.3242550	0.6055342	0.1197363	0.2266297	0.4030347	0.4159286	0.0747843	0.3675890	0.1149141	0.3047523	0.5609549	0.1222079	0.0997500	0.0484510	0.6601515	0.6603662	0.3647086	0.2939100	0.2153233	0.3026748	0.2028592	0.4747743	0.2463543	0.1790046	0.4278645	0.0875220	0.7262873	0.5093469	0.0935140	0.0050220	0.4133612	0.0294247	0.0101512	0.6325010	0.4455567	0.2618715	0.3200074	0.0910019	0.6795990	0.2583217	0.3208256	0.6869774	0.1663539
0.1872048	0.5194249	0.2555779	0.6721637	0.0881393	0.1829220	0.4441426	0.7267522	0.5107613	0.0912573	0.0593996	0.2399193	0.4630035	0.1071298	0.2765042	0.4616137	0.5840201	0.0003825	0.6673311	0.0000002	0.5822671	0.3323426	0.0800045	0.0011878	0.6484024	0.0001141	0.5536251	0.2403639	0.0000149	0.6647317	0.3559379	0.5403459	0.5580933	0.7003822	0.4743046	0.4604996	0.4138366	0.5060006	0.0040840	0.4533954	0.4423424	0.3134997	0.6188330	0.3855931	0.7783529	0.6260829	0.2865714	0.0003144	0.0696891	0.1534859	0.2764899	0.7497557	0.2375578	0.2316086	0.3786960	0.4433221	0.6484210	0.4775097	0.4987224	0.2665986	0.0995662	0.6548433	0.0404167	0.3482781	0.4734470	0.1089615	0.2201990	0.4992991	0.5171615	0.0091557	0.8497397	0.0946650	0.0000627	0.5009751	0.3244134	0.1681246	0.3701152	0.7292560	0.4509441	0.2688576	0.6361913	0.2731777	0.1178169	0.4045479	0.0690373	0.0007943	0.0010167	0.3373033	0.6633711	0.2889688	0.1233815	0.2080997	0.5825790	0.0001486	0.4978408	0.3976426	0.2356123	0.2468841	0.5470665	0.5325614	0.5116221	0.2446739	0.4679918	0.1313409	0.3276536	0.1495056	0.2985440	0.5638878	0.2216659	0.5817258	0.5267515	0.0991171	0.0003722	0.0000619	0.6326165	0.2285906	0.4216995	0.4980792	0.0001051	0.2291611	0.3689839	0.5726963	0.0616010	0.3115805	0.5273371	0.3213746	0.0459393	0.2487311	0.2955840	0.3006285	0.6616251	0.5420593	0.0159310	0.6146171	0.0312762	0.2956087	0.1409809	0.3088991	0.6142613	0.7030937	0.6249766	0.5675272	0.5251734	0.4782451	0.4128540	0.5417244	0.2890320	0.1970718	0.5934507	0.2351072	0.7169551	0.6102447	0.3999951	0.3264577	0.6298172	0.4587712	0.0558767	0.2571269	0.6331763	0.1442636	0.1333100	0.2581494	0.4507464	0.0063931	0.0509845	0.1829635	0.0000178	0.5002613	0.2968679	0.0615370	0.1997943	0.5683024	0.0557199	0.1729916	0.1307207	0.0215718	0.1053386	0.2289519	0.0675796	0.0978816	0.1041390	0.6367627	0.0043465	0.4743484	0.2630654	0.5240534	0.0002546	0.3989504	0.0115552	0.1207816	0.6804567	0.4874337	0.2328786	0.4933777	0.0472435	0.6460190	0.2384479	0.2047192	0.4911476	0.0909113
0.0502051	0.7525705	0.1682196	0.5190284	0.0112662	0.7409915	0.5597021	0.2631324	0.5065318	0.2566816	0.6590934	0.0862652	0.4650475	0.5369200	0.5258209	0.4740810	0.5368761	0.0000111	0.7140876	0.1298430	0.7390135	0.4617412	0.0675605	0.3020450	0.3898387	0.0007671	0.6115258	0.0789210	0.0000113	0.5228759	0.1499661	0.5304540	0.5402067	0.5210947	0.5683359	0.0156544	0.5287334	0.2298753	0.0004181	0.0145352	0.5689367	0.0099722	0.6587522	0.6188339	0.7974785	0.6751784	0.1774388	0.0000124	0.0116714	0.0891240	0.2255391	0.6241468	0.0430579	0.2651253	0.3168470	0.1889331	0.6720900	0.5679304	0.2910706	0.1693303	0.1932067	0.6728201	0.0320542	0.2379478	0.1444338	0.1953802	0.2793864	0.5076385	0.5702959	0.1242271	0.5378349	0.1706340	0.2482670	0.3190530	0.2835210	0.1642723	0.4248427	0.8826038	0.0942180	0.1911486	0.6141220	0.1959595	0.0000801	0.6227862	0.0065902	0.0001586	0.0000062	0.3928436	0.6483313	0.3104991	0.0007879	0.0071419	0.3105030	0.0053752	0.3596142	0.5968273	0.1947711	0.0019021	0.4951365	0.3224584	0.5092877	0.1384750	0.3944235	0.3065991	0.3762356	0.4121306	0.4437639	0.5530370	0.1994619	0.2383052	0.5448113	0.0484970	0.0001413	0.0067749	0.1118264	0.0698244	0.5725430	0.4818143	0.0631613	0.2159787	0.3602752	0.1148596	0.0026100	0.5223701	0.2308326	0.4341587	0.2136403	0.3983495	0.5747453	0.2608489	0.7703854	0.5792941	0.1994482	0.5273686	0.3365415	0.3514681	0.0446394	0.2793367	0.3066314	0.3736077	0.2801875	0.5038888	0.1480523	0.6076904	0.0050255	0.6964696	0.5444322	0.1687648	0.7507229	0.3459745	0.8123910	0.6438931	0.3651279	0.3362660	0.5556680	0.4184619	0.0071130	0.5301110	0.6978101	0.3643031	0.1237076	0.1184704	0.3507711	0.0336371	0.3556333	0.1884900	0.1820988	0.5095842	0.2770942	0.0220582	0.0088712	0.6616050	0.4205295	0.1849284	0.2744019	0.0244493	0.2245797	0.2216193	0.3490593	0.1066294	0.0626756	0.4380642	0.1171390	0.5231637	0.1039276	0.2459453	0.0001055	0.4549353	0.0044974	0.2114232	0.5751440	0.3206916	0.1988870	0.4719451	0.1385861	0.5535235	0.2164410	0.2101180	0.7718384	0.1672466
0.2045774	0.4380915	0.4811545	0.4816496	0.1228318	0.3605093	0.5692050	0.5019752	0.6831639	0.1220334	0.5965543	0.3021607	0.5677395	0.4345536	0.7503063	0.5040287	0.6293583	0.0002818	0.5156853	0.0063875	0.5579403	0.2871594	0.3963104	0.4600832	0.6331012	0.0734891	0.6805233	0.0706810	0.3150430	0.6351706	0.3822040	0.6881895	0.7505377	0.5187179	0.5680191	0.3842023	0.5433429	0.3546353	0.1438325	0.1561395	0.3282502	0.3804891	0.5430929	0.7014830	0.5197220	0.6583227	0.4115633	0.0184460	0.0899801	0.2898529	0.5507133	0.6853824	0.0192858	0.2585353	0.3577826	0.5907387	0.4667663	0.5671320	0.3457135	0.2428748	0.1347031	0.6437979	0.1276194	0.2618957	0.4839384	0.5441297	0.5587419	0.4068164	0.5029474	0.4269951	0.5422000	0.4412005	0.1713774	0.3219514	0.7460596	0.0003007	0.7108929	0.7065304	0.2028466	0.2542664	0.6454264	0.4305551	0.1210134	0.4953093	0.4928570	0.0633293	0.0837002	0.4434390	0.5029390	0.3960874	0.1122699	0.5750604	0.3845610	0.0390395	0.4490459	0.5733164	0.4336139	0.2898297	0.6682559	0.5679135	0.4284332	0.3887117	0.3817648	0.2180814	0.4617642	0.5071546	0.2792898	0.3149267	0.6877626	0.4713572	0.4914282	0.3463926	0.0631850	0.0024484	0.5782049	0.2599653	0.3413893	0.5109087	0.2112129	0.3389362	0.5136343	0.3263857	0.1175158	0.2415732	0.3072450	0.3929190	0.0693207	0.3361868	0.6160094	0.3904271	0.6602413	0.4469498	0.1930726	0.2582106	0.4349879	0.5784539	0.4088038	0.4409845	0.5369534	0.4189635	0.6097013	0.4715944	0.5153124	0.6883595	0.1018293	0.6667486	0.3372165	0.4136667	0.7059307	0.0374081	0.7785820	0.6840682	0.4178386	0.3197407	0.7726073	0.7190041	0.0320083	0.6591412	0.5366475	0.2947863	0.4955379	0.4211603	0.6055738	0.0487160	0.4663034	0.1279838	0.0000423	0.4569901	0.3436051	0.2503506	0.0931285	0.4817931	0.3743359	0.3103476	0.1441120	0.0336773	0.3267127	0.6229319	0.4528520	0.3660548	0.1125985	0.3000052	0.1665646	0.3106003	0.3477701	0.4509738	0.0112728	0.2314639	0.0232138	0.0201193	0.5375604	0.3225438	0.3244965	0.4034662	0.2610911	0.5214514	0.2844581	0.2840876	0.4766907	0.3207519
0.0035007	0.6610577	0.2323503	0.1325601	0.2121653	0.6767530	0.5066679	0.5418872	0.1189798	0.0675285	0.2547593	0.6133230	0.6038229	0.4043526	0.4714255	0.3863209	0.5896864	0.0007807	0.7111706	0.0010672	0.4993145	0.3470817	0.6669714	0.1058113	0.5713593	0.1798199	0.6932370	0.1492509	0.2665451	0.6219561	0.5885678	0.5665667	0.7583877	0.5257061	0.7919110	0.3232611	0.3813940	0.4583407	0.0507361	0.0615011	0.4217746	0.0247972	0.7013795	0.6350735	0.1713845	0.7744655	0.4183730	0.1390847	0.1245773	0.3194476	0.1541094	0.6743568	0.0527493	0.4421844	0.2526554	0.0840615	0.5723564	0.5072107	0.4328006	0.3179414	0.0622113	0.4191967	0.0987627	0.2900773	0.2232385	0.6990725	0.5262594	0.4856067	0.3643254	0.5135423	0.6331177	0.2913386	0.6560075	0.3856715	0.3109996	0.0251049	0.7281337	0.3701980	0.0721186	0.4697893	0.5635963	0.4663531	0.2950210	0.5558409	0.6161019	0.2359731	0.5380426	0.6646906	0.5859104	0.4566100	0.1958203	0.5579112	0.3724516	0.4214382	0.3065561	0.3043474	0.3178095	0.3121048	0.7164700	0.7235217	0.6273700	0.2601751	0.3138317	0.2440579	0.3007845	0.7297894	0.4700004	0.7486845	0.5311878	0.3449415	0.5809698	0.1782913	0.1075818	0.1115435	0.5942182	0.4946170	0.5667523	0.3886593	0.5736598	0.3271136	0.3961711	0.3377588	0.0379894	0.2896707	0.3320596	0.4188621	0.2656673	0.2170379	0.3558239	0.5081500	0.7911369	0.3551009	0.1807450	0.6319542	0.2238516	0.2442216	0.0789933	0.5758627	0.4445996	0.3973583	0.4431380	0.2069629	0.2742695	0.6616751	0.2143204	0.5579765	0.3086583	0.7576550	0.6413682	0.1725611	0.6632686	0.6888329	0.4158102	0.6436462	0.4639354	0.7458260	0.1676455	0.2889190	0.7534107	0.2610594	0.3390845	0.1732175	0.3676160	0.0115247	0.1560866	0.2626732	0.0021978	0.0271860	0.1073256	0.0099192	0.0974250	0.5193852	0.5767688	0.1081006	0.0525004	0.0428664	0.1541507	0.6103319	0.3576529	0.4640431	0.0330708	0.6568965	0.0024457	0.4748263	0.5841587	0.2950551	0.0885147	0.1632163	0.0353185	0.1328899	0.5164410	0.4163937	0.4122528	0.2353317	0.5279157	0.4185585	0.2316856	0.2532172	0.3634087	0.3318939
0.1753370	0.5411966	0.1589331	0.4572203	0.1301606	0.6307001	0.6616589	0.7567540	0.6586353	0.3053950	0.4561350	0.1267360	0.6478627	0.4414479	0.5160029	0.3920378	0.6064668	0.0000175	0.7629499	0.0470560	0.5242431	0.4029409	0.0002531	0.4342926	0.4564782	0.0014346	0.5911157	0.0242619	0.0235469	0.4147476	0.2333957	0.8071221	0.5810425	0.3703828	0.6583557	0.0763428	0.3286383	0.0495999	0.0132014	0.0885285	0.2388147	0.3032784	0.7133471	0.6705255	0.6614230	0.6511781	0.1027700	0.0455873	0.0799306	0.2063797	0.3655578	0.6464169	0.0076028	0.2224724	0.4152600	0.3837525	0.7339493	0.4265477	0.2947933	0.2986319	0.0097947	0.4373845	0.4453787	0.1612685	0.1417280	0.1068899	0.3320684	0.4818905	0.3534451	0.0009617	0.6636553	0.2634149	0.0000000	0.3954703	0.6491421	0.0002848	0.5142676	0.6480351	0.0838859	0.1098721	0.6206856	0.2638378	0.0024136	0.5649414	0.2285009	0.0000412	0.1142566	0.2446745	0.5912064	0.2702240	0.3117813	0.0438292	0.2130810	0.0246907	0.2016533	0.4363065	0.2665785	0.2216498	0.3317418	0.3362037	0.2944949	0.2268416	0.1282412	0.2726151	0.2458935	0.0683331	0.2261675	0.1968788	0.4135959	0.5169683	0.7355289	0.2686591	0.3411266	0.1014413	0.7105829	0.2014445	0.4251647	0.5966162	0.3114197	0.1947746	0.4073420	0.1578770	0.1122896	0.3418077	0.3245134	0.2967012	0.0000088	0.1778962	0.4484103	0.3501807	0.6675405	0.4829745	0.2213584	0.5528097	0.2837725	0.3184861	0.1684620	0.4169532	0.2000914	0.0489538	0.3941721	0.2886112	0.0395839	0.6922180	0.0113533	0.5556691	0.4071911	0.4030945	0.6711547	0.1714138	0.6720737	0.5706505	0.4822382	0.3164818	0.3271027	0.7232996	0.0400058	0.3821464	0.7407497	0.2614104	0.1343926	0.1680185	0.6268674	0.0280366	0.5562305	0.1759552	0.1705431	0.6098704	0.0592344	0.1304404	0.2422023	0.3602936	0.1132927	0.1020231	0.0652439	0.0013131	0.0301408	0.1361045	0.1497055	0.2861845	0.0193172	0.5446109	0.0002488	0.3966445	0.3822818	0.1769836	0.0002389	0.4379833	0.0069365	0.1536396	0.6385974	0.3207487	0.3263196	0.4635694	0.1488842	0.6503381	0.2534634	0.2524579	0.5860122	0.2382009
0.1058775	0.6272679	0.1786471	0.3105985	0.0140578	0.4320596	0.5976545	0.5641053	0.2799984	0.1170186	0.4408902	0.2027119	0.2945770	0.4248024	0.5717600	0.5069162	0.6641007	0.0006351	0.2396030	0.3505100	0.5468326	0.5091134	0.1433349	0.2378490	0.2971348	0.0004672	0.6910661	0.1968897	0.3398135	0.5866863	0.5161337	0.7151245	0.5780907	0.3737171	0.6801935	0.1622797	0.5841068	0.6159821	0.0767446	0.1945456	0.4026595	0.0097730	0.3559553	0.5971605	0.5497855	0.5897726	0.3681530	0.0000011	0.1329185	0.4322273	0.1731263	0.5847849	0.0190235	0.2900616	0.5990279	0.3784144	0.6734295	0.4850341	0.1073808	0.3425544	0.1414921	0.5878972	0.0000000	0.2558576	0.2161522	0.0000909	0.1473877	0.5249193	0.3671594	0.0003224	0.5686291	0.0000011	0.1107928	0.4361713	0.2659460	0.0012168	0.5911800	0.6646477	0.0077412	0.1654855	0.5247000	0.5602955	0.0001077	0.3918741	0.0140806	0.1087049	0.0000006	0.2745570	0.5465829	0.3306169	0.0001734	0.0051256	0.5554744	0.0984731	0.4070289	0.5557113	0.2784931	0.3360963	0.3769765	0.2926089	0.4332832	0.2261929	0.3665547	0.3925288	0.2624853	0.1541544	0.2358030	0.2521292	0.3353558	0.4695673	0.3872628	0.3596946	0.0045789	0.0411479	0.1868415	0.0001716	0.5861171	0.5751026	0.0000196	0.3379232	0.5027362	0.3131659	0.1523635	0.4793292	0.4954891	0.1883040	0.0707880	0.2952521	0.3215747	0.3108894	0.4496213	0.6887876	0.1321514	0.6031729	0.0861786	0.3095008	0.3139341	0.4688994	0.5587221	0.3974359	0.5414397	0.4214776	0.2467717	0.6031953	0.2303604	0.6012802	0.4077810	0.4482667	0.6678209	0.1648162	0.6495981	0.6943570	0.4817204	0.3123041	0.4987276	0.6278019	0.3698628	0.5605608	0.5453061	0.5619113	0.3906175	0.5713176	0.3635356	0.2082936	0.4945795	0.5137704	0.2043437	0.6099402	0.2948878	0.4945094	0.0994317	0.5292066	0.3028407	0.2381974	0.7008525	0.4393240	0.0748823	0.1773964	0.3284095	0.5067780	0.0758795	0.5442988	0.0092149	0.3887948	0.3032926	0.6297074	0.0158374	0.3631010	0.0129215	0.1371073	0.6023601	0.6042560	0.7051024	0.4394765	0.0457361	0.6927154	0.5447126	0.7804574	0.5681331	0.4321665
0.0000008	0.6561832	0.0195040	0.5471933	0.0010189	0.4888136	0.5642842	0.5422780	0.5192607	0.0606153	0.4696917	0.3518371	0.6258957	0.3396460	0.3339520	0.4607567	0.2860455	0.2696581	0.6872614	0.1084425	0.6099234	0.4140949	0.0007049	0.0713432	0.6951135	0.0051994	0.6505126	0.4319354	0.1258207	0.5930485	0.7253734	0.5966424	0.4404057	0.5498041	0.5770364	0.1059723	0.6170790	0.5548375	0.5533820	0.2940113	0.5005463	0.0294405	0.8415747	0.5356026	0.4134318	0.5719675	0.4292258	0.0009918	0.0763150	0.4054877	0.3003553	0.5510585	0.0070157	0.3086208	0.3821340	0.3851768	0.4385004	0.5979295	0.1460771	0.3660284	0.2923046	0.7378129	0.2023749	0.2199988	0.0389069	0.0068431	0.2325096	0.5746015	0.4745319	0.2294310	0.7179990	0.0002463	0.0009524	0.3965244	0.2646730	0.1869744	0.5343840	0.5778584	0.2342925	0.0851714	0.7704262	0.4809515	0.1728777	0.6032425	0.1085640	0.0017510	0.1291362	0.5413924	0.4806573	0.2927585	0.0028346	0.1027759	0.4305840	0.0044894	0.2878611	0.7620190	0.2732282	0.1952023	0.3709549	0.3182962	0.6149551	0.2672748	0.2035143	0.2807136	0.3884493	0.2905571	0.2778752	0.2930815	0.2719601	0.2286876	0.5736484	0.4483108	0.0834021	0.0010827	0.6935433	0.0041533	0.3449602	0.6219160	0.0069658	0.4936812	0.1626098	0.2454058	0.1628213	0.3362628	0.4296234	0.2816071	0.0009300	0.1509735	0.3428588	0.3848395	0.6646039	0.4155826	0.2031590	0.6757815	0.2054885	0.3326661	0.3279768	0.4824479	0.6837625	0.3694877	0.5191791	0.3920956	0.3073734	0.6711888	0.0129342	0.8519947	0.5975026	0.4434850	0.7433646	0.2622211	0.8301304	0.7394473	0.3460472	0.3392933	0.5154195	0.6204858	0.2877079	0.5976013	0.7170071	0.3601304	0.2258882	0.2960159	0.4140650	0.0451432	0.5865444	0.3552627	0.0824722	0.4263052	0.0523661	0.1234053	0.0376863	0.7136085	0.6123837	0.2202063	0.1562036	0.1168113	0.2131533	0.3586334	0.2224615	0.1922651	0.1264675	0.4159261	0.1905924	0.4221598	0.6605880	0.6593768	0.0101670	0.3146853	0.0031442	0.0029166	0.5300189	0.3313067	0.3611193	0.3252281	0.2494990	0.4704728	0.3521139	0.3836807	0.4281165	0.1779430
0.1818080	0.6269328	0.4968209	0.6008469	0.0337954	0.3382096	0.7050337	0.7126013	0.3434797	0.3878608	0.0954775	0.1132498	0.5665802	0.5033129	0.6207056	0.5720641	0.4219020	0.1272479	0.7425097	0.0206278	0.3591597	0.5340958	0.1985448	0.2487303	0.6166944	0.0003194	0.6210930	0.0027306	0.2453149	0.5421360	0.4720871	0.3218375	0.4184619	0.5284222	0.5735835	0.0658904	0.5597501	0.6358545	0.4711896	0.4100276	0.5485565	0.1834637	0.6598704	0.6920297	0.6837503	0.7290787	0.2444169	0.2867167	0.2907421	0.1613018	0.3723305	0.7060092	0.0010345	0.2565490	0.3124890	0.3527293	0.5353657	0.6427051	0.2635979	0.6558554	0.1553223	0.7324504	0.0054970	0.1354740	0.2978390	0.0715462	0.1509845	0.4671835	0.4429471	0.2237916	0.6319562	0.2565305	0.0001935	0.2952370	0.2917741	0.3073381	0.5377735	0.6565470	0.4239022	0.0015824	0.6724801	0.2183890	0.0017561	0.3234581	0.0169740	0.0007600	0.3678738	0.1736875	0.3351135	0.3455187	0.2114360	0.1438073	0.4827512	0.0148744	0.3609065	0.6654462	0.2018123	0.1018413	0.2743230	0.3851517	0.2922815	0.1142240	0.2606360	0.3637527	0.1984807	0.0936385	0.5442962	0.2409098	0.4362912	0.6561025	0.4602384	0.5761452	0.0060624	0.0616342	0.6723228	0.1794657	0.2826987	0.4479743	0.2432649	0.4824426	0.6123924	0.5904658	0.1089133	0.2990214	0.4825489	0.5155193	0.2619457	0.3309030	0.4344423	0.3764568	0.6673943	0.5123367	0.2570038	0.6431633	0.1583815	0.4907738	0.1176274	0.5584705	0.7046225	0.5590601	0.6713530	0.5226104	0.4223195	0.5373595	0.1909271	0.7042288	0.3327548	0.3184056	0.6475419	0.0252047	0.6889778	0.7185302	0.4575669	0.1996151	0.4809701	0.8059589	0.3932628	0.3405805	0.5432729	0.2994058	0.3990910	0.2601319	0.6653547	0.1110423	0.5402748	0.1778139	0.0000035	0.4591634	0.1490155	0.2570149	0.0272202	0.7858533	0.3046021	0.3241851	0.1242124	0.1076349	0.1565009	0.3742777	0.1290912	0.2935079	0.0636740	0.4942789	0.2267659	0.3705894	0.3945105	0.7550876	0.0000650	0.4322448	0.0096203	0.0111810	0.5903531	0.5094313	0.3308536	0.5691649	0.0500566	0.5251344	0.2238126	0.2027944	0.7259881	0.2307535
