rhaD	rhaS	rhaB	rhaA	rhaR	rhaT	arcA	puuR	ydeA	puuD	rpsJ	rpmC	fadJ	fadE	fadR	fadI	fadD	fadA	fadB	fadL	tpx	betB	betI	betA	betT	fabB	icd	hybA	iraM	hybF	ssb	rplC	lldD	lldR	lldP	uvrA	fabA	fabR	rpsS	ybdN	appA	rpsC	rplV	ackA	rplW	hybB	rpsQ	yccB	appY	appB	appC	hyaB	hyaC	hyaE	iscR	hyaF	hyaA	hyaD	narP	napA	narL	napB	napF	napC	napG	napD	modE	napH	ccmH	ccmE	ccmC	ccmG	flhC	ccmB	ccmF	ccmA	flhD	ccmD	nrfF	nrfB	nrfD	nrfE	nrfA	nrfG	nrfC	mdh	glpA	glpB	glpC	hybE	ygbK	flgM	ppdB	flgC	flgF	flgB	gltI	hybC	fliO	fliR	fliJ	ppdA	ycgR	hdfR	recC	flhE	flgH	fliG	flgJ	flgN	fliL	fliT	fliQ	fliS	flhB	fliF	gltK	yhjH	gltL	flhA	fliP	ygdB	flgD	flgI	fliD	fliM	hybD	ppdC	flgA	flgG	fliK	flgE	fliH	fliN	hybG	fliE	hybO	gltJ	fliI	oppD	fdnH	ydhU	cydC	ydhY	oppA	fdnG	cydD	moeB	ydhX	oppB	ydhW	fnr	moeA	ydhT	yecR	fdnI	ydhV	fdhF	ytfE	hcr	hcp	ubiC	ubiA	focA	nuoI	nuoH	norV	nuoC	dmsA	nuoM	dmsC	nuoG	nuoF	nuoJ	nuoA	nuoL	nuoE	nuoB	dmsB	nuoK	nuoN	norW	rplP	rplD	dmsD	ynfH	rplB	dcuS	ynfF	narX	ynfE	dcuC	puuA	ynfG	pflB	fumB	frdA	dcuR	frdC	frdD
0.0657323	0.1500223	0.0214630	0.0224841	0.0403859	0.4254954	0.4499908	0.1134995	0.1971621	0.4740890	0.2585623	0.6163261	0.1287775	0.2055531	0.6882098	0.2810154	0.0011787	0.3045756	0.3342207	0.0604791	0.3117268	0.0132194	0.5650203	0.4484574	0.0543683	0.7257663	0.3087842	0.1190585	0.6489715	0.0140578	0.2372904	0.4664706	0.6561574	0.0005491	0.5253180	0.2613791	0.2184294	0.4609760	0.5396146	0.5561684	0.1246179	0.1093071	0.7301316	0.4777757	0.5159296	0.0808865	0.2026465	0.6699645	0.5435673	0.5429072	0.6248675	0.3041710	0.4244500	0.3168024	0.5926191	0.1833889	0.5265533	0.0272748	0.7110501	0.1421216	0.5596923	0.1362844	0.0143848	0.4390155	0.3500722	0.5083240	0.7597543	0.6411423	0.0135209	0.2832006	0.5749134	0.4336388	0.0706996	0.2444657	0.6986886	0.3133588	0.2018113	0.3541733	0.5956536	0.7526765	0.1842037	0.4829687	0.2643852	0.6016551	0.4365253	0.6118009	0.1628348	0.2302726	0.2320780	0.1715606	0.3430392	0.3476068	0.0660961	0.0990317	0.0006689	0.0883123	0.0771829	0.0428939	0.0353050	0.0000657	0.1584247	0.2786260	0.2893888	0.7584637	0.1794523	0.6921935	0.5540514	0.0012767	0.6455466	0.1754916	0.1358952	0.2362176	0.6580864	0.0008875	0.1730167	0.4170287	0.3543224	0.0132279	0.0130973	0.5032274	0.0130060	0.0048072	0.2007540	0.3121965	0.0025547	0.6644345	0.2345031	0.3938255	0.1610647	0.0062069	0.6041526	0.1946564	0.4241051	0.0779409	0.4360885	0.4693306	0.1936889	0.1274879	0.3247210	0.0830795	0.2773431	0.5710100	0.2441661	0.1455355	0.2455334	0.2544363	0.4066472	0.2952279	0.2749940	0.0300457	0.5679132	0.6002712	0.0971878	0.3841655	0.0020704	0.2823037	0.0751868	0.3498135	0.1437495	0.6169518	0.5774017	0.3487484	0.0891625	0.2264436	0.6599685	0.4754969	0.0061458	0.6662062	0.5860662	0.0783162	0.0154105	0.0432325	0.7357457	0.3802943	0.6080596	0.5261435	0.0376285	0.3055881	0.0720859	0.5011342	0.4050972	0.3360981	0.1926987	0.3393956	0.5788439	0.3376032	0.1129102	0.4453698	0.3299247	0.7172921	0.2195844	0.4919119	0.0834081	0.0451706	0.6282685	0.7869635	0.3047368	0.6639367	0.0057219	0.6132578
0.0976244	0.0966656	0.0251871	0.1714762	0.1074415	0.4070601	0.5469515	0.1133161	0.0172787	0.3028516	0.0739364	0.3732600	0.1570908	0.1050250	0.6414470	0.3568644	0.0257060	0.2380928	0.2670370	0.0615471	0.4029668	0.0033421	0.3468563	0.5947007	0.2733731	0.1318383	0.1837648	0.0482052	0.6201136	0.0090313	0.1672736	0.0189729	0.7075239	0.0367559	0.5928117	0.1263436	0.2204450	0.7702205	0.2200502	0.4335035	0.3554082	0.0414679	0.2807780	0.4749691	0.1019891	0.1347353	0.0064625	0.5996948	0.7192199	0.4531337	0.7211321	0.3868761	0.1445632	0.2310700	0.8120232	0.2993702	0.0932201	0.0500250	0.4139804	0.0617310	0.4847318	0.0077019	0.3110405	0.5290131	0.3492754	0.3565614	0.7421725	0.5657511	0.2984594	0.4244210	0.1420235	0.0613925	0.0854901	0.5306484	0.2977824	0.4455265	0.1961101	0.2854005	0.8968269	0.7336552	0.3415641	0.6951214	0.1881367	0.6457629	0.4082339	0.6585212	0.3118724	0.1350286	0.0000189	0.0602240	0.5197207	0.1400387	0.1723633	0.1879992	0.2996053	0.4642234	0.4602185	0.0397922	0.1208790	0.0020232	0.0506425	0.1516166	0.2577248	0.7328822	0.0491489	0.4628279	0.6146697	0.0194808	0.8270318	0.1367182	0.5248520	0.2282246	0.3972245	0.0544947	0.2074903	0.1188142	0.0118176	0.0401209	0.1092691	0.6613574	0.0893287	0.1174434	0.1164106	0.1614074	0.2323796	0.6973791	0.1033959	0.2193687	0.3954616	0.2416957	0.6010001	0.0449285	0.0174529	0.3324706	0.0533307	0.2257601	0.0335776	0.0007268	0.4819027	0.0114792	0.0641154	0.6660773	0.0016484	0.2645040	0.1354866	0.5172330	0.5147090	0.5908988	0.0684135	0.0079669	0.3245554	0.2985426	0.4136143	0.2837645	0.0066877	0.6287659	0.3110952	0.2897924	0.6203862	0.5542806	0.4149222	0.4021999	0.1664349	0.1392089	0.4923072	0.5909595	0.0454191	0.7500361	0.4288450	0.1182702	0.0013783	0.3029932	0.5167839	0.3030125	0.6439948	0.5932253	0.2321181	0.3703729	0.1024560	0.4951761	0.5056523	0.4797830	0.0346953	0.2359417	0.3864984	0.1290514	0.0455932	0.0275639	0.1574061	0.5238310	0.0826737	0.5210336	0.2398954	0.2549058	0.4790588	0.5875646	0.2592752	0.6279170	0.0019995	0.5892027
0.0631549	0.1446863	0.1582033	0.0494247	0.3007420	0.6470274	0.2852609	0.0032446	0.4085863	0.4909307	0.3840318	0.6726580	0.2851056	0.2806162	0.5669892	0.5899063	0.0499790	0.6047483	0.5404625	0.1984079	0.3024072	0.0545675	0.7335417	0.3581007	0.2237494	0.4064404	0.4070784	0.3305105	0.5545621	0.0099903	0.2698825	0.3275609	0.6918386	0.0493983	0.6785164	0.2827754	0.4206081	0.6417092	0.3795705	0.5893016	0.1042138	0.2208620	0.5313232	0.4257543	0.3595042	0.2457880	0.1647844	0.7658202	0.7323485	0.5174774	0.6640073	0.0957469	0.3883259	0.0894340	0.7197666	0.3162245	0.0896708	0.2719268	0.5343309	0.2443276	0.2831938	0.3117318	0.2708806	0.5226690	0.6776470	0.2414495	0.4603254	0.6865074	0.4320676	0.4698385	0.5724696	0.2739868	0.4435885	0.1824829	0.2445076	0.6934548	0.2389198	0.4739351	0.7425236	0.7423579	0.8745561	0.7753382	0.3040047	0.7862393	0.6180813	0.0562665	0.3892922	0.5252099	0.0739333	0.4854123	0.7906983	0.4959323	0.2095181	0.1916120	0.5397986	0.3764500	0.5334791	0.1680801	0.1431234	0.1039021	0.6572215	0.2796187	0.2812803	0.4313494	0.2664274	0.5995225	0.6225824	0.1211939	0.7206157	0.5220783	0.6946963	0.4733577	0.5026618	0.0157659	0.1079226	0.0857931	0.3446623	0.4481511	0.2260414	0.5726464	0.4392812	0.1324434	0.1540056	0.4446817	0.2698558	0.7405113	0.3240034	0.3588771	0.1783566	0.4890208	0.7250019	0.4050282	0.2218155	0.4706272	0.4568556	0.6609326	0.3159674	0.2630565	0.4094291	0.2589811	0.1559269	0.6693738	0.0848635	0.2489244	0.2978661	0.2285443	0.3058401	0.4282386	0.3345083	0.0385687	0.2348923	0.5258730	0.6519111	0.5141387	0.0629228	0.7166491	0.3190265	0.4478057	0.1900385	0.4998833	0.4365763	0.4363324	0.0353346	0.2350541	0.4605341	0.6729508	0.0214064	0.6796155	0.4862237	0.0574269	0.0663032	0.1631683	0.6700492	0.6975408	0.5118201	0.3453379	0.3171430	0.4518010	0.3420339	0.2188057	0.3457209	0.1722132	0.1469135	0.2323542	0.6857405	0.1012219	0.2601944	0.3346665	0.2392970	0.3597071	0.3003719	0.5424827	0.3547198	0.1881562	0.4837628	0.2961993	0.1481866	0.2938512	0.0044766	0.8618280
0.0001764	0.0002984	0.0000000	0.0007108	0.0001155	0.6665753	0.2912394	0.0095051	0.5408163	0.5360918	0.3841613	0.4263154	0.1371890	0.2913998	0.6200677	0.2643683	0.0012011	0.5313720	0.4621804	0.1067502	0.4241925	0.0022159	0.6467228	0.4216010	0.3032020	0.8527549	0.5003338	0.3162877	0.6403741	0.0053442	0.3848011	0.5980975	0.6056103	0.0166162	0.6784168	0.3339975	0.5452090	0.1626435	0.3611240	0.6428813	0.0353022	0.1661993	0.5271007	0.4425528	0.2548946	0.2178635	0.3553932	0.5907042	0.3277600	0.4328035	0.6643314	0.0379410	0.5694780	0.2916056	0.4725518	0.5384551	0.2624348	0.2036098	0.7376016	0.0768114	0.3358464	0.2961942	0.4926194	0.5765942	0.4684786	0.2422519	0.6081437	0.4566896	0.0269379	0.4850894	0.4661030	0.5179817	0.1437896	0.6321251	0.4486377	0.6632515	0.2276997	0.5120123	0.6789653	0.5988569	0.3525276	0.6837222	0.4203143	0.6588961	0.4129667	0.2200086	0.3461732	0.2968872	0.0216091	0.2293686	0.3879185	0.1407557	0.0029017	0.0455262	0.0879960	0.0728561	0.2459852	0.0824369	0.0329028	0.0025129	0.2986378	0.3166351	0.2176958	0.4589421	0.0000312	0.4823359	0.5624760	0.0625818	0.7768099	0.0849173	0.5851798	0.1125063	0.3987108	0.0014706	0.1828324	0.0027203	0.1229117	0.2869780	0.0154593	0.4393474	0.1415491	0.0879702	0.3869644	0.3379187	0.0229991	0.6703334	0.2968277	0.1503690	0.0002272	0.0433340	0.5130101	0.0043638	0.2019258	0.5487851	0.4545003	0.5233694	0.2962459	0.1108011	0.2168687	0.0688038	0.3769149	0.4648269	0.2448759	0.2768164	0.3212792	0.0947136	0.4856727	0.6095377	0.2062436	0.2897444	0.5157062	0.6269774	0.1063697	0.3210343	0.0064057	0.2929920	0.2309511	0.4139926	0.1929027	0.6758658	0.6517455	0.5120007	0.2545215	0.4504802	0.6193768	0.4045369	0.0071232	0.6673614	0.6461185	0.0302818	0.0388422	0.1914982	0.5062620	0.2554791	0.8045106	0.5019841	0.2570449	0.4633139	0.2355825	0.4668500	0.2818138	0.3166194	0.1618241	0.3114196	0.6661495	0.2628690	0.0358394	0.1285278	0.1421629	0.4128092	0.4083482	0.4209315	0.2697251	0.4200801	0.5329733	0.5696427	0.6610651	0.5307225	0.5887680	0.5192167
0.0017148	0.0011851	0.0009553	0.0022778	0.0736634	0.6367036	0.3005983	0.1100940	0.4033309	0.5677396	0.2317041	0.3421029	0.1593706	0.1858851	0.7452715	0.3516570	0.0001683	0.4351960	0.5204369	0.0392441	0.3380533	0.0591474	0.7017199	0.3765457	0.1855236	0.0484623	0.3522848	0.4336784	0.7645782	0.1392234	0.2713229	0.4534006	0.6944577	0.0021068	0.8152259	0.3709925	0.3120589	0.6334637	0.4535759	0.4967254	0.0901435	0.1203672	0.5701785	0.5617528	0.2768483	0.6552401	0.2009323	0.6828899	0.7280392	0.5487972	0.7450783	0.1895763	0.3707103	0.2769965	0.6054108	0.5603697	0.2218151	0.2540244	0.7013968	0.1661379	0.1015634	0.2996653	0.1607884	0.6989885	0.6332483	0.3990576	0.5528762	0.6852007	0.2981088	0.3553300	0.4378223	0.3941336	0.1938125	0.2565663	0.6064356	0.5975650	0.1337194	0.4584976	0.5475338	0.6865393	0.6709760	0.5887312	0.0400870	0.7646061	0.4743935	0.3910534	0.2251594	0.4125383	0.1572185	0.4666763	0.5690768	0.4331457	0.0076089	0.0896898	0.3535398	0.1034295	0.2657775	0.4861546	0.0591582	0.0017678	0.2148320	0.1090497	0.2248150	0.4998582	0.1537944	0.5100502	0.7501125	0.4600368	0.7057542	0.1803772	0.7787441	0.3989341	0.6323215	0.1542394	0.1227253	0.1630512	0.2567373	0.1151602	0.0220596	0.5374866	0.0805837	0.1700933	0.0015524	0.0859255	0.1366058	0.6553962	0.4150465	0.2386929	0.2042467	0.2194267	0.3866831	0.0015090	0.1550733	0.4426360	0.4458962	0.6608964	0.6140066	0.0012647	0.3375810	0.2065359	0.3888269	0.6743783	0.1440728	0.0815215	0.3305300	0.1048357	0.6472280	0.3520000	0.3241558	0.2023074	0.7614955	0.6292651	0.0244161	0.5249913	0.2119329	0.4105346	0.5706300	0.8328034	0.3625168	0.3933251	0.4632355	0.4625562	0.0277957	0.3520483	0.1157442	0.6124826	0.2582402	0.5882675	0.6040828	0.0495556	0.6309190	0.0500256	0.5415996	0.4461148	0.5444760	0.0920286	0.2506858	0.4309886	0.2532402	0.2516748	0.0292843	0.4624413	0.1780434	0.2725435	0.6102134	0.3916361	0.0729070	0.2650496	0.3416889	0.6971002	0.4727128	0.4738119	0.3203067	0.0731076	0.6089267	0.6020008	0.6833678	0.6714767	0.1836575	0.7055360
0.6787368	0.5479522	0.6311063	0.3270982	0.4877646	0.5567007	0.4022945	0.1148974	0.1364751	0.4713159	0.1846435	0.4896771	0.0952922	0.1995835	0.7070212	0.2412980	0.0010707	0.4399092	0.3171672	0.1116324	0.3537461	0.0943587	0.4407136	0.5387921	0.2682615	0.4197836	0.3226378	0.1171114	0.6595486	0.0010645	0.2478334	0.1388953	0.8257080	0.0001332	0.6951471	0.2382119	0.4430259	0.5573256	0.3132555	0.6058871	0.2169325	0.3266706	0.2188003	0.4349393	0.2456441	0.1775942	0.0783807	0.8205120	0.7688751	0.3197960	0.6468929	0.4696365	0.3454474	0.1688222	0.7870764	0.4326930	0.1073652	0.0905386	0.7240450	0.0981985	0.4589344	0.1648771	0.3142828	0.5960634	0.5051575	0.2447725	0.7339864	0.7111196	0.3284337	0.2776745	0.5112854	0.7341620	0.6311667	0.3322487	0.7209469	0.7909712	0.7130356	0.5284148	0.6078129	0.7562631	0.4654031	0.5451216	0.7214721	0.7608676	0.6914288	0.1378041	0.3891445	0.6184438	0.1569599	0.0743547	0.7357403	0.8690908	0.6748715	0.5395851	0.6231533	0.6455416	0.6661411	0.0243207	0.3281990	0.3983656	0.7099190	0.5439319	0.4043502	0.1103537	0.4131821	0.7340073	0.7856252	0.5322063	0.6541252	0.6833793	0.7584137	0.4188630	0.5626681	0.3944131	0.5197444	0.4995932	0.7022873	0.4775635	0.6035155	0.6020962	0.3689275	0.3773159	0.4655287	0.5009438	0.6185987	0.8048691	0.1495768	0.7356233	0.3691530	0.6776104	0.5774946	0.3954378	0.4953509	0.3460786	0.3594130	0.7823519	0.1326161	0.3335996	0.7204456	0.0336044	0.1292869	0.8284813	0.0956547	0.2554178	0.1885087	0.1254791	0.5797294	0.4004383	0.2306787	0.2199562	0.1792556	0.3891676	0.0787329	0.2013314	0.3647995	0.4571305	0.0115691	0.2286541	0.5070027	0.5589057	0.6997206	0.3397531	0.2152582	0.4586181	0.6849774	0.5626734	0.0079073	0.7057644	0.4118662	0.0194720	0.0215870	0.0131051	0.6660164	0.4547909	0.7657254	0.5019983	0.5164106	0.5138874	0.1848780	0.2727695	0.4691954	0.3500868	0.0701021	0.0261459	0.5146007	0.0920525	0.0804932	0.0440990	0.1699210	0.5092159	0.3328937	0.4512690	0.2476352	0.2039058	0.6665448	0.5665471	0.2756901	0.2141519	0.0009653	0.5194611
0.0140179	0.1271716	0.1601701	0.0314463	0.0045467	0.5589680	0.4703031	0.1460441	0.0541122	0.4021943	0.3150502	0.7396667	0.0983237	0.1616562	0.7070598	0.3218025	0.0025002	0.2110719	0.3164353	0.1006641	0.2773748	0.0040343	0.4543129	0.5003203	0.2375004	0.3482568	0.4406627	0.1115915	0.6683789	0.0071568	0.1651504	0.3263871	0.7252673	0.0724192	0.5357356	0.3314483	0.3834035	0.4916505	0.5814416	0.6756756	0.1075710	0.0626953	0.4132788	0.6763762	0.2056590	0.1289070	0.1557814	0.7968373	0.7386699	0.3588696	0.7292016	0.1370505	0.5143495	0.0341721	0.6094156	0.4526474	0.2564342	0.0550258	0.6240862	0.0322473	0.3892982	0.0919664	0.6781247	0.4821278	0.6038595	0.4345810	0.5701410	0.8465364	0.1178072	0.5098064	0.3626662	0.3301152	0.1259891	0.3103976	0.5723455	0.4663023	0.2585779	0.4312716	0.6773876	0.6028534	0.1832859	0.6484546	0.2002828	0.6445723	0.4963880	0.5079458	0.2819654	0.4774749	0.1675343	0.0786473	0.4004025	0.0785942	0.1199547	0.0110059	0.0078150	0.1128905	0.0985196	0.0415048	0.0237344	0.0043863	0.3441908	0.1188285	0.2168130	0.6536782	0.1567662	0.4172985	0.5997357	0.0755579	0.5765749	0.0858260	0.4028029	0.0238454	0.4633850	0.2967778	0.0023763	0.0005148	0.0127997	0.1378161	0.0160724	0.7435239	0.0943820	0.0548715	0.0011485	0.0485784	0.1084606	0.7563592	0.0910627	0.1519596	0.0486324	0.1335449	0.7027890	0.0003725	0.0806059	0.4124324	0.4663127	0.2004135	0.1658769	0.0006695	0.2235460	0.1897858	0.3915277	0.6962769	0.1806268	0.3344133	0.2926624	0.0249033	0.3781163	0.4041275	0.1885908	0.2355704	0.4860194	0.5067150	0.1084280	0.5436628	0.0492541	0.4650833	0.1927915	0.4135213	0.3052751	0.5469994	0.4758631	0.3856818	0.1102563	0.4414753	0.5501464	0.2770434	0.0050454	0.6809974	0.4090550	0.0304143	0.0258765	0.2799960	0.6510987	0.1241274	0.6378232	0.3808086	0.1995158	0.4654706	0.1512556	0.5357852	0.5960517	0.2481339	0.1302049	0.0733466	0.4056031	0.6078152	0.0704293	0.0824170	0.1822018	0.3943164	0.0070645	0.4533661	0.2542311	0.2965990	0.5703445	0.5506415	0.5817542	0.6113318	0.0709983	0.6764427
0.2078662	0.1108447	0.2912758	0.0472114	0.0007840	0.3976547	0.5368763	0.1125408	0.0146001	0.2521951	0.0571253	0.3995868	0.1775821	0.1273824	0.5263004	0.4360137	0.0427792	0.1036946	0.1504810	0.0083425	0.4354494	0.1240256	0.1824663	0.5873676	0.2778578	0.6821872	0.1318177	0.2866461	0.6094807	0.0218779	0.1894125	0.0017561	0.5350231	0.0196235	0.7340838	0.0252842	0.5304035	0.3337898	0.2655308	0.4843006	0.3701627	0.0611966	0.3272477	0.7401675	0.1910012	0.0923267	0.3457679	0.6789994	0.3809155	0.6443513	0.6397604	0.3578798	0.4408544	0.3700182	0.7930703	0.3025719	0.3596512	0.1643228	0.5661021	0.0232964	0.3863905	0.1041351	0.5696497	0.5696601	0.3694553	0.2413002	0.6266475	0.5577861	0.2420190	0.7052888	0.2480435	0.0040839	0.1675338	0.2954189	0.3009460	0.3808127	0.1482085	0.2361389	0.6163551	0.6671357	0.1937943	0.5835050	0.0690864	0.6508342	0.4204141	0.5087655	0.0055972	0.5578742	0.2071900	0.2393625	0.4054312	0.2412347	0.0922568	0.0104266	0.0018269	0.3125280	0.2756943	0.0153806	0.0355111	0.0001030	0.0270557	0.3141268	0.2763440	0.6978545	0.0002656	0.4044833	0.5572341	0.0446235	0.7403010	0.2994232	0.5646559	0.0177855	0.3605979	0.3039722	0.1102939	0.1036950	0.1440056	0.2736490	0.0212271	0.4142296	0.0403996	0.0165433	0.0021262	0.1961942	0.0075088	0.6869659	0.1851284	0.1480523	0.0003672	0.0018766	0.4726605	0.0535559	0.1942278	0.3447657	0.0561965	0.3293978	0.2392505	0.2171457	0.1961595	0.0847810	0.0719873	0.6195401	0.0632889	0.3331945	0.1044734	0.2860105	0.4395554	0.5620855	0.2727385	0.0131650	0.4553879	0.1347419	0.2431644	0.0624404	0.2478683	0.4380895	0.3998819	0.1469183	0.3441585	0.6017703	0.3186241	0.4617176	0.1299302	0.1037919	0.4978917	0.4896565	0.0461681	0.6982040	0.6457883	0.1702195	0.1496282	0.2168280	0.4717284	0.6178118	0.5980750	0.2971453	0.4736751	0.4755608	0.2065008	0.4157217	0.3827559	0.4558704	0.0233581	0.0490548	0.5251429	0.4428130	0.2398287	0.1970821	0.1087751	0.4908427	0.1826260	0.3432660	0.3125642	0.2910810	0.6446104	0.6061245	0.1513775	0.2480204	0.2017118	0.3626318
0.7604205	0.5415953	0.6775934	0.4406555	0.6567326	0.6778247	0.2931510	0.0998941	0.2722014	0.5413590	0.3833952	0.6242755	0.1544801	0.0743798	0.6700981	0.4784102	0.0103902	0.5412904	0.5121294	0.1170529	0.4074347	0.0165635	0.4808578	0.2899444	0.2728804	0.1573050	0.4841368	0.3513115	0.5837386	0.0380885	0.5177174	0.4738164	0.6829610	0.0001807	0.7834944	0.5018270	0.3365686	0.6936650	0.5432648	0.5187332	0.3281022	0.2044442	0.2802769	0.4112225	0.5818729	0.1869074	0.2705139	0.6502230	0.5676943	0.2920562	0.6709072	0.4904737	0.5446943	0.5665809	0.6673093	0.4981876	0.2043539	0.1707161	0.6556517	0.1069351	0.3472094	0.3256978	0.3938894	0.5405976	0.4841724	0.1961448	0.6970581	0.5302495	0.0001116	0.1653845	0.3815314	0.3211460	0.1895546	0.4715743	0.4644557	0.6692224	0.0075863	0.4959150	0.7820562	0.6691198	0.1951296	0.6562268	0.1156154	0.7192698	0.3162882	0.1034512	0.0003146	0.4738031	0.0002795	0.1247354	0.2021266	0.0214135	0.0940951	0.1586496	0.0233856	0.0186017	0.1741016	0.1922690	0.0058699	0.0505162	0.0003901	0.0027881	0.0244603	0.7155825	0.0001018	0.3017790	0.3617726	0.0032175	0.0420893	0.1089061	0.0029047	0.2524367	0.0432163	0.0572867	0.0001362	0.1453233	0.0032754	0.1173118	0.3767893	0.0091410	0.0012514	0.0723357	0.0005992	0.2337071	0.0001959	0.4081925	0.1601825	0.1411054	0.1542005	0.0727964	0.4294479	0.0946701	0.1450197	0.0877830	0.6864371	0.0031589	0.3027931	0.0806097	0.2269613	0.0936511	0.1903860	0.5053409	0.0904850	0.4348306	0.2564804	0.0533006	0.3585954	0.5001775	0.2550443	0.2710560	0.5920049	0.6377329	0.0041744	0.1756514	0.0711357	0.5202820	0.1795662	0.4342106	0.1095492	0.5968913	0.4473591	0.2021059	0.3449297	0.4745691	0.4653211	0.4606635	0.0334136	0.6163319	0.5698626	0.0557253	0.3126523	0.0571023	0.5649720	0.5677787	0.8286977	0.4919431	0.2027918	0.4823960	0.2232553	0.2884513	0.2107959	0.4400338	0.3343832	0.3658414	0.6599641	0.4076065	0.0742251	0.2608838	0.2571537	0.4157216	0.2784987	0.5218927	0.2940826	0.1849480	0.6871580	0.4755932	0.2902268	0.4572953	0.1341697	0.8327328
0.0062172	0.0000586	0.0188259	0.0444127	0.0003252	0.4396596	0.3654817	0.0439164	0.0525057	0.3610183	0.2100362	0.2995642	0.0811757	0.1013720	0.6488517	0.3744410	0.0332099	0.3915455	0.2392590	0.0590255	0.1932841	0.1277744	0.3836894	0.4984603	0.2855223	0.5331625	0.2385010	0.2356167	0.5648247	0.0190754	0.2083105	0.6436230	0.6755406	0.0382187	0.7843807	0.1694027	0.4634103	0.3057631	0.3805778	0.5970100	0.1806099	0.0712473	0.5020213	0.6107886	0.1792364	0.0417691	0.1296447	0.6574923	0.5745186	0.4107993	0.6879471	0.3604304	0.1346919	0.4239287	0.6599053	0.5000412	0.3756553	0.5039335	0.8018371	0.2070389	0.2633628	0.1516977	0.3883720	0.6781553	0.4663965	0.5086077	0.7068064	0.6370969	0.2721799	0.2519087	0.4783125	0.5882719	0.1476946	0.4963859	0.3246123	0.5301747	0.2210697	0.7447394	0.7178738	0.7017769	0.2709640	0.7170283	0.1772652	0.6396782	0.4481769	0.5054362	0.3083537	0.1910381	0.0007004	0.1807214	0.4077488	0.5035099	0.0579463	0.0641451	0.1700292	0.0892253	0.2199965	0.0368576	0.1897871	0.0018030	0.2418038	0.1641725	0.2785408	0.7168437	0.0398021	0.6241596	0.5586382	0.0986604	0.6662323	0.2997166	0.7300253	0.1603963	0.4756031	0.0008450	0.0039189	0.0902772	0.0730514	0.0839202	0.0271581	0.6918724	0.0423969	0.0065443	0.1449694	0.1089585	0.0240305	0.7450308	0.2443925	0.2365934	0.0208122	0.0948726	0.6805354	0.1639043	0.3447109	0.5234312	0.2404253	0.4864757	0.1405583	0.1636770	0.3067735	0.1210755	0.3493128	0.4499574	0.1249791	0.1521207	0.2059236	0.0883156	0.6288421	0.1996263	0.0767969	0.1940106	0.6789145	0.5399768	0.1923042	0.5375260	0.0132423	0.4409121	0.1026260	0.5054373	0.1017431	0.5990975	0.4980650	0.3338310	0.0449139	0.4219104	0.5548433	0.7200371	0.0133512	0.6403802	0.5395287	0.0959087	0.1060092	0.0722981	0.4457837	0.5109861	0.5923411	0.2467452	0.0300104	0.2626650	0.2810972	0.6267808	0.5353417	0.1513395	0.2246241	0.0598961	0.6895827	0.5268718	0.0450792	0.2002350	0.4513732	0.4063402	0.2665967	0.5294818	0.0515289	0.1761811	0.6423580	0.6836407	0.5617252	0.5424346	0.0192997	0.8191076
