fucI	fucR	fucP	fucK	fucO	fucU	fucA	crp	hofM	glpE	hofC	sohB	hofN	yhfA	ilvN	dksA	speC	hofP	azuC	trxA	hofO	ompA	glgC	glpG	mpl	ivbL	sfsA	yeiA	ppdD	ubiG	spf	hofB	glgS	ilvB	glgP	cpdB	agp	cyaA	cstA	cyaR	ykgR	glgA	xseA	yeiT	grpE	ychH	gntP	uxuR	uidB	uxuA	uidA	uxuB	exuR	uxaB	exuT	uxaA	uxaC	uidC	uidR	uhpT	uhpA	lsrF	lsrR	lsrK	lsrB	lsrG	lsrD	lsrA	tam	lsrC	murP	malM	malT	malK	lamB	malG	malS	malE	malF	dgsA	ynfK	ptsH	crr	ptsI	manX	manZ	manY	fruR	nagC	nagD	pgk	gapA	fbaA	epd	nagB	nagE	chbB	chbR	chbC	chbA	chbG	chbF	nanM	nanC	nagA	acnB	acnA	mtlD	mtlR	mtlA	galP	ptsG	aceK	aceB	iclR	aceA	nanR	nanA	nanE	nanT	nanK	yhcH	fimB	cysG	nirC	nirB	nirD	glmU	fruB	pck	fruA	ppsA	pfkA	eno	glmS	fruK	glk	malZ	yahA	pykF	galS	mglB	galR	mglC	mglA	galM	galE	galK	hupB	galT	hupA	pgm	seqA	tyrP	mtr	prpD	prpR	prpC	prpB	prpE	tnaC	rhaB	rhaS	rhaA	rhaD	rhaR	rhaT	entE	araA	agaV	ascF	ascG	ascB	htpG	gntT	icd	aldB	entA	putP	gntX	dsdX	dadA	aroA	ugpC	melB	melR	melA	putA	mhpC	kbaZ	agaR	agaC	agaS	agaD	kbaY	agaI	agaB	glpF	cirA	ugpQ
0.5977827	0.6279913	0.6280029	0.6494978	0.5061939	0.5656848	0.6554354	0.6992165	0.5870350	0.7305510	0.4430853	0.0388214	0.7503246	0.0502490	0.6868994	0.7650622	0.0948498	0.6852803	0.2473257	0.1709887	0.5201392	0.7003677	0.8014011	0.5248052	0.4981023	0.3978652	0.4647024	0.7687504	0.6544687	0.5039201	0.0641218	0.5379885	0.7632347	0.3699705	0.5013261	0.5106387	0.5951949	0.3089945	0.6360599	0.6305034	0.6202327	0.6105143	0.1568833	0.7044198	0.5495800	0.3620934	0.6605571	0.1944673	0.1725131	0.3462075	0.3869227	0.2633491	0.7020452	0.0753936	0.2138361	0.5505571	0.5612326	0.7717246	0.8285652	0.4827600	0.7189106	0.6663707	0.6076241	0.5831796	0.4116326	0.5013394	0.1293647	0.3675674	0.2125999	0.4218448	0.6625172	0.3713229	0.0890943	0.4454909	0.6486299	0.6721454	0.6848231	0.6660105	0.6184282	0.7311411	0.1285935	0.1645905	0.1967033	0.0202105	0.0499072	0.1442697	0.0677624	0.4394269	0.3778020	0.0027041	0.3347175	0.4806670	0.7415965	0.5696122	0.3305931	0.6451745	0.0841020	0.6381315	0.4909072	0.2880929	0.7030422	0.0354357	0.5353991	0.5147667	0.5381031	0.2319749	0.6609796	0.2481063	0.3296591	0.1305864	0.1268888	0.3186299	0.5651856	0.0683491	0.5028657	0.4568332	0.7510330	0.5942211	0.5782979	0.3393413	0.1406913	0.2321253	0.2587571	0.0674479	0.0289994	0.0961807	0.0402947	0.5288235	0.1576062	0.3191956	0.0696728	0.3431050	0.1205508	0.3534553	0.0208495	0.0005122	0.1716992	0.0021851	0.4485258	0.2147505	0.5476161	0.7152938	0.0702250	0.6030418	0.4863387	0.0110362	0.2189640	0.2864192	0.7062024	0.1491760	0.6196626	0.0174276	0.0548656	0.0000978	0.3626238	0.8375766	0.2803479	0.4359729	0.6438279	0.4926590	0.5584097	0.7417651	0.7386888	0.7631434	0.5159101	0.6477618	0.6318285	0.6831513	0.7899951	0.3821982	0.3013119	0.7682141	0.5614703	0.3086605	0.4012947	0.6187644	0.7304030	0.6733691	0.2048416	0.4163741	0.6338554	0.5537669	0.2057992	0.6015973	0.6704301	0.6171995	0.7607664	0.7256890	0.6538453	0.3380538	0.6914261	0.1456467	0.2565069	0.1841579	0.1178366	0.0476450	0.0758576	0.5775072	0.5378992	0.7094933
0.7356988	0.6946399	0.5333983	0.5910899	0.3448266	0.6505588	0.7187761	0.6472252	0.6709805	0.6793791	0.7404676	0.0418685	0.6290365	0.0168155	0.8696257	0.6874749	0.1327169	0.7538258	0.2178283	0.1520527	0.4867053	0.6581731	0.6422322	0.5669269	0.6146244	0.4255329	0.5297660	0.5979494	0.6549916	0.6039016	0.0613895	0.6913332	0.5501547	0.6112021	0.4368739	0.5391400	0.5705974	0.2952579	0.8365284	0.6629705	0.6497057	0.6171965	0.1895737	0.6815438	0.6472568	0.3472610	0.6086645	0.1936469	0.3793754	0.2342005	0.6589949	0.2792452	0.5458758	0.2280445	0.5942520	0.4714826	0.5820197	0.6159204	0.4876072	0.5281762	0.8305757	0.6929266	0.6922028	0.6575485	0.3308632	0.4141433	0.1444774	0.2272895	0.2596146	0.5949902	0.7441580	0.4200459	0.2788003	0.5533834	0.6969417	0.7444697	0.7780327	0.6059358	0.6686658	0.5703326	0.0447824	0.2512464	0.2018166	0.1295754	0.0178902	0.3277851	0.0530363	0.5371148	0.4899286	0.0659316	0.5847143	0.4170990	0.3058630	0.5543346	0.5208066	0.4018216	0.0296638	0.5775171	0.1444209	0.2132851	0.7267578	0.1628333	0.5731407	0.5350224	0.6654066	0.6736308	0.7784840	0.4064213	0.4812730	0.3506946	0.1104048	0.3654188	0.5982129	0.1525127	0.3722007	0.5827071	0.5813962	0.3594822	0.1812448	0.2436398	0.5493355	0.2674340	0.5549299	0.0555740	0.0446329	0.0430784	0.0527535	0.5454244	0.1022880	0.4703773	0.1482450	0.2854922	0.0170589	0.1991638	0.0007672	0.1017344	0.1416397	0.0482600	0.3619486	0.0642036	0.5240909	0.4644004	0.0543466	0.4239582	0.6553880	0.0030144	0.1416221	0.1896416	0.6918486	0.0717948	0.5542208	0.0104234	0.0419972	0.0000844	0.4729338	0.6725395	0.5331001	0.5309042	0.5199622	0.4935361	0.6261109	0.7644107	0.5907683	0.7100094	0.6766075	0.8002762	0.6998617	0.6876484	0.6234511	0.3016545	0.2963403	0.8198256	0.7167231	0.1836676	0.3417492	0.5524062	0.6569406	0.5620532	0.2151329	0.4082177	0.6810055	0.5392165	0.1025266	0.5491481	0.4972633	0.4802958	0.6878434	0.6909318	0.5553888	0.3317686	0.7149601	0.1065172	0.1194124	0.1856549	0.2477358	0.0480889	0.0685120	0.6535677	0.3876028	0.6595944
0.6493087	0.6906013	0.6016943	0.6892920	0.3051694	0.5680680	0.5841693	0.6948671	0.6759935	0.5843725	0.4611067	0.0107741	0.7219198	0.1013004	0.6664633	0.5336829	0.0697714	0.7588808	0.3354428	0.1632491	0.6097983	0.6423816	0.7887612	0.5890645	0.5068448	0.4331001	0.5063062	0.5843021	0.7118679	0.4702177	0.0556344	0.5878288	0.5858023	0.4256626	0.4612331	0.4601724	0.6903939	0.2415905	0.8087036	0.5804608	0.5861785	0.6239518	0.1460974	0.8158768	0.5850244	0.4181655	0.4101950	0.4125202	0.1769305	0.3482027	0.5930151	0.1671788	0.4292065	0.2368783	0.3367338	0.3357951	0.4236806	0.5971333	0.8303093	0.4786280	0.7573815	0.5904031	0.6709813	0.7187180	0.3946660	0.4520437	0.0604208	0.3437852	0.1017029	0.8536608	0.6069973	0.2952502	0.1880202	0.5172389	0.6881458	0.9139837	0.6260502	0.7901251	0.8283578	0.6154126	0.0686131	0.1798921	0.2132524	0.1420553	0.0189139	0.0180492	0.0397986	0.7473519	0.4929433	0.0404761	0.6265327	0.2466736	0.5236509	0.5376303	0.3719178	0.5847813	0.0077918	0.6817481	0.1581750	0.1116023	0.4415718	0.0719397	0.3277954	0.3565216	0.7813530	0.6577862	0.6976073	0.2252750	0.4075583	0.1520423	0.0294792	0.2495710	0.7337095	0.1420380	0.7001835	0.6928387	0.7367493	0.4848559	0.1167208	0.3818328	0.4690045	0.1845887	0.4240267	0.0753891	0.0715151	0.0581247	0.0610677	0.7682367	0.0842588	0.5370178	0.0461441	0.5851640	0.0123912	0.1989053	0.0002797	0.1259903	0.0841280	0.2241699	0.2883592	0.1373054	0.6509422	0.5993021	0.0148370	0.6821888	0.4170457	0.0248664	0.3174881	0.4594074	0.6790705	0.2648968	0.4667901	0.0096272	0.1701165	0.0194652	0.4710473	0.6793828	0.4727779	0.3699811	0.6892673	0.6551241	0.5695421	0.7700337	0.6660903	0.7025666	0.5995839	0.6303203	0.7068145	0.6663944	0.7556013	0.2205667	0.2325664	0.6527823	0.3916330	0.2153270	0.3467164	0.7104758	0.6202396	0.4973918	0.2107777	0.4701363	0.5484039	0.5429281	0.2218520	0.5245539	0.6317596	0.3555501	0.7066795	0.5813621	0.5880193	0.3057021	0.6073268	0.1711475	0.1885793	0.1806587	0.1789189	0.0067336	0.1034270	0.3740583	0.4355094	0.5961407
0.6780825	0.7625701	0.6307992	0.7025890	0.4105709	0.5698422	0.6545047	0.6482396	0.5763456	0.7561641	0.3716574	0.0481253	0.6887272	0.0320659	0.7931844	0.5950926	0.0865079	0.6745265	0.3518169	0.1448319	0.5495218	0.7612364	0.7237185	0.5983550	0.5321457	0.6972789	0.5296422	0.7420483	0.7084414	0.6229554	0.0642348	0.7598639	0.6248715	0.4244556	0.5135226	0.5836647	0.5696027	0.2900621	0.6796038	0.5828680	0.7555031	0.6692841	0.1864501	0.6525822	0.6443663	0.4776565	0.7354806	0.1211161	0.0262680	0.5376968	0.5001971	0.2307676	0.7475980	0.1511091	0.6035462	0.5505634	0.5107185	0.6417865	0.7022533	0.6356766	0.6120359	0.2292091	0.6013044	0.5495978	0.6513444	0.4608987	0.1889709	0.3165306	0.2814601	0.5311104	0.6030198	0.5079253	0.2521908	0.5950048	0.6266826	0.6640753	0.6273890	0.7049750	0.6110538	0.6122095	0.3364643	0.5554915	0.0647430	0.0622076	0.0197217	0.0280663	0.0097849	0.5863447	0.4674289	0.0438152	0.6587154	0.4059455	0.5956833	0.5093010	0.4803696	0.1522608	0.0002364	0.5970442	0.2792467	0.2820987	0.7685331	0.2105015	0.3220692	0.5341396	0.6183178	0.1724840	0.7595633	0.3978706	0.4701591	0.2423055	0.2605535	0.2261684	0.4367503	0.1908478	0.6580956	0.6333108	0.6684652	0.5180602	0.5681538	0.2387736	0.4269906	0.4185829	0.5405517	0.0564884	0.0261599	0.0311603	0.0384439	0.5231004	0.0546517	0.7030625	0.0920888	0.4364922	0.0165720	0.2433248	0.0180474	0.2053308	0.0567963	0.2194384	0.3951299	0.0923527	0.6401974	0.1734198	0.0203219	0.6699971	0.6158177	0.1072930	0.2672631	0.0724692	0.6316106	0.3339858	0.5354576	0.0394181	0.1176203	0.0189650	0.4556305	0.6348297	0.3110590	0.4089611	0.6884380	0.2589605	0.6330794	0.7809160	0.7351759	0.5468225	0.5246625	0.6279389	0.6519892	0.6326007	0.6210721	0.1795688	0.2363051	0.4421776	0.4341707	0.5888445	0.3971334	0.6703832	0.8069316	0.7894551	0.1994270	0.4584217	0.5045111	0.4462276	0.1992106	0.6555414	0.6593389	0.5061684	0.7498691	0.5969238	0.5822693	0.4533834	0.4978237	0.3162251	0.2237781	0.2937544	0.3967202	0.0778318	0.1338535	0.5351423	0.4076324	0.6461051
0.5741111	0.7318068	0.6862065	0.6184815	0.3398389	0.6806386	0.6354377	0.6586927	0.6683228	0.7272350	0.5350689	0.0144715	0.5899479	0.0505638	0.6010097	0.6207349	0.0948233	0.6378793	0.2987818	0.1862762	0.4417773	0.6822332	0.5462855	0.5321184	0.4149542	0.4121990	0.5190881	0.6717238	0.5708915	0.5315762	0.0735010	0.6492092	0.6305796	0.5747979	0.6245700	0.6327968	0.5622234	0.3340177	0.6534164	0.5824130	0.7623776	0.6158403	0.1101641	0.6573009	0.6284822	0.3506995	0.4811943	0.1909305	0.3463358	0.4941200	0.6908510	0.1070682	0.6212931	0.2422307	0.3741166	0.4798033	0.2959840	0.5058274	0.7271301	0.5567828	0.7057141	0.4917243	0.7193016	0.4399270	0.4602363	0.4249750	0.0589513	0.4657894	0.2326267	0.4858955	0.4763959	0.5374407	0.2247700	0.6042166	0.7355311	0.8107812	0.6688568	0.6462037	0.7158483	0.6413702	0.0942111	0.2681742	0.4493429	0.1378028	0.0280633	0.2381041	0.0302323	0.7278509	0.5427037	0.0314908	0.7063889	0.4529716	0.4532847	0.8356683	0.3093933	0.4199321	0.0219568	0.5816782	0.3968851	0.2083901	0.6483670	0.0959264	0.4604894	0.4713964	0.7023052	0.6158145	0.5778944	0.3131744	0.4955883	0.2586944	0.2639873	0.5275599	0.6924052	0.1119457	0.7879902	0.4361698	1.0000000	0.5514337	0.4717797	0.4834604	0.5078547	0.5058919	0.4165668	0.0471776	0.0116321	0.0922090	0.0409699	0.4667662	0.0758701	0.4965782	0.0227426	0.5052989	0.0058376	0.1530366	0.0010344	0.2239746	0.0368498	0.1946494	0.1025038	0.0980281	0.4883083	0.5151592	0.0319022	0.4950483	0.4483224	0.0578361	0.1946713	0.2343374	0.7167042	0.1136533	0.6970212	0.0086023	0.1721970	0.0164781	0.4586940	0.8264164	0.4467939	0.4015166	0.5298781	0.3657331	0.6260331	0.7063592	0.6794456	0.7018841	0.7584235	0.6759207	0.7854406	0.7561063	0.6757643	0.4273860	0.2649861	0.6828328	0.4246557	0.3005182	0.4247822	0.7579601	0.6436284	0.7259514	0.5293432	0.4555358	0.6298566	0.5357803	0.1851402	0.7315785	0.7789182	0.7225388	0.6427748	0.3970335	0.6610792	0.4160636	0.6261628	0.1340273	0.1829188	0.0833333	0.1582850	0.0354999	0.0747630	0.3955072	0.3950174	0.7902159
0.5850589	0.6962218	0.6310615	0.7029079	0.5015306	0.5030405	0.5862944	0.6710784	0.6000278	0.5717081	0.4173111	0.0179840	0.6359008	0.0592307	0.6429260	0.5750382	0.1518967	0.8117469	0.3864310	0.1241632	0.6783380	0.6209941	0.7307694	0.5900972	0.4508264	0.7085061	0.5765110	0.5974412	0.7619992	0.4265207	0.1194287	0.6203947	0.7027559	0.4330209	0.4567095	0.5281541	0.5788481	0.2566226	0.7113418	0.7627129	0.6141442	0.7341737	0.1396396	0.6855235	0.6894858	0.3987583	0.6591155	0.5426440	0.1279355	0.3782846	0.6027338	0.1681361	0.3779761	0.2955609	0.6587391	0.3777750	0.7170364	0.6525876	0.6061508	0.4323855	0.5858409	0.4954302	0.5923348	0.6469814	0.4498344	0.6323932	0.0638219	0.4068095	0.1928651	0.6269493	0.6512785	0.5114646	0.2698656	0.5103129	0.6964996	0.6801077	0.6508738	0.6676840	0.8077851	0.6876099	0.0829339	0.2051509	0.1906554	0.0012543	0.0213816	0.2084780	0.0817550	0.5435330	0.4120756	0.0742134	0.7163585	0.4429300	0.4945794	0.8637751	0.1147480	0.4447560	0.4002201	0.4930272	0.4012194	0.1732338	0.6518181	0.0041355	0.4529103	0.5117719	0.7000794	0.7021270	0.8005521	0.4747176	0.3146902	0.2735634	0.1251099	0.3735770	0.4789652	0.0661051	0.4871352	0.7180275	0.6978379	0.4926978	0.5536585	0.2924923	0.6907717	0.6270244	0.4320241	0.1206256	0.0624443	0.0721237	0.0209462	0.4219164	0.0950653	0.5775244	0.1154730	0.3365229	0.0822167	0.1918049	0.0090908	0.0507136	0.1454329	0.2378649	0.3583984	0.1794436	0.6362545	0.4195619	0.1188314	0.5609407	0.5372303	0.0978148	0.3703425	0.1068607	0.7668621	0.2449090	0.5337797	0.0217902	0.0669969	0.0310039	0.5909081	0.6581797	0.6251784	0.5399660	0.8355064	0.5643524	0.5811975	0.6019862	0.7205090	0.6674790	0.5917753	0.6426319	0.8146583	0.7324849	0.6087986	0.2014641	0.3512578	0.5715809	0.5656458	0.5022763	0.2991929	0.6046614	0.7362823	0.6870265	0.1379906	0.5508930	0.6681737	0.4453682	0.1632578	0.5632200	0.6729430	0.4381153	0.5854466	0.6482485	0.6231368	0.4302016	0.4328100	0.4945205	0.3470662	0.3956999	0.3846345	0.0407748	0.1885914	0.6482962	0.3112326	0.6038057
0.6445981	0.5456322	0.6742836	0.6161560	0.2614197	0.4883749	0.5641596	0.6285737	0.6591373	0.6525642	0.3396177	0.0394826	0.8194791	0.0785364	0.6740138	0.6847783	0.0435270	0.7820354	0.3038061	0.1646303	0.6398267	0.7014830	0.6001076	0.4292885	0.4785588	0.5547680	0.5819082	0.6018451	0.6284480	0.6153653	0.0969641	0.6175611	0.6955787	0.5117243	0.4297075	0.5195726	0.6253900	0.3475308	0.6376696	0.5960371	0.6353565	0.5247953	0.1638264	0.6779353	0.6884938	0.3513857	0.5124869	0.3263985	0.3008882	0.2818090	0.4630567	0.0768374	0.5327952	0.1834648	0.6319428	0.2787569	0.5363961	0.6089586	0.6004487	0.4980022	0.3127551	0.7431844	0.5950172	0.7447310	0.1648085	0.2310246	0.1975739	0.7013266	0.2061822	0.7000958	0.7502314	0.4397153	0.3515205	0.7593980	0.6650151	0.7771669	0.5877483	0.9022348	0.7103456	0.6353161	0.0016946	0.3239486	0.3984520	0.3390061	0.0429698	0.0323096	0.0415891	0.5706357	0.4495098	0.0988991	0.7510684	0.6332111	0.5362389	0.8444496	0.1863688	0.4438382	0.0009818	0.6778619	0.3927723	0.4584028	0.5964705	0.0073912	0.6339539	0.5027447	0.6578994	0.6438111	0.5655991	0.3039188	0.3597971	0.0201535	0.0517116	0.6302547	0.4273775	0.0830366	0.2168394	0.6526261	0.5966740	0.2516410	0.3603447	0.0834951	0.7392993	0.2214568	0.2660471	0.0781482	0.0165524	0.0405099	0.0069473	0.5886167	0.0819101	0.4461946	0.0930093	0.5445245	0.0617722	0.2378788	0.0001129	0.1402833	0.1468251	0.1629606	0.2518348	0.1207524	0.5790618	0.2937576	0.0315888	0.6242451	0.6519022	0.0424081	0.3335323	0.3315336	0.6606071	0.2465593	0.5575885	0.0032339	0.0588213	0.0151641	0.5210282	0.7368450	0.2996225	0.5959064	0.4391320	0.4608456	0.6190869	0.7710249	0.7680156	0.6833373	0.5970629	0.5784464	0.7093827	0.8120179	0.8424413	0.0564288	0.2446830	0.6970259	0.6313475	0.3129073	0.3342096	0.5900959	0.6396847	0.7476954	0.2500577	0.4798614	0.4617721	0.5101887	0.1685219	0.5522049	0.6711104	0.4808753	0.6820052	0.6024093	0.6748546	0.3709118	0.6642150	0.0869657	0.1871277	0.1190796	0.0725285	0.0458908	0.1390256	0.4761397	0.4213425	0.5294663
0.5838693	0.6526063	0.4443588	0.6517828	0.4027638	0.4782863	0.6758990	0.8160847	0.7499660	0.7196611	0.6029301	0.0110197	0.6717324	0.0313895	0.7479343	0.5857566	0.0498665	0.6958875	0.2516021	0.1339142	0.5193416	0.6341271	0.6058782	0.4925239	0.5440886	0.5176976	0.5880963	0.5976224	0.6212719	0.5530328	0.0408503	0.7051354	0.6397463	0.5548138	0.4778022	0.6484492	0.6759910	0.1965531	0.6904628	0.7221042	0.8501740	0.7165359	0.1739770	0.6925751	0.6215815	0.4414652	0.5705853	0.0762883	0.3656912	0.5456863	0.5458980	0.0363140	0.7290115	0.0913044	0.4849839	0.5698273	0.3902261	0.6940406	0.6567465	0.4245704	0.6745867	0.6425077	0.7695337	0.7829853	0.2103393	0.1722529	0.4259727	0.2363280	0.5016723	0.6967409	0.6569717	0.5844631	0.3448338	0.6362323	0.7310390	0.7529150	0.8106954	0.8121360	0.6267263	0.7195029	0.0264096	0.2862955	0.4924608	0.0017674	0.0446983	0.3023774	0.0021123	0.6062152	0.3792062	0.0198215	0.3490733	0.5792752	0.4534288	0.6576271	0.5126753	0.6112552	0.0033864	0.4844197	0.1887346	0.2183549	0.6694177	0.0073141	0.2376866	0.2844229	0.6227372	0.6388781	0.7802444	0.3156207	0.3995144	0.2855821	0.2358778	0.2562781	0.5765421	0.1532574	0.6989472	0.7841706	0.6072203	0.5473332	0.1085915	0.3692937	0.4058468	0.1409593	0.2467107	0.1021978	0.0318688	0.0377761	0.0206563	0.5831256	0.0991488	0.5851108	0.0213912	0.3575379	0.1187105	0.1785828	0.0135607	0.0001855	0.0645638	0.1792502	0.3372872	0.1007223	0.4729280	0.5958452	0.0698048	0.5405265	0.4808061	0.0317188	0.1383383	0.1964403	0.7631818	0.0292699	0.7094719	0.0022305	0.1102139	0.0208220	0.4982693	0.5822753	0.6621980	0.6615252	0.6643324	0.4644402	0.5788113	0.6549266	0.7655065	0.5416174	0.6277039	0.6375355	0.6657034	0.6382989	0.8241818	0.0690760	0.5447383	0.6534300	0.3836944	0.1450686	0.4198890	0.7754388	0.6260485	0.6824066	0.1976527	0.3975854	0.5062718	0.4979954	0.1842882	0.6555469	0.6039689	0.5653408	0.7051086	0.8213792	0.5091761	0.2769723	0.7199680	0.1119730	0.3146869	0.1303817	0.1242335	0.0164792	0.0641235	0.5131522	0.3425422	0.5886747
0.7047580	0.7117217	0.5909158	0.6160719	0.3860059	0.5342921	0.7545836	0.7778122	0.6816770	0.7593888	0.5689371	0.0339034	0.7324742	0.0559463	0.6749588	0.7466279	0.0354612	0.8088705	0.3665615	0.0660256	0.5917353	0.7135433	0.6523508	0.4870143	0.4032390	0.4871709	0.5320750	0.7630312	0.6815607	0.6640935	0.0340115	0.7272559	0.7049181	0.5559760	0.6110870	0.7084253	0.6992366	0.1743856	0.6325590	0.4902975	0.7678991	0.7618523	0.2071191	0.8120741	0.7431703	0.3505205	0.7950970	0.2428138	0.0485740	0.4306656	0.5383277	0.1585363	0.4672077	0.1975155	0.6413960	0.4811246	0.4158945	0.5761570	0.6882647	0.5531218	0.6390747	0.4540942	0.6993352	0.6754655	0.4947429	0.5611948	0.1710728	0.1927545	0.3260854	0.4763889	0.5396031	0.4617483	0.2342291	0.5781714	0.6914425	0.7061914	0.7195717	0.6329640	0.6926862	0.5896617	0.0050661	0.2601051	0.4400640	0.0000897	0.0734983	0.1895131	0.0266599	0.7327752	0.3989367	0.0484649	0.6899803	0.3027658	0.5380312	0.9591200	0.1833907	0.3178505	0.0056454	0.5707608	0.0975874	0.3183538	0.7268501	0.3693850	0.4968846	0.5444125	0.8317964	0.4325381	0.7512647	0.3536520	0.3838618	0.0516342	0.0852132	0.1806665	0.5996083	0.2133747	0.6485416	0.6535325	0.7372553	0.5010167	0.5838707	0.3544885	0.4272302	0.3002214	0.3498171	0.0614539	0.0221312	0.0348172	0.0055024	0.5221670	0.0750296	0.5311396	0.0706034	0.4920826	0.0617828	0.1634306	0.0013356	0.1422146	0.0325153	0.0661641	0.3491858	0.1071597	0.6251798	0.3964461	0.0286519	0.6761773	0.3790796	0.0341316	0.2545140	0.1589353	0.6645696	0.2478317	0.6969387	0.0058653	0.0959326	0.0244609	0.3255263	0.6718294	0.3765664	0.5636701	0.6575523	0.3821816	0.6357650	0.6457997	0.5762050	0.6772310	0.5678907	0.7619886	0.6132468	0.7157215	0.5285357	0.1446284	0.1636446	0.7656323	0.3014325	0.2445614	0.4096380	0.6917251	0.7261518	0.5584553	0.1561216	0.5154999	0.6363920	0.5219325	0.1675695	0.6366335	0.6182665	0.4387999	0.7996759	0.6431808	0.6654787	0.2861622	0.7285653	0.1846984	0.1710635	0.2311299	0.2689847	0.0791565	0.1739429	0.5546088	0.3910518	0.6641239
0.5703549	0.6717479	0.7372733	0.7224484	0.3102357	0.5780844	0.7229685	0.6397460	0.6457130	0.6817471	0.5340792	0.0190963	0.6517713	0.0364683	0.6185443	0.6273405	0.1486986	0.7270175	0.2291383	0.0994984	0.4803403	0.8544689	0.7517079	0.5457559	0.4997920	0.6188277	0.5439413	0.6329604	0.7385654	0.5980331	0.0371477	0.7163291	0.6878196	0.6484821	0.5731161	0.6396569	0.5631888	0.2937801	0.6672202	0.5952849	0.7646652	0.6590748	0.1342704	0.6057548	0.6648609	0.3875224	0.3023561	0.1591805	0.2762722	0.3404972	0.5904590	0.0302170	0.6202095	0.1735277	0.8283502	0.4272207	0.4620482	0.5999197	0.7718308	0.5227888	0.6639185	0.4385023	0.8436886	0.7185637	0.4540882	0.3377563	0.1773178	0.1955923	0.4813599	0.6382893	0.7756660	0.3681218	0.3294894	0.6255364	0.6559673	0.7686135	0.8803609	0.6717371	0.6766236	0.7246425	0.2887352	0.5784054	0.4629611	0.1756090	0.0961650	0.0116292	0.0254202	0.7414324	0.4885138	0.0514804	0.7044638	0.2602112	0.2458778	0.6872877	0.5223410	0.4589409	0.0312942	0.7457767	0.5193998	0.2217909	0.6209456	0.3667803	0.3710318	0.4731871	0.3872527	0.6345452	0.6404861	0.3359775	0.3381812	0.0798587	0.0560389	0.2293448	0.2530653	0.1333247	0.4785308	0.4871537	0.6768359	0.5204339	0.6986728	0.0189521	0.6593698	0.6293751	0.4152901	0.0422579	0.0579887	0.0533688	0.0078971	0.6096346	0.2176039	0.5341313	0.0844715	0.3902758	0.0906439	0.1326271	0.0091676	0.1937550	0.0637049	0.2043711	0.3177889	0.1180045	0.2988078	0.3974760	0.1576074	0.7576268	0.6659386	0.0308921	0.2934766	0.1502925	0.6491326	0.1378679	0.5854118	0.0048003	0.1878834	0.0276164	0.4394312	0.6600791	0.5574007	0.5799673	0.4030959	0.6167646	0.5074263	0.7559553	0.7271764	0.8797021	0.5658467	0.6691251	0.6655221	0.6674924	0.6662548	0.1803800	0.5685896	0.7107356	0.3897214	0.1473882	0.3395930	0.5693753	0.7372505	0.7554985	0.2392152	0.4139200	0.4913577	0.5362560	0.0839292	0.5362567	0.5292824	0.6166691	0.7176347	0.5844044	0.5092617	0.3480869	0.7667697	0.2435790	0.2282133	0.1135375	0.1252874	0.0512416	0.0363617	0.5853671	0.4740415	0.6687837
