fadE	fadR	fadI	fabB	fabR	fabA	fadJ	uspA	fadB	arcA	fadD	fadA	fadL	puuD	ydeA	puuR	rpsJ	betB	betI	betT	betA	ybdN	rplB	rplV	ackA	hybD	hybB	uvrA	hybE	lldP	lldR	lldD	appA	appB	appY	appC	yccB	hyaD	hyaA	hyaB	iscR	hyaF	hyaE	hyaC	narP	narL	napC	napG	napF	napB	napD	modE	napA	napH	ccmC	ccmE	ccmH	ccmF	flhC	ccmA	ccmB	flhD	ccmG	ccmD	nrfC	nrfD	nrfF	nrfE	nrfG	nrfA	nrfB	mdh	glpC	glpB	glpA	fliF	flgE	hdfR	gltK	ygbK	flgI	flgC	ppdB	fliI	recC	gltI	fliL	ycgR	flgJ	hybC	flhA	flgF	fliR	fliG	flhE	ppdA	fliP	flgM	fliO	fliE	flgA	ygdB	fliT	gltJ	flgB	fliM	fliN	ppdC	hybG	hybO	flhB	fliK	gltL	fliD	flgG	fliJ	flgH	fliQ	hybA	fliH	yhjH	flgN	fliS	flgD	hybF	glpR	ydhX	ydhT	oppF	ydhU	cydC	fdnI	cydD	glpD	ydhY	hydN	oppC	lrhA	fdnG	yecR	oppB	moeB	oppD	moeA	oppA	fdnH	qseB	ydhV	ydhW	ytfE	hcp	yeaR	hcr	fnr	fdhF	ubiA	ubiC	focA	nuoN	nuoI	nuoJ	norV	nuoH	dmsC	nuoM	dmsA	nuoB	nuoK	nuoE	nuoL	nuoC	dmsB	nuoF	norW	nuoG	nuoA	ynfG	iraM	dcuS	rpmC	rplC	rpsQ	dmsD	rpsS	rplW	tpx	ynfH	rplD	dcuC	ynfF	ynfE	rpsC	puuA	rplP	narX	fumB	pflB	frdD	dcuR	frdA
0.2611048	0.7254034	0.0157986	0.5003845	0.6312954	0.4122673	0.1876910	0.3110071	0.1868828	0.5734581	0.2529605	0.0000822	0.2171745	0.0877884	0.1851368	0.1463885	0.1364099	0.3365386	0.0421072	0.3542266	0.6608586	0.6101718	0.3542941	0.0010817	0.2321951	0.0308857	0.0549395	0.0447612	0.1625789	0.4512842	0.4067134	0.4276671	0.5243772	0.6929435	0.6220281	0.7636654	0.5403187	0.5412599	0.2773580	0.4242406	0.6935421	0.5019037	0.4350100	0.3619253	0.3475902	0.4873410	0.2748267	0.6574836	0.0007531	0.3295475	0.6024813	0.8135314	0.2195049	0.1479402	0.6146237	0.1703579	0.4757728	0.5939772	0.6348784	0.7384464	0.6744555	0.6755913	0.6837714	0.4368673	0.7642587	0.4621917	0.4593858	0.3650956	0.1581692	0.7471636	0.3725157	0.1793967	0.4361631	0.1462859	0.2690663	0.6671653	0.5271254	0.7639875	0.6986467	0.5391898	0.6872365	0.3496031	0.7182106	0.4615988	0.6659766	0.6833567	0.0538722	0.7166932	0.5414311	0.3406742	0.6606630	0.5671312	0.4979764	0.4385691	0.3163872	0.5599854	0.6322210	0.6021346	0.5528434	0.5398525	0.3817176	0.5994852	0.5149297	0.6780117	0.3443725	0.3224316	0.4901493	0.7572699	0.1112749	0.1136013	0.3821575	0.6276415	0.6038197	0.3982842	0.7805955	0.2328827	0.6134694	0.4110780	0.0263097	0.1662730	0.6504828	0.4159492	0.6453960	0.2952222	0.0097362	0.7718799	0.4787806	0.7392419	0.1606124	0.6353737	0.3932420	0.2584886	0.5937689	0.3490097	0.4835126	0.5500693	0.1407142	0.3576828	0.0000974	0.6039210	0.0308524	0.6854789	0.0298038	0.2787489	0.4803876	0.6378310	0.6964943	0.2874666	0.0368385	0.1866128	0.7307943	0.5421670	0.2119374	0.4458207	0.5407511	0.0013515	0.0007119	0.4224469	0.3502958	0.3965266	0.4844308	0.3923838	0.4106741	0.4727630	0.5653555	0.0044459	0.6057428	0.4655543	0.3447312	0.3068180	0.1007162	0.2324568	0.4042586	0.3482078	0.1648919	0.6926912	0.2424095	0.5993779	0.2039417	0.0798765	0.1857768	0.5164954	0.2082610	0.3841073	0.2299611	0.2573389	0.0739724	0.4334276	0.3191691	0.0872199	0.2638406	0.4589575	0.3711763	0.5858418	0.5977232	0.1637064	0.6759105	0.2560715	0.1160434	0.3679990
0.2955518	0.7470554	0.1202327	0.1613735	0.7294330	0.3366722	0.2234585	0.2829899	0.1574030	0.5445687	0.4150555	0.0029579	0.3660140	0.0029743	0.1849915	0.1145844	0.1140158	0.1765777	0.0752431	0.3873259	0.7317154	0.4830566	0.5835100	0.0526790	0.2761938	0.0134479	0.0674814	0.0467374	0.1722334	0.5721289	0.2730216	0.4088029	0.6347981	0.5636227	0.6209585	0.6872933	0.4525979	0.4138236	0.2563257	0.3857846	0.6409647	0.3002406	0.5244135	0.0798930	0.6022439	0.5874493	0.5127510	0.2914778	0.3282506	0.1304771	0.4650067	0.7555637	0.0041878	0.3373749	0.6639695	0.2494744	0.6517102	0.6675218	0.3714753	0.6347731	0.7133172	0.4222754	0.6512095	0.4905815	0.5660927	0.3930096	0.5303467	0.4481487	0.3647402	0.5590778	0.5309455	0.3008763	0.2911749	0.1745364	0.4369323	0.6457533	0.6343126	0.6375088	0.5389844	0.5494676	0.5629263	0.3716231	0.5706938	0.5530883	0.5359684	0.7367519	0.4374504	0.7170816	0.6249851	0.4886223	0.4819955	0.2624080	0.0965782	0.3950077	0.1856294	0.1957426	0.5934458	0.5377050	0.1946431	0.2710774	0.6591987	0.1470008	0.3264932	0.6268968	0.3779124	0.1685109	0.0591479	0.8047238	0.0959137	0.1545262	0.3376411	0.5171467	0.5339697	0.4255983	0.4188575	0.1542973	0.7631844	0.2179922	0.0981764	0.3193357	0.4955226	0.1129998	0.6802813	0.1373374	0.0140241	0.5049188	0.4667868	0.7166589	0.0835653	0.4233130	0.3398205	0.2701783	0.7176350	0.1321191	0.0445762	0.3089893	0.3080796	0.4026826	0.0328755	0.6356722	0.0066388	0.3824647	0.0294724	0.5056007	0.3904143	0.6040303	0.5249868	0.2120415	0.0695816	0.0085914	0.6497534	0.6556191	0.5592873	0.3268855	0.4438042	0.0000560	0.0032473	0.5447236	0.3322992	0.4987550	0.2819973	0.3086549	0.3964373	0.2262944	0.7515047	0.0045607	0.6877619	0.3340465	0.3169877	0.4837807	0.0488527	0.2089253	0.2788475	0.3802116	0.1404619	0.5338407	0.0574901	0.7704699	0.1036563	0.0067211	0.0674101	0.6393694	0.3186973	0.3467449	0.0806793	0.2171346	0.3128259	0.4538419	0.3349265	0.1054392	0.1916701	0.4523591	0.7239196	0.4335742	0.7324085	0.1984781	0.7147592	0.2187484	0.0082944	0.1804585
0.2723245	0.6555642	0.0882868	0.2947539	0.7428471	0.4751465	0.1865505	0.3041924	0.1201650	0.5199567	0.2633770	0.0001476	0.2481393	0.0707428	0.0252774	0.0672752	0.2211252	0.4715412	0.0963487	0.3330104	0.6180562	0.6726096	0.2656955	0.0738687	0.3157673	0.0943879	0.1514926	0.0163728	0.1451154	0.7839998	0.3023919	0.2490863	0.6034756	0.7356100	0.6644946	0.7179953	0.3982816	0.4375641	0.3179706	0.3290172	0.7784691	0.6068041	0.3995417	0.1143412	0.7515208	0.5292640	0.4889937	0.4001382	0.4242694	0.1785976	0.3220477	0.5511944	0.0099853	0.5367617	0.6536004	0.4458525	0.5676091	0.7737035	0.5859202	0.6505089	0.7548305	0.7353725	0.5945758	0.5867898	0.7237786	0.4796077	0.6077448	0.4913336	0.4684267	0.8031522	0.4724947	0.1209478	0.4770899	0.3529788	0.4684851	0.6172761	0.5261356	0.7357442	0.5617979	0.5427065	0.6021497	0.3676354	0.4758954	0.5291659	0.6232079	0.7498191	0.2862190	0.7583762	0.6158565	0.5363402	0.7060347	0.5021490	0.1561793	0.3908608	0.2484885	0.5130577	0.4940374	0.5322877	0.4901384	0.6102891	0.4763192	0.4839048	0.3991581	0.5786758	0.4120094	0.2053635	0.2802565	0.7094887	0.0805270	0.1620893	0.3903884	0.5056795	0.4781573	0.5821172	0.6125804	0.1270066	0.7981840	0.4112761	0.0197974	0.1730938	0.4597095	0.3433111	0.7529660	0.3815655	0.0185456	0.7121135	0.2845783	0.5490207	0.2135457	0.2399631	0.5475101	0.3490920	0.7048212	0.1036530	0.0948225	0.6752802	0.2985273	0.3597259	0.1480129	0.7149724	0.0122938	0.7134854	0.0313913	0.4091435	0.4452111	0.5271789	0.9280878	0.1846944	0.1242479	0.1403100	0.6100422	0.6461065	0.4301680	0.3021179	0.4690744	0.0016599	0.0043187	0.6341874	0.3130396	0.3996165	0.1452772	0.1219363	0.3076734	0.2833213	0.7700327	0.0647494	0.3760725	0.4335842	0.2651684	0.3631221	0.1182466	0.3233435	0.3251848	0.3216475	0.1069629	0.6336117	0.0069999	0.5740555	0.2902009	0.0849917	0.1744306	0.2387214	0.5520458	0.3881982	0.0408488	0.1425727	0.3249245	0.3970978	0.5433579	0.2353842	0.0623550	0.1362634	0.5329102	0.4586674	0.5741405	0.0645796	0.5809914	0.2512513	0.0303321	0.3121426
0.1835215	0.7004788	0.1381278	0.3579360	0.6318968	0.2301473	0.1583924	0.2956133	0.1764095	0.5430065	0.3695082	0.0010198	0.2279601	0.1303034	0.1351286	0.0861532	0.0840585	0.3706306	0.0112727	0.6055136	0.4214847	0.6763422	0.3493732	0.2290456	0.2277686	0.0973390	0.1248731	0.0144791	0.0951746	0.6184881	0.3013833	0.1978637	0.6721988	0.6045624	0.5752822	0.6409781	0.4062490	0.1851039	0.3315325	0.5168187	0.6410643	0.5804935	0.3288988	0.1166711	0.4976078	0.6125309	0.5027632	0.3893101	0.0001225	0.1717194	0.4108383	0.5823994	0.0012938	0.3617750	0.6658864	0.1026998	0.4795224	0.6512316	0.3715759	0.7055137	0.6714876	0.4216538	0.6142733	0.7556514	0.6779544	0.5510078	0.6867461	0.4103342	0.2416895	0.5943197	0.4357440	0.2680350	0.2322338	0.3090542	0.2666567	0.7269576	0.4294715	0.3746733	0.4729221	0.5556712	0.5606702	0.2601509	0.3384639	0.7298132	0.6080217	0.5556835	0.0539422	0.6174662	0.5845722	0.1775140	0.4079324	0.6705127	0.0447319	0.5451670	0.3389829	0.2544793	0.4952053	0.6054025	0.2807015	0.0897135	0.4293333	0.1681825	0.1837930	0.5493940	0.3818914	0.2170660	0.1053719	0.6316828	0.0775501	0.0019824	0.2587310	0.4800743	0.5235103	0.4513269	0.5555759	0.0854770	0.6618278	0.3062739	0.0564007	0.1643531	0.8182889	0.1051564	0.7191028	0.4772388	0.0020559	0.6793549	0.2786981	0.5007402	0.0671827	0.3541772	0.5007498	0.3673153	0.6873626	0.2699881	0.2009747	0.4969849	0.2094594	0.7344000	0.0257739	0.6791177	0.0242170	0.6426337	0.0140960	0.4335601	0.4322058	0.4881737	0.8317040	0.0716875	0.0374410	0.0943391	0.5855737	0.5200442	0.3316512	0.4221319	0.4179521	0.0030082	0.0008016	0.5376140	0.2348353	0.3975729	0.5424221	0.4520046	0.1913277	0.3328090	0.6569669	0.0098927	0.3400256	0.2835912	0.0674948	0.0451772	0.1541506	0.2004041	0.3303107	0.3098891	0.2052851	0.7042849	0.0392881	0.6520181	0.1373167	0.1021650	0.1231902	0.3805255	0.4615066	0.1045921	0.1880942	0.0264868	0.2610320	0.4441645	0.2727188	0.0625307	0.4337110	0.4258191	0.3552593	0.3764175	0.6418069	0.0520932	0.7161224	0.1298137	0.0063853	0.0003413
0.3535779	0.7557894	0.0053544	0.0256437	0.6561453	0.4962268	0.2081633	0.3195784	0.0757945	0.4750496	0.2941930	0.0007486	0.3305564	0.0910927	0.1743806	0.0940771	0.0530925	0.3000071	0.0518558	0.5454699	0.4918552	0.7371765	0.5702832	0.0565677	0.1311129	0.0563247	0.2697781	0.0161867	0.2802433	0.7527395	0.4286141	0.3886923	0.7110611	0.5545155	0.5828570	0.5253908	0.5715178	0.0504691	0.5290760	0.4629187	0.6922148	0.3830283	0.5303303	0.2362406	0.7496526	0.2728359	0.4342959	0.4069128	0.0707851	0.2134216	0.6373283	0.5807539	0.0263865	0.5365357	0.8040064	0.3433072	0.5415336	0.6905625	0.5618639	0.7444760	0.7352798	0.3001032	0.4017455	0.6163892	0.7784700	0.3633257	0.5860221	0.2996125	0.5135256	0.5636675	0.7339790	0.4129903	0.1690450	0.0766134	0.6119461	0.4795503	0.3653953	0.6410560	0.6398265	0.4906468	0.6886143	0.2810050	0.3021044	0.5482430	0.5748054	0.6236936	0.1339871	0.6915254	0.5022079	0.3941143	0.3050788	0.2450501	0.1223011	0.3818402	0.2065903	0.3520819	0.4782250	0.5117299	0.3810305	0.0462300	0.2467416	0.2849251	0.1475816	0.5712147	0.5137006	0.1631432	0.2395488	0.7628116	0.1941889	0.0782158	0.3457046	0.7428666	0.3864673	0.3775229	0.4754226	0.0143735	0.7412581	0.3611075	0.1917320	0.1226691	0.6599105	0.0250511	0.7000712	0.2866564	0.0105696	0.6855867	0.3102262	0.6171001	0.1155619	0.2743869	0.2104242	0.0430749	0.7003811	0.1692081	0.0460814	0.1007041	0.3861237	0.5607425	0.0187899	0.7411614	0.0047338	0.5522454	0.0306910	0.2741585	0.2757164	0.3916878	0.4714665	0.1555926	0.0020777	0.0002943	0.7087782	0.6446395	0.2904689	0.4177048	0.6485706	0.0003276	0.0012976	0.6251985	0.3101959	0.3565789	0.4752437	0.5849371	0.0423603	0.3855916	0.6467130	0.3246831	0.7032365	0.4543922	0.4001691	0.3539805	0.0087813	0.4402800	0.0155478	0.7546849	0.1546514	0.6795589	0.0121257	0.5989054	0.1509180	0.0005772	0.1275479	0.0988963	0.1759309	0.2589810	0.4351228	0.2570936	0.1568604	0.5503142	0.2854201	0.0536654	0.0694742	0.2968182	0.5344763	0.4628351	0.8067600	0.1054222	0.6638713	0.1172993	0.1296773	0.2908466
0.0851502	0.4751947	0.1706837	0.0761555	0.6282155	0.1375965	0.1581988	0.3547883	0.1996300	0.3863031	0.3724843	0.0006277	0.2767286	0.0173635	0.0001863	0.1290902	0.0406254	0.5889862	0.1327098	0.4002470	0.5022029	0.4808814	0.6434024	0.0040656	0.0761867	0.0992110	0.2157305	0.0674330	0.0584423	0.5844561	0.3643756	0.3765285	0.6165765	0.5884827	0.7029989	0.5978576	0.2774993	0.5345962	0.7989101	0.2692726	0.5947617	0.5454979	0.5917366	0.2260510	0.5666044	0.4227063	0.4994631	0.3286596	0.4527796	0.2609457	0.4285164	0.6705328	0.1842422	0.3995107	0.6303285	0.2214482	0.6417591	0.6378412	0.7004824	0.6726319	0.6946496	0.7239694	0.5147202	0.5185136	0.7209365	0.4707114	0.6352758	0.3135505	0.2742009	0.6042442	0.4336005	0.1547773	0.6256816	0.2897095	0.4246485	0.7596513	0.6902506	0.5254323	0.6787914	0.6977229	0.6428399	0.2959049	0.4826481	0.4671778	0.6820830	0.6974421	0.1463902	0.5505920	0.5435519	0.4092324	0.7062314	0.5964941	0.2393292	0.4774847	0.2590622	0.6680489	0.5491732	0.6152715	0.4358843	0.5415713	0.5857241	0.7533931	0.4221748	0.6808922	0.3598408	0.1567381	0.4193826	0.6759784	0.1260831	0.1348197	0.5460818	0.3867764	0.5581452	0.4130190	0.6577266	0.1780936	0.6256915	0.4022631	0.1445005	0.4472475	0.5264444	0.5644679	0.7343553	0.3940022	0.0454100	0.5235329	0.3301090	0.4834980	0.0757123	0.3964481	0.4525060	0.0314879	0.8192491	0.3325048	0.2130741	0.7668127	0.2353118	0.5929658	0.0289276	0.6164310	0.0324973	0.6784752	0.0293666	0.4859567	0.4777894	0.4522278	0.6195615	0.3042037	0.0590532	0.1294759	0.6441478	0.5093441	0.3116475	0.2529919	0.5549453	0.0025626	0.0062277	0.4795108	0.2887006	0.4831757	0.4791946	0.3627221	0.1907977	0.1191448	0.6486232	0.2127858	0.6646153	0.6203256	0.5668144	0.5665157	0.0135887	0.1951003	0.1277987	0.4430086	0.3046348	0.6556232	0.0038507	0.5412452	0.0441274	0.0650672	0.0462781	0.1154062	0.3232382	0.1847834	0.4083643	0.1657064	0.0771691	0.3293129	0.3307546	0.0061648	0.0272940	0.1739087	0.6442977	0.4909938	0.6099994	0.1742795	0.6557701	0.6557663	0.0850085	0.2684081
0.2904063	0.6747111	0.1046508	0.1245338	0.5210423	0.5295225	0.2036834	0.2452289	0.1918394	0.5005914	0.3283593	0.0004765	0.3277203	0.1602603	0.1292821	0.0979602	0.1377573	0.3972631	0.0313489	0.3399062	0.6791344	0.5497853	0.4928141	0.0955666	0.1568433	0.1037175	0.0872592	0.0522123	0.1824057	0.4314545	0.3805998	0.4662345	0.7179147	0.6456406	0.6477980	0.6737988	0.3691899	0.1537050	0.2641972	0.2090710	0.5063127	0.5967772	0.5634223	0.1504074	0.7851434	0.4873148	0.2374446	0.7382045	0.2993231	0.3436233	0.2320392	0.6564902	0.0056411	0.3179729	0.6799808	0.1129342	0.5071397	0.7216837	0.2857010	0.6590545	0.7145583	0.6221292	0.6677922	0.5889055	0.5759426	0.3052462	0.6129265	0.3238559	0.4567943	0.5706192	0.5821755	0.1861415	0.3393139	0.0924402	0.4334584	0.6996936	0.5087968	0.6385979	0.6236365	0.5607592	0.4598837	0.0997588	0.5717771	0.6201757	0.6340409	0.7456279	0.0110606	0.6085331	0.5022548	0.4295149	0.6582542	0.4409702	0.3906211	0.6801301	0.2963602	0.2914100	0.6097561	0.5487157	0.3556994	0.2792336	0.4276612	0.1309366	0.4231418	0.5145470	0.4767083	0.0592611	0.2182345	0.7041080	0.0013137	0.1668869	0.4219894	0.3825483	0.5389553	0.3728045	0.5723170	0.2030063	0.6761234	0.2192980	0.0673324	0.1008536	0.7065251	0.2423237	0.7490823	0.1473134	0.0068817	0.8062720	0.3138967	0.7180551	0.1494056	0.6058265	0.2167975	0.0788618	0.7407702	0.2408495	0.3501561	0.5779906	0.1554778	0.7466075	0.0013278	0.5270244	0.0087151	0.5263870	0.0306665	0.2334469	0.4018498	0.6031219	0.7393695	0.0345364	0.2082500	0.0744822	0.6245560	0.6451212	0.5548585	0.2115171	0.4391413	0.0018996	0.0112365	0.3452298	0.1986955	0.4774445	0.4349489	0.3321707	0.3423610	0.1618805	0.6859373	0.0009439	0.6153682	0.6868086	0.2247551	0.4233944	0.0459805	0.1179103	0.3884995	0.2500880	0.2550817	0.4863928	0.1525978	0.5796434	0.0674552	0.0982567	0.0596005	0.6097188	0.1398678	0.1273826	0.4771009	0.2915083	0.0839859	0.2342213	0.4997129	0.0028903	0.0309686	0.4353060	0.7530559	0.4369950	0.6950853	0.0332822	0.4577499	0.1444118	0.0014768	0.1724460
0.3331616	0.4489816	0.0652984	0.0286194	0.6565816	0.1332041	0.1437518	0.3268593	0.0398319	0.6237313	0.3200682	0.0006747	0.2937836	0.0002402	0.0841386	0.0435039	0.1538053	0.3657169	0.0206696	0.6131197	0.5417232	0.6347109	0.5863963	0.1098879	0.4355701	0.1315284	0.1459307	0.0832634	0.1209056	0.6539577	0.2046650	0.1099096	0.7055496	0.7272671	0.8030172	0.5856168	0.5185059	0.4139197	0.2062984	0.3283242	0.6757673	0.6628293	0.4826970	0.0934902	0.5904416	0.4339461	0.3463199	0.6312206	0.1200073	0.1680003	0.2480751	0.7735274	0.4526617	0.2653635	0.5959572	0.1314888	0.4344474	0.7589941	0.1338918	0.6393441	0.7908754	0.6221242	0.5933077	0.4969429	0.6730740	0.3888765	0.3379722	0.5124446	0.2078521	0.5280436	0.4382022	0.2754128	0.0658339	0.4886785	0.1380296	0.5119093	0.6943943	0.8378583	0.6032385	0.2676413	0.5347852	0.0243921	0.2486903	0.5030363	0.3918858	0.5685909	0.2279813	0.5908221	0.6116000	0.4959009	0.4332234	0.6623168	0.0489521	0.3579853	0.1314715	0.1802954	0.4200668	0.3705740	0.2824095	0.0026781	0.2741269	0.0156421	0.3070772	0.8240210	0.4880909	0.1684990	0.1468873	0.7120175	0.0632795	0.0726043	0.1696590	0.3600885	0.4711580	0.4195315	0.3310785	0.2144860	0.7233891	0.1549899	0.1417687	0.0407387	0.7286758	0.1435624	0.6218610	0.0801793	0.0170634	0.7896245	0.2182230	0.4462660	0.2572931	0.5007108	0.3659020	0.3828399	0.6411343	0.1184789	0.0788853	0.1436559	0.1147519	0.5954913	0.2408391	0.6087439	0.0096171	0.4063148	0.0424609	0.5203172	0.5281598	0.6458677	0.7400682	0.3565768	0.0853516	0.1634252	0.5970569	0.5498990	0.2554795	0.3986005	0.7306006	0.0145973	0.0025246	0.4154943	0.6428652	0.1254744	0.0828853	0.3785933	0.1882935	0.3963559	0.5458829	0.0000983	0.6249010	0.4087518	0.3878624	0.3619200	0.1227321	0.3360082	0.2809310	0.4620816	0.1013481	0.5680657	0.0100574	0.5125421	0.1908590	0.0061849	0.0930015	0.1572090	0.2850015	0.1014440	0.1687415	0.2078573	0.1054854	0.4876101	0.3503773	0.2640256	0.2120304	0.5069990	0.6918657	0.4075933	0.4750248	0.0904934	0.6351920	0.3023909	0.1327467	0.2508252
0.1851117	0.6730772	0.0976765	0.2815093	0.7429776	0.2760034	0.1427218	0.2836425	0.1536160	0.5892603	0.2904075	0.0008347	0.2197692	0.1308809	0.1581950	0.0509466	0.2177994	0.2612116	0.0652867	0.3648640	0.6647856	0.7543584	0.7638802	0.1091864	0.2089564	0.2415766	0.1896769	0.0290107	0.4301351	0.6081222	0.2939790	0.1188230	0.7615270	0.6981879	0.7981979	0.5715266	0.5863881	0.3419209	0.5961393	0.6070393	0.6384868	0.4811553	0.5462890	0.0113810	0.4591660	0.1505469	0.3091495	0.7679693	0.2769320	0.2781261	0.3491453	0.3839561	0.1978546	0.3224086	0.6895862	0.3514570	0.4862025	0.6044513	0.6535295	0.6902902	0.7023375	0.6331648	0.6914945	0.7015086	0.6574399	0.5558968	0.6902731	0.6422155	0.4492975	0.6277377	0.4567713	0.1975583	0.2410764	0.3325751	0.6088447	0.7900142	0.5734183	0.6980025	0.7044282	0.5615837	0.6159976	0.3122815	0.4693390	0.5158652	0.6431551	0.6196594	0.1184965	0.6597992	0.6046824	0.6585003	0.5403423	0.5381643	0.3103373	0.6405849	0.2134847	0.6620155	0.4927717	0.7546699	0.3909975	0.5367433	0.5997688	0.5549717	0.6131130	0.7155344	0.4325695	0.1323152	0.5983488	0.7354901	0.0203899	0.1632254	0.5995444	0.4391978	0.5864500	0.5581651	0.7091847	0.1647123	0.7051156	0.5236425	0.2863199	0.4094987	0.6745023	0.3745999	0.6595263	0.2529789	0.0452083	0.6715255	0.4891007	0.7673074	0.2137396	0.6371190	0.4505758	0.2458105	0.5631336	0.1095852	0.4343771	0.7511452	0.3009793	0.8532551	0.0001955	0.6745346	0.0145029	0.2250066	0.0210409	0.4708617	0.5559766	0.5333630	0.6331680	0.3635985	0.2350147	0.0120277	0.5918626	0.5134254	0.2369641	0.3316101	0.5512324	0.0310206	0.0389664	0.6861878	0.4481259	0.3833777	0.2286591	0.5372011	0.0040536	0.6178942	0.5597815	0.0005173	0.6527254	0.1365116	0.3999261	0.3334313	0.0027179	0.3319923	0.0032941	0.6051122	0.0752474	0.4692548	0.0758568	0.5584514	0.3093610	0.2350913	0.1286543	0.2800159	0.4772255	0.2708299	0.0775870	0.1914809	0.0707718	0.3162079	0.3418273	0.2929315	0.1399236	0.4289011	0.6675115	0.5361731	0.5265774	0.2839746	0.5946624	0.4515356	0.2308437	0.5834276
0.3551782	0.4419518	0.0240963	0.3589790	0.6960900	0.0688077	0.1772997	0.2803802	0.1738658	0.5150698	0.3228485	0.0011140	0.0461697	0.0057566	0.1358427	0.1330411	0.0836169	0.2685827	0.0445062	0.4432300	0.5629513	0.7622545	0.2986698	0.2160820	0.2136055	0.0510845	0.0548687	0.0126164	0.2317626	0.6409598	0.4397685	0.4785459	0.6235715	0.5856522	0.4858677	0.6636159	0.4340390	0.1586949	0.4682992	0.2308824	0.6171479	0.5153288	0.3656700	0.2944736	0.7196449	0.5737355	0.3553059	0.3866350	0.0513774	0.3103447	0.3735669	0.7376350	0.0073864	0.4686360	0.8514604	0.2448417	0.4111014	0.6343376	0.2538627	0.5857508	0.7152196	0.6384983	0.6076396	0.6983480	0.6883105	0.2444258	0.4839667	0.5849918	0.4055516	0.5996459	0.4795162	0.3137068	0.1443352	0.2879464	0.4422576	0.6140861	0.3864366	0.7686182	0.6026403	0.6292275	0.5600485	0.0922675	0.3934310	0.4308691	0.6067028	0.6334333	0.1720466	0.6613272	0.6115376	0.4582172	0.4096081	0.3544176	0.0642085	0.3596626	0.2728281	0.2116605	0.5740022	0.6866409	0.1453418	0.1606779	0.4298008	0.0620737	0.3533530	0.6037320	0.4875244	0.0495895	0.3028687	0.6787612	0.0499636	0.1220290	0.2147397	0.3704027	0.5206161	0.2219829	0.3228701	0.1407669	0.5738616	0.0500603	0.0555370	0.0313147	0.5842452	0.1914834	0.8009014	0.0814707	0.0024315	0.7207416	0.0745216	0.7583706	0.2406490	0.1390025	0.4829542	0.4255394	0.7288216	0.1150887	0.2116083	0.4562216	0.1064021	0.6419551	0.0850928	0.6157257	0.0119172	0.6912305	0.0080819	0.4313336	0.4438698	0.6636427	0.6604066	0.0861090	0.0110592	0.0003333	0.6019466	0.5488462	0.4126487	0.3472478	0.5507140	0.0016078	0.0039573	0.5817579	0.2802965	0.4429566	0.5485142	0.4278460	0.5571343	0.3356798	0.6143672	0.0047036	0.6867199	0.4239941	0.6288096	0.1386673	0.1875796	0.1084808	0.2664499	0.3935797	0.1039457	0.6057781	0.2464223	0.7799638	0.1278561	0.3487849	0.0786558	0.1084703	0.4228731	0.2322052	0.5174152	0.2315315	0.0652287	0.5731561	0.5644113	0.0538678	0.2086618	0.1617203	0.5677859	0.5511325	0.5774198	0.0684764	0.3955676	0.3915844	0.1649087	0.0198270
