Gene symbol	B cell	CD4 Naive	CD4 Memory	CD8 Naive	CD8 Memory	CD8 Effector	Treg cell	Th cell	Monocytes CD14	Monocytes CD16	DC	pDC	NK	Plasma
ADRB2	4.660652321	2.679340797	4.258480679	2.323156448	11.3256773	37.30618489	3.11150735	3.703603586	7.923886066	14.99991769	11.29450821	12.61127582	51.36409884	0.801831606
AGK	3.413083826	3.79835638	4.37748277	4.306069122	6.596811775	8.215538944	3.98994124	3.655698083	1.441118408	2.174750239	2.243794004	3.150194351	27.12670907	2.344083867
AKR1C3	0.566743891	5.330163326	3.707154579	0.57531833	2.941328622	22.53715172	5.230843411	4.004484843	1.793113237	0.864083749	1.359483492	9.712054601	327.7810148	0
APMAP	14.89510855	19.5779484	18.94856011	17.8848189	38.83650751	156.3122473	23.88336821	29.47237428	13.92831511	17.24547822	25.76249957	17.99213873	328.9759369	27.00128997
BCL9L	0.494431504	1.762060148	1.462861491	2.416149814	2.335832434	2.456526461	0.508520432	0.510354943	0.684483926	0.342651753	0.397144243	0.872220039	3.258529522	1.609756717
CCDC65	1.324188161	11.69270373	16.80230574	9.393358069	21.03474915	20.2713751	22.22343424	19.81101024	0.242518974	1.417433504	0	0	22.43527453	0
CCL4	30.8907126	16.96964716	21.55707682	13.73932161	113.4246967	1244.085057	2.076563993	1.434824957	83.65722254	55.73786012	48.00058246	111.9307384	3145.56473	10.75781244
CD244	1.150918202	1.97653012	1.205105657	3.139135397	7.412984139	17.30907994	0.690517497	0.569096363	7.134301046	11.86818244	9.149929704	2.40082343	52.72305329	1.970964033
CD247	14.74469941	122.0102399	120.3711386	85.40194903	114.9955336	230.0507456	181.0998774	172.4742681	6.911244337	7.632602281	8.028966195	10.45973192	898.6294555	8.738522408
CD3E	24.74268737	453.6556825	427.988254	453.0527699	481.2232102	559.0709519	752.9961524	719.0271449	15.40803797	20.91756311	28.68214068	37.09912772	175.6670299	36.46996393
CD7	12.95107791	323.4983178	198.1716349	379.0721583	384.0819351	253.7204911	316.8575466	422.5598444	11.96367234	12.59223756	20.79422576	38.88281246	987.952557	8.580036034
CLIC3	5.53674584	6.532022877	12.9670889	12.51333911	119.7742853	167.1981832	14.92481205	13.58188829	7.666103163	4.521511499	11.80567676	1987.041041	1462.478255	12.48058393
CST7	20.80934576	38.62073885	104.3483995	25.2340742	385.3421273	2359.687609	118.8728462	69.38621169	18.52598049	17.27856725	112.1389998	28.60396187	3662.680959	8.777205749
CTSW	22.32388687	96.94471837	115.3400501	337.854616	659.4443145	1269.233851	67.92416295	88.45364263	15.23962824	19.66989511	69.41413866	82.93797776	3000.054217	23.16502799
CYBA	858.7200307	314.138041	462.6836941	317.3444672	569.7416259	1017.447785	684.7978166	516.1061267	1670.695202	1611.022451	1228.626172	1798.378503	1625.24313	1842.39963
EOMES	0.316687858	0.61483117	0.700674014	0.879206597	3.598362233	21.78561543	0	0.430054134	0.386775064	0.315323287	0.30825616	0	18.33295403	0.666972499
FBXO44	5.614959229	6.031247649	5.268422545	4.198559857	5.026272082	7.877720729	8.038517356	5.415218665	1.46330672	0.734824035	2.640005642	5.094663972	16.55572895	1.978812099
GCDH	11.66011913	10.96672741	11.40208074	12.29244269	15.5014526	16.18312072	14.13302191	18.15023712	5.895553699	7.708319464	9.307671729	8.935417948	20.27618784	16.56324677
GNGT2	4.511714795	2.303768054	2.530038851	3.134836426	8.037172031	20.2810891	3.419108971	3.787799654	9.339674933	43.50212855	27.59274799	4.041981932	62.77402565	3.836024264
GNLY	45.32637029	65.86380968	108.285138	36.29541556	554.0640014	1452.102308	19.53754542	55.00444586	52.9794211	55.33932186	43.06411081	101.1052294	17690.19025	72.33938651
GNPTAB	2.330810007	1.837493534	1.768881281	1.557563157	2.146313958	6.915519823	0.861344689	0.898896219	2.105655017	2.146919097	2.874322095	3.492434062	19.33487994	1.370966881
GTF3C1	0.904519576	0.701743988	0.82321268	0.826321794	1.703295491	6.086799026	0.494260933	0.541610736	1.067588736	0.999353816	0.481202176	3.120883903	9.85984857	0.631382929
GZMA	18.47119162	38.46008931	112.1371762	23.57023337	376.661365	2194.434203	97.87853443	113.3235073	14.66937872	19.40654799	24.23432392	24.84867036	3998.276159	20.35554972
GZMH	13.46340978	10.39647404	19.63666138	7.407098685	88.4807877	2812.517423	1.880626174	0.57230874	8.992769862	15.95555243	27.60598765	34.01245605	1643.667133	0
HCST	143.9582968	1002.632663	1114.434768	1393.590193	2030.902702	3317.456198	1085.367529	993.6979718	1543.959636	714.4925189	865.7363706	1081.404589	4181.8013	866.6209632
HOPX	36.27534788	7.83836082	48.87452412	11.41347436	228.1188121	153.3195412	23.61129789	26.79034655	3.56802611	5.373782422	4.038485429	8.01531102	667.798685	13.35270923
IFITM2	896.1497657	981.3076555	1288.059429	807.5347279	1348.704464	1611.436466	962.0587846	1128.882623	1161.790697	7009.464535	1608.312654	674.2515225	3390.428575	427.2143194
